cycles_old,cycles_new,instructions_old,instructions_new,branches_old,branches_new,branch_misses_old,branch_misses_new,comm,dso,symbol
27063701627,17955464542,20931248690,13895625306,3114109635,2018467618,67265388,46516137,"g4run","libc.so.6","__memmove_avx_unaligned"
205046869,204704081,375683764,360266958,90542829,89625291,323504,271663,"g4run","libc.so.6","__mpn_lshift"
3346721,219287,4098,0,6199,0,58,0,"g4run","libc.so.6","pthread_cond_wait@@GLIBC_2.3.2"
0,3368304,0,5016413,0,0,0,0,"g4run","libc.so.6","__GI___fileno"
12325,0,13748,0,2384,0,131,0,"g4run","libc.so.6","start_thread"
9165588,21853179,0,0,0,0,0,0,"g4run","libc.so.6","__GI___lll_lock_wake"
173051798,192856292,400791263,354554263,70056861,72274622,159121,281917,"g4run","libc.so.6","__mpn_mul"
16110186,6474217,14492937,66800157,4460338,3366156,0,26216,"g4run","libc.so.6","__correctly_grouped_prefixmb"
3491191,0,0,0,0,0,0,0,"g4run","libc.so.6","_IO_no_init"
1529881887,1739728287,1184512972,1494643453,228710236,256515006,4675615,6640920,"g4run","libc.so.6","__strlen_avx2"
185113026,147298589,15035244,0,6054,1739882,51695,52797,"g4run","libc.so.6","__GI___lll_lock_wait"
6979645,0,0,0,0,0,7609,0,"g4run","libc.so.6","__mpn_divrem"
47481762,37089118,96440791,88652770,19957106,17074599,28418,91187,"g4run","libc.so.6","__mpn_construct_double"
178968801,143971730,237622783,253725970,55280717,57947069,459581,452297,"g4run","libc.so.6","tolower"
78167569,20287234,114672046,108988248,26591859,25928463,47673,74909,"g4run","libc.so.6","__mpn_mul_1"
0,3459582,0,0,0,2240061,0,9847,"g4run","libc.so.6","__GI__IO_un_link.part.0"
3491613,0,0,0,1274140,0,17565,0,"g4run","libc.so.6","__mprotect"
6980994,23751987,3160140,35972165,524545,7049262,66415,17030,"g4run","libc.so.6","@plt"
3276147,0,0,0,0,0,7475,0,"g4run","libc.so.6","__mpn_submul_1"
0,7291617,0,6214822,0,0,0,0,"g4run","libc.so.6","__GI___libc_cleanup_push_defer"
0,3078450,0,0,0,0,0,0,"g4run","libc.so.6","_IO_setb"
35853742940,30360534247,33191364444,28008516640,5536804933,4746510160,101871535,80947049,"g4run","libc.so.6","__strcmp_avx2"
6677182,0,6017010,0,0,0,0,0,"g4run","libc.so.6","hack_digit"
171258300,182893714,251348539,191735478,52337722,43741297,809268,509842,"g4run","libc.so.6","unlink_chunk.constprop.0"
3190812,0,0,0,0,0,0,0,"g4run","libc.so.6","_IO_new_file_init_internal"
7853401423,5580012344,7058059399,5108205459,1288711559,888130430,11965639,8229270,"g4run","libc.so.6","__memmove_avx_unaligned_erms"
2406726865,2865836648,1821226542,2215921997,404390516,440309379,9682095,10517914,"g4run","libc.so.6","__memcmp_avx2_movbe"
3015305,0,0,0,0,0,0,0,"g4run","libc.so.6","_IO_file_close"
3491287,10471298,5942945,0,0,0,0,15181,"g4run","libc.so.6","__uselocale"
52218618,69756877,24512648,12190895,6308122,7156096,141759,100530,"g4run","libc.so.6","__memset_avx2_unaligned_erms"
3181206,0,0,0,0,0,8702,0,"g4run","libc.so.6","_IO_file_finish@@GLIBC_2.2.5"
3491482,8930302,0,0,1150793,0,0,0,"g4run","libc.so.6","__GI___pthread_enable_asynccancel"
440488266,428136671,879258582,827611345,142861983,196884218,652231,559609,"g4run","libc.so.6","str_to_mpn.part.0.constprop.0"
6981228,20366383,9022837,8991000,0,1543127,23029,0,"g4run","libc.so.6","__vfprintf_internal"
276507069,214942895,388969765,499480133,61221623,130481207,570800,929093,"g4run","libc.so.6","__memchr_avx2"
96851352,40976807,185779817,85418907,23478001,31498270,30086,70921,"g4run","libc.so.6","pthread_once@GLIBC_2.2.5"
9717769,34052424,66995640,38985209,4034707,7677605,32373,4085,"g4run","libc.so.6","round_away"
22412486361,26033670496,16564047791,18553922991,2260613190,2469296469,54375524,71603575,"g4run","libc.so.6","__memset_avx2_unaligned"
13955347,34844410,18040061,31611841,513593,1301037,48195,36708,"g4run","libc.so.6","__GI___printf_fp_l"
0,3491334,0,0,0,0,0,0,"g4run","libG4run.so","G4RunManager::BeamOn"
3490444,0,0,0,0,0,0,0,"g4run","libG4run.so","G4VModularPhysicsList::ConstructProcess"
3666345,0,0,0,0,0,0,0,"g4run","libG4run.so","G4RunManagerKernel::CheckRegularGeometry"
3491685,0,0,0,626957,0,0,0,"g4run","libG4run.so","G4PhysicsListHelper::AddTransportation"
24281589,20666843,3887610,0,555518,1915854,22942,18533,"g4run","libG4run.so","G4WorkerRunManagerKernel::SetupShadowProcess"
0,3486940,0,6100451,0,1415514,0,42710,"g4run","libG4run.so","G4PhysicsListHelper::CheckParticleList"
3285662,0,0,0,0,0,7822,0,"g4run","libG4run.so","G4VUserPhysicsList::RemoveProcessManager"
3492199,6984922,13372220,5845101,0,1479409,0,0,"g4run","libG4run.so","std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > > > >::find"
0,3491130,0,0,0,0,0,7794,"g4run","libG4run.so","G4MTRunManagerKernel::SetUpDecayChannels"
3426000,0,0,0,0,0,0,0,"g4run","libG4run.so","G4RunManagerKernel::BuildPhysicsTables"
6985206,3492042,17506998,16896574,104551,0,21916,0,"g4run","libG4run.so","G4VUserPhysicsList::PreparePhysicsTable"
13828796,6983109,8068388,8314463,731391,5926278,0,20766,"g4run","libG4run.so","G4PhysicsListHelper::RegisterProcess"
14008638,8939392,159426,0,1500781,1486985,0,0,"g4run","libG4run.so","G4WorkerThread::UpdateGeometryAndPhysicsVectorFromMaster"
0,3492608,0,0,0,0,0,5674,"g4run","libG4run.so","G4VUserPhysicsList::BuildPhysicsTable"
93269,0,0,0,0,0,0,0,"g4run","libG4run.so","G4MatScanMessenger::~G4MatScanMessenger"
3489794,0,0,0,0,0,14369,0,"g4run","libG4particles.so","CLHEP::HepRandom::getTheEngine@plt"
126485086780,126342154585,118159467705,118488447505,20206411116,20316709376,287454700,283759374,"g4run","libG4particles.so","G4Neutron::Definition"
0,3489226,0,3507367,0,0,0,0,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::IsInTable@plt"
50364626575,43003503613,48270342395,39758403092,6690377640,5649796309,110496731,107471124,"g4run","libG4particles.so","pDynamicParticleAllocator"
0,6983172,0,3421460,0,0,0,0,"g4run","libG4particles.so","G4AntiProton::AntiProton"
6980362,17452533,3101238,6979000,984238,495136,20199,6194,"g4run","libG4particles.so","G4MuonMinus::Definition"
27667468,6980571,0,0,2101037,0,118444,48773,"g4run","libG4particles.so","G4VDecayChannel::FillParent"
1081085194,1072597918,1034582044,1041645554,180538655,180969724,1950506,1588233,"g4run","libG4particles.so","G4Lambda::Definition"
38390977,34844978,6543020,6750843,0,1618575,115125,125778,"g4run","libG4particles.so","std::_Rb_tree_increment@plt"
188402628,212304256,110969643,116141463,29963490,21682738,609605,611137,"g4run","libG4particles.so","G4Triton::Definition"
2316311723,2548647465,2379155447,2614330363,404934599,465583305,3012491,3077701,"g4run","libG4particles.so","G4KaonPlus::Definition"
3488973,0,0,0,0,0,0,0,"g4run","libG4particles.so","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >"
20940186,34890729,34501117,22893812,5636126,6413424,43093,63918,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetAtomicMass"
0,6973605,0,12211202,0,0,0,0,"g4run","libG4particles.so","std::_Rb_tree<G4String, std::pair<G4String const, G4ParticleDefinition*>, std::_Select1st<std::pair<G4String const, G4ParticleDefinition*> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4ParticleDefinition*> > >::_M_emplace_unique<std::pair<G4String, G4ParticleDefinition*> >"
6667903,0,0,0,0,0,0,0,"g4run","libG4particles.so","G4DecayTable::~G4DecayTable"
8009244383,8715858673,7594833353,7329828826,1251852935,1274720715,24553451,25348369,"g4run","libG4particles.so","G4PionPlus::Definition"
0,6977021,0,0,0,0,0,0,"g4run","libG4particles.so","G4ParticleDefinition::SetParticleDefinitionID"
0,3488147,0,0,0,0,0,0,"g4run","libG4particles.so","G4ParticleDefinition::FillQuarkContents"
27506623,41639798,21451336,13304407,4344852,4037074,270416,232383,"g4run","libG4particles.so","G4DecayProducts::~G4DecayProducts"
442875416,424684886,292226738,396454302,57872692,63182950,922072,933066,"g4run","libG4particles.so","G4SigmaZero::Definition"
70434947611,68376130667,68872498354,66183474093,12103012949,11751344610,131143667,133640634,"g4run","libG4particles.so","G4DynamicParticle::Set4Momentum"
55826061,68603351,57281403,55606917,7607202,15340507,308139,377263,"g4run","libG4particles.so","G4ParticleTable::CheckReadiness"
184937196,263840428,141433129,135289778,31793798,25569877,719582,1072320,"g4run","libG4particles.so","G4AntiNeutron::Definition"
6506195,0,3595564,0,0,0,0,0,"g4run","libG4particles.so","std::_Rb_tree<G4String, std::pair<G4String const, G4ParticleDefinition*>, std::_Select1st<std::pair<G4String const, G4ParticleDefinition*> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4ParticleDefinition*> > >::_M_erase"
13957277,13958746,6324179,0,982050,607735,65027,15554,"g4run","libG4particles.so","G4AntiNeutrinoMu::Definition"
916651217,672190931,839133019,609984483,132272446,105246867,1242902,660178,"g4run","libG4particles.so","G4IonTable::FindIon@plt"
216210575,194958420,69948088,73846417,16281698,16422917,971309,864578,"g4run","libG4particles.so","std::_Rb_tree<G4String, std::pair<G4String const, G4ParticleDefinition*>, std::_Select1st<std::pair<G4String const, G4ParticleDefinition*> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4ParticleDefinition*> > >::find"
195275407,229756310,46786561,62621480,14716942,13862809,935948,1085049,"g4run","libG4particles.so","G4PhaseSpaceDecayChannel::TwoBodyDecayIt"
0,3488785,0,3418653,0,0,0,10652,"g4run","libG4particles.so","G4SigmaZero::Definition@plt"
3483392,3489979,0,0,0,0,8442,16125,"g4run","libG4particles.so","G4IonTable::GetIonName"
167370626,184680455,23655849,15965945,1959575,2884894,411076,652429,"g4run","libG4particles.so","G4IonTable::FindIonInMaster"
3131377794,3102729718,3332431534,3408826879,455814803,503945700,4137297,4068665,"g4run","libG4particles.so","G4PDefManager::offset@plt"
0,6982657,0,0,0,0,0,0,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetNuclearMass@plt"
0,10461860,0,0,0,0,0,7770,"g4run","libG4particles.so","CLHEP::HepLorentzVector::boost@plt"
3489632,0,0,0,526183,0,8526,0,"g4run","libG4particles.so","G4ParticleTable::CheckReadiness@plt"
247578038,264128108,189047528,209870503,43312117,38024661,885559,889348,"g4run","libG4particles.so","G4XiZero::Definition"
27904410,3489687,2980425,3215941,2084155,0,66457,17921,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
