cycles,instructions,branches,branch_misses,comm,dso,symbol
27892529,56313581,6713592,78223,"g4run","libG4processes.so","std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<G4InuclElementaryParticle*, std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> > >, __gnu_cxx::__ops::_Val_comp_iter<G4ParticleLargerBeta> >@plt"
27890978,16974533,3678866,13727,"g4run","libG4processes.so","G4MesonAbsorption::GetCollisions"
27884969,9227409,3336639,183777,"g4run","libG4processes.so","G4GammaNuclearXS::IsoCrossSection"
27871564,68647443,12005643,213799,"g4run","libpythia8.so","Pythia8::Sigma2gg2QQbar3S11g::id3Mass"
27841789,15469725,4339290,133401,"g4run","libG4processes.so","G4Fancy3DNucleus::StartLoop"
27812863,42570947,2068415,23830,"g4run","libG4processes.so","G4KleinNishinaCompton::ComputeCrossSectionPerAtom"
27808226,29674184,4760380,108651,"g4run","libG4clhep.so","CLHEP::RandFlat::shootArray"
27770040,12552804,1827050,4605,"g4run","libG4geometry.so","G4LogicalVolume::InitialiseWorker"
27667468,0,2101037,118444,"g4run","libG4particles.so","G4VDecayChannel::FillParent"
27506623,21451336,4344852,270416,"g4run","libG4particles.so","G4DecayProducts::~G4DecayProducts"
26459994,28271617,17474696,85523,"g4run","libG4processes.so","G4LevelReader::ReadDataItem"
26094024,43585349,5653468,59010,"g4run","libG4physicslists.so","G4GammaGeneralProcess::BuildPhysicsTable"
25658247,58197912,5686114,23728,"g4run","libstdc++.so.6.0.30","std::basic_ios<char, std::char_traits<char> >::clear"
25538517,4019262,328368,72984,"g4run","libpythia8.so","Pythia8::StringEnd::kinematicsHadron"
24728260,27015090,5805463,0,"g4run","libpythia8.so","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >"
24513452,3013341,1465010,63479,"g4run","libG4processes.so","G4VLongitudinalStringDecay::SampleQuarkFlavor"
24444816,33935204,5295546,72621,"g4run","libG4geometry.so","G4SmartVoxelHeader::BuildVoxelsWithinLimits"
24444043,32994681,0,32891,"g4run","libG4geometry.so","G4Box::CalculateExtent"
24443723,13538924,1459919,9688,"g4run","libG4persistency.so","G4GDMLReadStructure::PhysvolRead"
24443241,70996598,12815948,149143,"g4run","libG4processes.so","G4ICRU73QOModel::GetL1"
24442985,91513271,15587939,193000,"g4run","libG4geometry.so","std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_realloc_insert<std::pair<int, int> >"
24442501,40225361,4415793,33576,"g4run","libicuuc.so.71.1","ucnv_fromUnicode"
24437362,52033883,25836696,1697,"g4run","libstdc++.so.6.0.30","std::basic_filebuf<char, std::char_traits<char> >::xsgetn"
24435962,5203842,3767375,26142,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::DistChord@plt"
24435198,9756746,1452606,186756,"g4run","libG4processes.so","G4VLongitudinalStringDecay::SampleQuarkPt"
24435028,37883531,2437626,59198,"g4run","libG4processes.so","G4LogicalVolume::GetSensitiveDetector@plt"
24434233,49229701,5803608,150216,"g4run","libG4processes.so","G4ExcitedString::~G4ExcitedString"
24433235,13153392,3095537,116822,"g4run","libG4processes.so","G4KineticTrackVector::Boost"
24432352,16154794,928797,9796,"g4run","libG4processes.so","G4EmDataHandler::CleanTable"
24431547,6799992,3297769,16399,"g4run","libG4processes.so","G4VMscModel::GetRange@plt"
24430662,11692565,1912376,32327,"g4run","libG4processes.so","G4Integrator<G4KineticTrack const, double (G4KineticTrack::*)(double) const>::Simpson"
24429833,90708045,10369317,126402,"g4run","libpythia8.so","Pythia8::m"
24429768,6459142,1451690,118706,"g4run","libG4particles.so","G4VDecayChannel::FillDaughters"
24429624,19998374,3148890,20774,"g4run","libG4processes.so","G4ElectroNuclearCrossSection::HighEnergyJ1"
24429404,21908823,3259421,115099,"g4run","libG4processes.so","G4DiffractiveExcitation::ChooseP"
24429205,3316970,1014798,47915,"g4run","libG4processes.so","G4CollisionOutput::removeRecoilFragment@plt"
24427787,36277256,8347231,186290,"g4run","libG4processes.so","G4Fancy3DNucleus::GetNuclearRadius"
24427683,22524038,1866328,235236,"g4run","libG4processes.so","G4FTFModel::ExciteParticipants"
24427679,13830995,1000257,99882,"g4run","libG4processes.so","G4DynamicParticle::SetMomentum@plt"
24427632,20021703,1115020,66656,"g4run","libpythia8.so","Pythia8::Sigma2qqbar2QQbarX8g::sigmaKin"
24427343,12553532,5738049,119701,"g4run","libG4processes.so","G4CrossSectionPatch::CrossSection"
24427156,19163852,4193988,64156,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelHeader@plt"
24425872,22397976,2429734,136261,"g4run","libG4processes.so","G4InuclParamAngDst::GetCosTheta"
24425531,31296653,4934732,94139,"g4run","libG4processes.so","G4CascadeDeexciteBase::makeFragment"
24424734,12807275,2017397,7198,"g4run","libG4processes.so","G4NuclearFermiDensity::~G4NuclearFermiDensity"
24424293,16689238,2445588,228842,"g4run","libG4processes.so","std::vector<G4ReactionProduct*, std::allocator<G4ReactionProduct*> >::_M_realloc_insert<G4ReactionProduct* const&>"
24424043,12498376,3243340,45326,"g4run","libm.so.6","__sqrt_finite@GLIBC_2.15"
24423328,13183845,2116513,74212,"g4run","libG4processes.so","G4DynamicParticle::Set4Momentum@plt"
24422890,13053534,5734003,70516,"g4run","libG4processes.so","G4LundStringFragmentation::FragmentString"
24422466,8741853,3972444,128049,"g4run","libG4processes.so","G4CollisionOutput::addOutgoingParticles"
24420777,20382862,5487138,53045,"g4run","libG4processes.so","G4NucleiModel::generateParticleFate@plt"
24419652,23732820,3899832,105041,"g4run","libG4processes.so","std::__introsort_loop<__gnu_cxx::__normal_iterator<G4InuclElementaryParticle*, std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<G4ParticleLargerEkin> >@plt"
24418914,79367620,5850941,60488,"g4run","libG4geometry.so","G4Navigator::GetMotherToDaughterTransform@plt"
24417714,43449789,8700121,101397,"g4run","libG4geometry.so","G4VIntersectionLocator::GetLastSurfaceNormal@plt"
24417517,34007488,3542874,138205,"g4run","libG4processes.so","G4Fancy3DNucleus::G4Fancy3DNucleus"
24417000,44667620,6562531,129972,"g4run","libG4processes.so","G4FTFParameters::Reset"
24411493,9230826,0,29129,"g4run","libG4processes.so","G4GammaNuclearXS::IsElementApplicable"
24406833,30174648,2593443,102377,"g4run","libG4event.so","G4StackManager::PushOneTrack@plt"
24385309,23706918,2973455,82479,"g4run","libG4processes.so","G4UnboundPN::Definition@plt"
24365631,91134167,7817508,33498,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeXSectionPerAtom"
24340143,53063594,6669140,13582,"g4run","libpythia8.so","Pythia8::Particle::daughterList"
24325786,25783633,2522001,137088,"g4run","libm.so.6","__expm1"
24312152,25840565,2613204,84848,"g4run","libG4processes.so","G4SampleResonance::SampleMass"
24295654,47793027,3624909,68316,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeLambdaNChannelData, G4KaonHypSampler>::getMultiplicity"
24288045,9515109,3444392,47871,"g4run","libG4processes.so","std::vector<G4Nucleon, std::allocator<G4Nucleon> >::_M_default_append"
24281589,3887610,555518,22942,"g4run","libG4run.so","G4WorkerRunManagerKernel::SetupShadowProcess"
24272821,11509315,1128845,0,"g4run","libpythia8.so","Pythia8::Sigma2Process::store2Kin"
24271854,22547301,2442550,137424,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadePiMinusPChannelData, G4PionNucSampler>::getOutgoingParticleTypes"
23836544,34323660,8838598,5471,"g4run","libstdc++.so.6.0.30","std::__cxx11::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >::basic_istringstream"
23794061,45113401,7869132,42264,"g4run","libstdc++.so.6.0.30","memcpy@plt"
22338231,48033508,5042661,94801,"g4run","libpythia8.so","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare@plt"
21242014,6834481,1483173,169205,"g4run","libG4processes.so","G4LorentzConvertor::reflectionNeeded@plt"
21194710,24681860,7825773,5686,"g4run","libxerces-c-3.2.so","xercesc_3_2::Hash2KeysSetOf<xercesc_3_2::StringHasher>::putIfNotPresent"
21159934,0,1043501,0,"g4run","libG4intercoms.so","G4UIcommandTree::RemoveCommand"
21044912,0,0,0,"g4run","libc.so.6","__GI___pthread_disable_asynccancel"
20955252,0,987587,84822,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadePiPlusPChannelData, G4PionNucSampler>::getOutgoingParticleTypes"
20952286,21462401,15255298,117630,"g4run","libG4processes.so","G4ICRU73QOModel::GetL2"
20952017,13543549,5979118,0,"g4run","libxerces-c-3.2.so","xercesc_3_2::XMLString::transcode"
20951788,33450529,2536425,0,"g4run","libG4geometry.so","G4Trap::CalculateExtent"
20951615,49328659,21964345,45564,"g4run","libxerces-c-3.2.so","xercesc_3_2::IGXMLScanner::scanStartTagNS"
20951258,13561978,9290936,94685,"g4run","libG4processes.so","G4ICRU73QOModel::GetOscillatorEnergy"
20949599,48490371,11839859,41487,"g4run","libicuuc.so.71.1","ucnv_fromUChars"
20947579,6683649,2028341,32617,"g4run","libc.so.6","alloc_perturb"
20946255,13354274,2870363,29288,"g4run","libG4processes.so","G4ElectroNuclearCrossSection::HighEnergyJ3"
20945712,19289580,1375671,59326,"g4run","libG4processes.so","G4FragmentingString::TransformToAlignedCms"
20945108,16896725,2056951,62597,"g4run","libG4processes.so","G4Decay::AtRestGetPhysicalInteractionLength"
20944714,3371547,1002587,127886,"g4run","libG4processes.so","G4ChipsProtonElasticXS::GetQ2max"
20944176,14011422,3628531,7411,"g4run","libG4geometry.so","G4MagErrorStepper::Stepper"
20942581,3828794,2525472,61171,"g4run","libG4processes.so","G4Dineutron::Definition@plt"
20942360,0,891967,116859,"g4run","libG4processes.so","G4CollisionOutput::removeOutgoingParticle"
20942351,12957234,3156270,13675,"g4run","libG4processes.so","G4MollerBhabhaModel::ComputeDEDXPerVolume"
20942049,19083312,2331741,92612,"g4run","libG4physicslists.so","G4GammaGeneralProcess::SelectHadProcess"
20941734,20083172,2850000,99651,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadePiZeroNChannelData, G4PionNucSampler>::getMultiplicity"
20941261,26481860,1503311,70367,"g4run","libG4particles.so","G4IonTable::GetNucleusMass"
20941115,16099158,2900437,46319,"g4run","libG4processes.so","G4FragmentingString::G4FragmentingString"
20940954,18902650,2961514,102699,"g4run","libG4processes.so","G4FragmentingString::Mass"
20940186,34501117,5636126,43093,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetAtomicMass"
20940009,10029671,1371393,35140,"g4run","libstdc++.so.6.0.30","operator new[]"
20939363,14851917,3296736,26830,"g4run","libG4processes.so","G4MultiBodyMomentumDist::ChooseDist@plt"
20939296,9459331,1488412,110730,"g4run","libG4processes.so","G4FTFModel::FinalizeKinematics"
20939261,13023337,495432,8002,"g4run","libG4processes.so","std::vector<double, std::allocator<double> >::reserve@plt"
20939101,79619482,2762569,40591,"g4run","libG4processes.so","G4UrbanMscModel::SampleCosineTheta@plt"
20938820,13079757,3053291,44288,"g4run","libG4particles.so","G4NeutrinoE::Definition"
20938781,7030124,523178,7108,"g4run","libG4track.so","G4ParticleChange::UpdateStepForAtRest"
20938683,26206378,4679082,93003,"g4run","libG4geometry.so","G4ChordFinder::ApproxCurvePointV@plt"
20938341,10181963,453155,53691,"g4run","libG4particles.so","G4MuonPlus::Definition"
20937302,15403241,1415971,41436,"g4run","libG4clhep.so","CLHEP::HepLorentzVector::operator/="
20937243,16181559,4891849,14960,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeLambdaPChannelData, G4KaonHypSampler>::getOutgoingParticleTypes"
20937118,10696879,2130272,63390,"g4run","libG4processes.so","G4VElasticCollision::FinalState"
20936802,13487497,2123647,645971,"g4run","libG4processes.so","std::__insertion_sort<__gnu_cxx::__normal_iterator<G4Fancy3DNucleusHelper*, std::vector<G4Fancy3DNucleusHelper, std::allocator<G4Fancy3DNucleusHelper> > >, __gnu_cxx::__ops::_Iter_less_iter>"
20935241,36175522,4643973,16925,"g4run","libG4processes.so","G4CascadeCoalescence::fillCluster@plt"
20933330,9798144,0,6742,"g4run","libG4clhep.so","CLHEP::HepLorentzVector::beta"
20933082,8350642,1495830,107860,"g4run","libG4processes.so","G4ExcitedStringDecay::FragmentString"
20932300,16252975,3992281,130704,"g4run","libG4processes.so","G4HadronBuilder::Meson"
20932069,14078396,1051046,117603,"g4run","libG4particles.so","G4Positron::Definition"
20931751,6437905,2665612,31261,"g4run","libG4processes.so","G4PiData::ReactionXSection@plt"
20928653,16445978,1568568,30963,"g4run","libm.so.6","@plt"
20928484,37074557,3627177,6889,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::ComputeNewStepSize@plt"
20926526,3360916,4047843,40533,"g4run","libG4processes.so","G4NucleiModel::isProjectile@plt"
20926284,30374614,9556434,204111,"g4run","libG4processes.so","G4CollisionOutput::getRecoilFragment@plt"
20925702,11926489,938236,28178,"g4run","libG4processes.so","G4WentzelOKandVIxSection::SetupParticle"
20918765,3405720,435645,46140,"g4run","libG4processes.so","std::vector<G4Parton*, std::allocator<G4Parton*> >::_M_realloc_insert<G4Parton* const&>"
20917943,13759438,2525791,94790,"g4run","libG4processes.so","std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::_M_default_append@plt"
20912052,12984253,493642,93663,"g4run","libG4processes.so","G4BinaryCascade::ApplyCollision"
20870839,0,0,59802,"g4run","libG4processes.so","std::vector<G4InuclNuclei, std::allocator<G4InuclNuclei> >::_M_default_append"
20862970,12774831,4233347,154888,"g4run","libG4processes.so","G4InuclNuclei::clear"
20853579,37421185,4715351,40613,"g4run","libG4processes.so","G4VEmissionProbability::SampleEnergy@plt"
20836853,14239377,7124845,50864,"g4run","libG4processes.so","G4RKPropagation::Transport"
20833358,4000956,0,8667,"g4run","libG4geometry.so","G4VIntersectionLocator::CheckAndReEstimateEndpoint@plt"
20819205,10841025,1170161,46085,"g4run","libpythia8.so","Pythia8::SimpleSpaceShower::pTnext"
19234105,16378063,4667781,44597,"g4run","libxerces-c-3.2.so","xercesc_3_2::XMLReader::getNCName"
19106141,68691281,11780980,61681,"g4run","libc.so.6","__GI_____strtoll_l_internal"
18845188,16469418,1567396,0,"g4run","libxerces-c-3.2.so","xercesc_3_2::Hash2KeysSetOf<xercesc_3_2::StringHasher>::removeAll"
18828561,14206018,907158,60019,"g4run","libG4processes.so","std::_Rb_tree<G4String, std::pair<G4String const, G4ParticleDefinition*>, std::_Select1st<std::pair<G4String const, G4ParticleDefinition*> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4ParticleDefinition*> > >::_M_get_insert_unique_pos"
