cycles,comm,dso,symbol
118576378896,"g4run","libG4geometry.so","G4SubtractionSolid::Inside"
118310740997,"g4run","libG4geometry.so","G4EnclosingCylinder::MustBeOutside"
116476391845,"g4run","libG4track.so","G4Track::G4Track"
113436662849,"g4run","libG4clhep.so","CLHEP::MixMaxRng::flatArray"
111888874127,"g4run","libG4clhep.so","CLHEP::HepRandom::getTheEngine"
110214014758,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited"
110171138044,"g4run","libG4processes.so","G4VEnergyLossProcess::AlongStepGetPhysicalInteractionLength"
109817861891,"g4run","libG4physicslists.so","G4GammaGeneralProcess::TotalCrossSectionPerVolume"
109766386825,"g4run","libG4geometry.so","G4VCSGfaceted::DistanceToOut"
107520944944,"g4run","libG4processes.so","G4KleinNishinaCompton::SampleSecondaries"
105076253794,"g4run","libG4processes.so","G4InuclElementaryParticle::type"
104253649144,"g4run","libG4geometry.so","G4Navigator::SetSavedState"
103755076909,"g4run","libG4geometry.so","G4NavigationHistory::G4NavigationHistory"
103495425281,"g4run","libG4geometry.so","G4VoxelNavigation::LocateNextVoxel"
102800172208,"g4run","libG4tracking.so","G4Step::InitializeStep"
102672950330,"g4run","libG4clhep.so","CLHEP::MixMaxRng::MULWU"
98540904690,"g4run","libG4processes.so","G4UrbanMscModel::ComputeGeomPathLength"
97700702682,"g4run","libG4processes.so","G4VMultipleScattering::AlongStepDoIt"
92461238381,"g4run","libG4processes.so","G4LivermorePhotoElectricModel::ComputeCrossSectionPerAtom"
91821290413,"g4run","libG4particles.so","G4IonTable::FindIon"
89958490842,"g4run","libG4particles.so","G4NucleiPropertiesTableAME12::GetIndex"
89073019930,"g4run","libstdc++.so.6.0.30","__dynamic_cast"
88474302914,"g4run","libG4digits_hits.so","G4TouchableHistory::GetVolume"
87646895537,"g4run","libG4geometry.so","G4NormalNavigation::LevelLocate"
84838628445,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::DistChord"
83978850030,"g4run","libG4processes.so","G4HadronElastic::ApplyYourself"
81704872770,"g4run","libG4geometry.so","G4Box::Inside"
81296243259,"g4run","libG4geometry.so","G4PolyconeSide::PointOnCone"
81286208694,"g4run","libG4processes.so","G4VEnergyLossProcess::PostStepDoIt"
81241647262,"g4run","libG4processes.so","G4CascadeChannelTables::FindTable"
79348926511,"g4run","libG4geometry.so","G4FieldTrack::G4FieldTrack"
77263576151,"g4run","libG4clhep.so","CLHEP::HepLorentzVector::boostVector"
77068781631,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceToOneSide"
75888577117,"g4run","libG4processes.so","G4LorentzConvertor::fillKinematics"
75565145302,"g4run","libG4particles.so","G4DynamicParticle::~G4DynamicParticle"
75335627676,"g4run","libG4processes.so","G4VMscModel::GetTransportMeanFreePath"
73023970344,"g4run","libG4geometry.so","G4PropagatorInField::ClearPropagatorState"
72606045200,"g4run","libG4geometry.so","G4Mag_UsualEqRhs::SetChargeMomentumMass"
72425386327,"g4run","libG4clhep.so","CLHEP::MixMaxRng::modadd"
71729768106,"g4run","libG4processes.so","G4UniversalFluctuation::SampleFluctuations"
71221218794,"g4run","libG4geometry.so","G4FieldTrack::LoadFromArray"
68813480104,"g4run","libG4processes.so","G4VMscModel::GetRange"
68633124448,"g4run","libG4tracking.so","G4SteppingManager::GetProcessNumber"
67289676207,"g4run","libG4geometry.so","G4VCSGfaceted::DistanceToIn"
66346743647,"g4run","libG4processes.so","G4NucleiModel::generateInteractionPartners"
65820265099,"g4run","libG4geometry.so","G4Region::GetRegionalSteppingAction"
65762186223,"g4run","libG4track.so","G4ParticleChangeForTransport::UpdateStepForAlongStep"
65442516841,"g4run","libG4processes.so","G4VMscModel::GetRange"
64954304930,"g4run","libG4processes.so","G4LogicalVolume::GetMaterialCutsCouple@plt"
64749616100,"g4run","libG4geometry.so","G4LogicalVolume::GetSolid"
64478523588,"g4run","libG4event.so","G4EventManager::DoProcessing"
63967336128,"g4run","libG4geometry.so","G4IntersectingCone::LineHitsCone1"
63898048003,"g4run","libG4track.so","G4ParticleChangeForTransport::UpdateStepForPostStep"
63527698200,"g4run","libG4processes.so","G4VEmModel::CrossSectionPerVolume"
62950042365,"g4run","libG4processes.so","G4NeutronCaptureXS::GetIsoCrossSection"
62488541500,"g4run","libG4processes.so","G4Transportation::StartTracking"
62304996536,"g4run","libG4geometry.so","G4PolyPhiFace::Distance"
61637015120,"g4run","libG4track.so","G4ParticleChangeForLoss::UpdateStepForAlongStep"
61333991872,"g4run","libG4processes.so","G4VMultipleScattering::StartTracking"
61251235173,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
60934842864,"g4run","libG4geometry.so","G4MultiLevelLocator::EstimateIntersectionPoint"
60777582463,"g4run","libG4geometry.so","G4NormalNavigation::ComputeSafety"
59923666944,"g4run","libc.so.6","__memmove_avx_unaligned"
59252808201,"g4run","libG4processes.so","G4UrbanMscModel::SampleScattering"
57677971536,"g4run","libG4particles.so","G4NucleiProperties::GetNuclearMass"
56895003803,"g4run","libG4geometry.so","G4SafetyHelper::ComputeSafety"
55995504026,"g4run","libG4geometry.so","G4VPhysicalVolume::GetTranslation"
55979169791,"g4run","libG4processes.so","G4HadronElasticProcess::PostStepDoIt"
55256446459,"g4run","libstdc++.so.6.0.30","__cxxabiv1::__si_class_type_info::__do_dyncast"
54765564019,"g4run","libG4clhep.so","CLHEP::Hep3Vector::rotateUz"
54348781066,"g4run","libG4clhep.so","CLHEP::HepLorentzVector::boost"
53789069692,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::QuickAdvance"
53411018754,"g4run","libG4particles.so","G4DynamicParticle::Set4Momentum"
53077070404,"g4run","libG4processes.so","G4LivermorePhotoElectricModel::SampleSecondaries"
52851762310,"g4run","libG4processes.so","G4SeltzerBergerModel::SampleEnergyTransfer"
52348736438,"g4run","libG4processes.so","G4Decay::PostStepGetPhysicalInteractionLength"
50937843757,"g4run","libm.so.6","__ieee754_exp_fma"
50589697576,"g4run","libG4processes.so","G4NeutronInelasticXS::GetIsoCrossSection"
49610091238,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
49377259177,"g4run","libG4clhep.so","CLHEP::MixMaxRng::MULWU@plt"
49115086753,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
48923245479,"g4run","libG4geometry.so","G4Tubs::DistanceToOut"
48792235588,"g4run","libG4processes.so","G4CrossSectionDataStore::GetIsoCrossSection@plt"
48409101152,"g4run","libG4event.so","G4EventManager::StackTracks"
48144289160,"g4run","libG4processes.so","G4CascadeCheckBalance::collide"
48008737096,"g4run","libG4clhep.so","CLHEP::MixMaxRng::modadd@plt"
47657328340,"g4run","libG4particles.so","G4ParticleDefinition::GetProcessManager"
47083263738,"g4run","libG4processes.so","G4UrbanMscModel::ComputeTheta0"
46618585503,"g4run","libG4geometry.so","G4LogicalVolume::GetSensitiveDetector"
