cycles,instructions,cache_references,cache_misses,L1_dcache_loads,L1_dcache_load_misses,comm,dso,symbol
379111715,201930483,56132007,19879832,142712475,21894212,"g4run","libG4processes.so","G4HadronicInteraction::GetMinEnergy"
376504072,395942399,59673147,3517395,199401950,14928999,"g4run","libG4processes.so","G4InuclSpecialFunctions::randomCOS_SIN@plt"
376081740,294639409,34270304,11140940,135702169,5819086,"g4run","libG4particles.so","G4Deuteron::Definition"
370057020,846184654,7143728,129674,468461594,3304578,"g4run","libG4geometry.so","G4BoundingEnvelope::CalculateExtent"
369517530,601566755,11322052,4271882,189962123,1842628,"g4run","libG4processes.so","G4InuclParamMomDst::GetMomentum"
359116420,429288853,84923455,5750338,226431482,34723406,"g4run","libG4processes.so","CLHEP::HepLorentzRotation::rotateY@plt"
359082086,235588798,32760472,4358918,137338955,5093591,"g4run","libG4processes.so","G4CascadParticle::propagateAlongThePath@plt"
357799283,601178793,7233521,650240,346405948,948194,"g4run","libstdc++.so.6.0.30","std::locale::id::_M_id"
352006612,372160327,33992142,1486431,180925798,5162431,"g4run","libG4processes.so","G4KM_NucleonEqRhs::EvaluateRhsGivenB"
348297477,320092217,52677778,6139830,211164588,12323619,"g4run","libG4particles.so","G4SigmaZero::Definition"
345168416,242899454,27863027,7161148,158825221,10691744,"g4run","libG4processes.so","G4GeneratorPrecompoundInterface::Propagate"
345085648,375701761,11920697,2163942,126586151,5113228,"g4run","libG4processes.so","G4Pow::powA"
345072047,85401874,27296357,17606075,56964534,8775475,"g4run","libG4processes.so","G4LowEGammaNuclearModel::ApplyYourself"
341397893,240004656,30282065,4680941,135632689,8891057,"g4run","libG4processes.so","G4CrossSectionElastic::GetElementCrossSection"
337562863,393510534,61494274,6460106,221536297,29478528,"g4run","libG4processes.so","G4WentzelOKandVIxSection::ComputeMaxElectronScattering@plt"
334869729,319019860,63292074,3766795,211966151,12510609,"g4run","libG4processes.so","G4InuclSpecialFunctions::generateWithRandomAngles@plt"
334582433,406644118,24318913,8741573,162367202,3371680,"g4run","libG4processes.so","G4PreCompoundTransitions::CalculateProbability"
334147968,569206248,42433957,9439827,264978326,24401526,"g4run","libpythia8.so","Pythia8::Sigma2qg2QQbarX8q::sigmaKin"
327753223,222246029,69997990,7281529,95056404,33542670,"g4run","libG4geometry.so","G4LineSection::G4LineSection@plt"
327638445,334116319,87629777,4907417,248515579,29550712,"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep@plt"
327578523,190606822,29578547,12217084,108588838,8323043,"g4run","libG4processes.so","G4EvaporationChannel::EmittedFragment"
324336867,438025599,4892754,788159,200422214,667257,"g4run","libG4processes.so","G4PreCompoundFragment::CrossSection"
322603018,591170195,4764531,293140,294673675,600146,"g4run","libstdc++.so.6.0.30","std::__istream_extract"
