cycles,instructions,cache_references,cache_misses,L1_dcache_loads,L1_dcache_load_misses,comm,dso,symbol
662076165,515824808,120289939,16866412,358968291,43908236,"g4run","libG4processes.so","G4VParticleChange::AddSecondary@plt"
658855018,706278486,15091652,1370719,427420540,2478839,"g4run","libG4processes.so","G4FermiMomentum::GetMomentum"
658566415,867189720,50526513,3618867,655020931,16988986,"g4run","libG4geometry.so","G4UnionSolid::SurfaceNormal"
648139936,599298422,80882373,8683902,359002319,17352327,"g4run","libG4processes.so","G4DynamicParticle::operator=@plt"
641232424,652749548,93074943,12100857,372687867,23334855,"g4run","libG4processes.so","0x00000000003b5850"
637605947,596211571,121849736,10741148,431826942,58169870,"g4run","libG4geometry.so","G4FieldTrack::G4FieldTrack@plt"
630610907,633718294,70697196,14083625,422870605,18810644,"g4run","libG4processes.so","G4CollisionOutput::addOutgoingParticle@plt"
620330791,341903112,92667771,20063634,217205648,36803384,"g4run","libG4processes.so","pFragmentAllocator"
619499020,598375123,84537812,10504124,388493459,22268996,"g4run","libG4processes.so","G4InuclParticle::setMomentum@plt"
617058057,640346930,100488866,10549016,243966499,21888067,"g4run","libG4processes.so","G4ParamExpTwoBodyAngDst<9>::GetCosTheta"
616902707,564591530,81896219,10632819,350910883,17393007,"g4run","libG4processes.so","G4DynamicParticle::G4DynamicParticle@plt"
609328293,253954588,61272990,27776719,155123185,10764319,"g4run","libG4processes.so","std::vector<G4Fragment*, std::allocator<G4Fragment*> >::_M_realloc_insert<G4Fragment* const&>"
606588602,483219503,61877418,30238782,230182745,11407352,"g4run","libG4processes.so","G4EquilibriumEvaporator::explosion"
602957731,498496636,54824348,23595896,258638672,19636879,"g4run","libG4processes.so","G4VEmissionProbability::FindRecoilExcitation"
599476143,506207233,62246740,13149561,218039198,16705576,"g4run","libG4processes.so","G4KineticTrack::G4KineticTrack"
598925387,286511543,66953930,26596381,186976064,18256563,"g4run","libG4processes.so","G4PhotonEvaporation::BreakUpChain"
594142835,415572083,85679765,30134891,190756263,18606950,"g4run","libstdc++.so.6.0.30","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create"
592429325,442074105,128248890,20418244,374208460,47375632,"g4run","libG4processes.so","aTrackAllocator@plt"
587167161,528209419,115102391,11985926,344265453,36989047,"g4run","libG4particles.so","G4IonTable::GetNucleusEncoding@plt"
585583353,537443148,94457669,2952873,338677681,24387330,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKzeroPChannelData, G4KaonSampler>::getCrossSection"
564919122,680307147,46262049,25387183,205489809,12789983,"g4run","libG4processes.so","G4NucleiModel::fillZoneVolumes"
561420153,341040524,89520492,18654153,242529185,37654721,"g4run","libG4processes.so","G4HadronicInteraction::IsApplicable"
560907665,446960865,65625706,31034441,204559983,23362485,"g4run","libG4processes.so","G4CollisionOutput::selectPairToTune"
557953790,517330476,82113989,26631409,360079249,16382072,"g4run","libG4processes.so","std::__insertion_sort<__gnu_cxx::__normal_iterator<G4InuclElementaryParticle*, std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> > >, __gnu_cxx::__ops::_Iter_comp_iter<G4ParticleLargerEkin> >"
551629408,1698000127,1082779,94007,444739657,664353,"g4run","libG4processes.so","G4LossTableBuilder::BuildRangeTable"
550894745,483551636,67988365,13484957,258679541,29646927,"g4run","libG4physicslists.so","G4Log"
543563201,537884412,72144661,24638280,273114086,30306780,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXsc"
541069293,303810672,88304600,29817662,154333048,21543337,"g4run","libstdc++.so.6.0.30","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::reserve"
538778392,731149674,20033133,3861508,243106548,3598219,"g4run","libstdc++.so.6.0.30","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare"
536684243,556706429,66792747,10043676,275578361,11175757,"g4run","libG4processes.so","G4InuclElementaryParticle::operator=@plt"
536536857,394096976,95813568,13194091,295620988,40101207,"g4run","libG4processes.so","G4KokoulinMuonNuclearXS::GetElementCrossSection"
526552480,711030080,7804461,2460511,463283788,3167264,"g4run","libG4processes.so","G4Fancy3DNucleusHelperForSortInZ"
519345606,394415672,84101244,19417275,161064305,17949844,"g4run","libG4processes.so","G4ParamExpTwoBodyAngDst<10>::GetCosTheta"
518340060,208616614,67823902,19777824,153131865,22449325,"g4run","libG4processes.so","G4GammaNuclearXS::GetIsoCrossSection"
515770835,480446359,87157000,22578366,250119498,39806106,"g4run","libG4processes.so","G4NucleonNuclearCrossSection::GetElementCrossSection"
515653536,441491439,64878827,14347393,254731702,24217611,"g4run","libG4processes.so","G4BGGPionElasticXS::IsIsoApplicable"
512250709,371750052,105304168,12486232,182408838,43951472,"g4run","libG4tracking.so","G4LogicalVolume::GetMaterial@plt"
511928463,420010776,76142383,29638349,283117377,9950163,"g4run","libG4particles.so","G4Electron::Definition@plt"
511785779,430222533,95252879,7614482,325854653,36290797,"g4run","libG4particles.so","G4IonTable::FindIon@plt"
