cycles_old,cycles_new,comm,dso,symbol
0,1269232,"awk","[kernel.vmlinux]","copy_page_to_iter"
0,6524620,"awk","[kernel.vmlinux]","mntput_no_expire"
6961452,0,"awk","[kernel.vmlinux]","btrfs_release_file"
6942790,0,"awk","[kernel.vmlinux]","do_mmap"
5986870,0,"awk","[kernel.vmlinux]","unlink_file_vma"
6485772,6776332,"awk","[kernel.vmlinux]","alloc_pages_vma"
3839332,14548932,"awk","[kernel.vmlinux]","page_add_file_rmap"
0,6693475,"awk","[kernel.vmlinux]","cgroup_rstat_updated"
20093853,7339669,"awk","[kernel.vmlinux]","__handle_mm_fault"
0,13842824,"awk","[kernel.vmlinux]","__rcu_read_unlock"
0,13301630,"awk","[kernel.vmlinux]","__alloc_pages"
0,6966839,"awk","[kernel.vmlinux]","truncate_inode_pages_range"
0,398657,"awk","[kernel.vmlinux]","terminate_walk"
0,6964952,"awk","[kernel.vmlinux]","fput_many"
6614287,0,"awk","[kernel.vmlinux]","get_unmapped_area"
8482929,1071722,"awk","[kernel.vmlinux]","get_page_from_freelist"
6814304,0,"awk","[kernel.vmlinux]","syscall_enter_from_user_mode"
0,9684998,"awk","[kernel.vmlinux]","page_counter_try_charge"
0,14250410,"awk","[kernel.vmlinux]","strncpy_from_user"
0,6641281,"awk","[kernel.vmlinux]","__x64_sys_prlimit64"
0,6655224,"awk","[kernel.vmlinux]","security_inode_permission"
0,6848591,"awk","[kernel.vmlinux]","fput"
0,6896983,"awk","[kernel.vmlinux]","d_path"
6388400,6954901,"awk","[kernel.vmlinux]","mark_page_accessed"
6588346,0,"awk","[kernel.vmlinux]","vm_area_dup"
6807385,0,"awk","[kernel.vmlinux]","__do_sys_brk"
6917442,0,"awk","[kernel.vmlinux]","switch_mm_irqs_off"
0,6164566,"awk","[kernel.vmlinux]","xas_find"
6492835,0,"awk","[kernel.vmlinux]","get_random_u32"
6968918,0,"awk","[kernel.vmlinux]","__mem_cgroup_charge"
0,6363218,"awk","[kernel.vmlinux]","psi_task_change"
0,6561367,"awk","[kernel.vmlinux]","get_acl"
13930881,0,"awk","[kernel.vmlinux]","asm_exc_page_fault"
6963157,0,"awk","[kernel.vmlinux]","exit_mm_release"
671996,10612568,"awk","[kernel.vmlinux]","refill_obj_stock"
3806186,0,"awk","[kernel.vmlinux]","perf_iterate_sb"
6475284,6506752,"awk","[kernel.vmlinux]","folio_mark_accessed"
0,2007047,"awk","[kernel.vmlinux]","__x64_sys_mmap"
6308343,0,"awk","[kernel.vmlinux]","free_unref_page"
13649709,6568546,"awk","[kernel.vmlinux]","__tlb_remove_page_size"
0,6613269,"awk","[kernel.vmlinux]","do_user_addr_fault"
13371459,20258524,"awk","[kernel.vmlinux]","kmem_cache_alloc"
10560654,33033918,"awk","[kernel.vmlinux]","filemap_map_pages"
6967840,0,"awk","[kernel.vmlinux]","crng_fast_key_erasure"
0,6968013,"awk","[kernel.vmlinux]","__x86_indirect_thunk_r13"
6966551,0,"awk","[kernel.vmlinux]","folio_memcg_unlock"
0,6968762,"awk","[kernel.vmlinux]","vma_interval_tree_remove"
6845089,6915030,"awk","[kernel.vmlinux]","strnlen_user"
6851482,607362,"awk","[kernel.vmlinux]","native_irq_return_iret"
26843136,14446759,"awk","[kernel.vmlinux]","clear_page_rep"
6480787,0,"awk","[kernel.vmlinux]","__fput"
6511146,0,"awk","[kernel.vmlinux]","handle_mm_fault"
6722594,567507,"awk","[kernel.vmlinux]","__put_user_nocheck_8"
0,6844024,"awk","[kernel.vmlinux]","put_files_struct"
13920538,6398604,"awk","[kernel.vmlinux]","prepare_alloc_pages.constprop.0"
6532697,0,"awk","[kernel.vmlinux]","load_elf_binary"
0,4370623,"awk","[kernel.vmlinux]","arch_setup_additional_pages"
0,6963464,"awk","[kernel.vmlinux]","pick_next_entity"
6951614,0,"awk","[kernel.vmlinux]","filemap_get_read_batch"
6332773,0,"awk","[kernel.vmlinux]","path_init"
12956894,0,"awk","[kernel.vmlinux]","memcg_slab_free_hook"
0,6536113,"awk","[kernel.vmlinux]","__pagevec_lru_add"
2546297,0,"awk","[kernel.vmlinux]","vmacache_find"
6582598,6961387,"awk","[kernel.vmlinux]","copy_page"
0,6284753,"awk","libtinfow.so.6.3","0x000000000000f000"
35952288,32283145,"awk","ld-linux-x86-64.so.2","_dl_relocate_object"
1195371,13797508,"awk","ld-linux-x86-64.so.2","_dl_cache_libcmp"
60735939,78928964,"awk","ld-linux-x86-64.so.2","_dl_lookup_symbol_x"
6968530,0,"awk","ld-linux-x86-64.so.2","_dl_start"
14589861,1912408,"awk","ld-linux-x86-64.so.2","strcmp"
14341779,0,"awk","ld-linux-x86-64.so.2","_dl_map_object_from_fd"
34598084,19192929,"awk","ld-linux-x86-64.so.2","do_lookup_x"
6876283,6951399,"awk","ld-linux-x86-64.so.2","_dl_map_object_deps"
0,6822594,"awk","ld-linux-x86-64.so.2","__GI___tunables_init"
6319761,2619079,"awk","ld-linux-x86-64.so.2","init_cpu_features.constprop.0"
0,6533290,"awk","ld-linux-x86-64.so.2","_dl_runtime_resolve_xsavec"
0,6965948,"awk","ld-linux-x86-64.so.2","brk"
0,6242975,"awk","ld-linux-x86-64.so.2","_dl_sort_maps"
0,6566371,"awk","ld-linux-x86-64.so.2","_dl_important_hwcaps"
6313847,0,"awk","ld-linux-x86-64.so.2","memset"
6813784,0,"awk","ld-linux-x86-64.so.2","_dl_hwcaps_split_masked"
0,1490438,"awk","ld-linux-x86-64.so.2","mmap64"
6013024,0,"awk","ld-linux-x86-64.so.2","handle_amd"
12924661,0,"awk","ld-linux-x86-64.so.2","check_match"
6968846,0,"ksoftirqd/28","[kernel.vmlinux]","__d_free"
92224022,69674691,"kworker/22:2-mm","[kernel.vmlinux]","igb_rd32"
0,6883811,"kworker/22:2-mm","[kernel.vmlinux]","collect_percpu_times"
808957,0,"kworker/22:2-mm","[kernel.vmlinux]","__pm_runtime_resume"
972128,0,"kworker/22:2-mm","[kernel.vmlinux]","round_jiffies"
6959411,7747383,"kworker/22:2-mm","[kernel.vmlinux]","igb_update_stats"
0,6748662,"kworker/22:2-mm","[kernel.vmlinux]","igb_has_link"
6903806,6563973,"kworker/22:2-mm","[kernel.vmlinux]","igb_watchdog_task"
0,6167189,"kworker/22:2-mm","[kernel.vmlinux]","free_vmap_area_noflush"
0,6944540,"kworker/22:2-mm","[kernel.vmlinux]","queued_spin_lock_slowpath"
581707,0,"kworker/22:2-mm","[kernel.vmlinux]","igb_ptp_rx_hang"
0,6946263,"ksoftirqd/29","[kernel.vmlinux]","file_free_rcu"
0,6537601,"ksoftirqd/29","[kernel.vmlinux]","refill_obj_stock"
0,2963240,"fgrep","libc.so.6","_pthread_cleanup_push@@GLIBC_2.34"
6710959,0,"fgrep","libc.so.6","cfree@GLIBC_2.2.5"
12821853,0,"fgrep","libc.so.6","__fstat64"
0,6818503,"fgrep","libc.so.6","__wcsmbs_load_conv"
13785989,18115374,"fgrep","libc.so.6","getenv"
6709042,13857579,"fgrep","libc.so.6","__sysconf"
26494745,52758326,"fgrep","libc.so.6","malloc"
32956066,14629678,"fgrep","libc.so.6","__strcpy_avx2"
0,6591073,"fgrep","libc.so.6","__libc_sigaction"
0,13181445,"fgrep","libc.so.6","new_composite_name"
1147509,0,"fgrep","libc.so.6","__gettimeofday"
0,3086821,"fgrep","libc.so.6","__gethostname"
