cycles_old,cycles_new,instructions_old,instructions_new,cache_references_old,cache_references_new,cache_misses_old,cache_misses_new,L1_dcache_loads_old,L1_dcache_loads_new,L1_dcache_load_misses_old,L1_dcache_load_misses_new,comm,dso,symbol
2327654430,2849507380,1800391623,2030857046,246326495,272803311,112750070,125798489,899578640,1211359916,66034435,66949723,"g4run","libc.so.6","__memcmp_avx2_movbe"
24266718,69098675,34973567,32479997,5938340,3724156,1251702,1202927,12677897,21730636,2939796,2571003,"g4run","libc.so.6","__memset_avx2_unaligned_erms"
404054676,370992712,710932876,678211641,3907622,2313910,293666,292773,401109815,409518937,874560,308501,"g4run","libc.so.6","str_to_mpn.part.0.constprop.0"
6970977,17447621,8875745,3022159,1361241,274116,147423,224171,5315070,0,26258,157990,"g4run","libc.so.6","__vfprintf_internal"
58609,0,0,0,0,0,1691,0,0,0,0,0,"g4run","libc.so.6","arena_get2.part.0"
0,39368,0,0,0,0,0,0,0,0,0,0,"g4run","libc.so.6","__pthread_clockjoin_ex"
278599216,198632162,415205915,419522982,5484303,5134062,695467,268879,141114828,196383984,3003663,197564,"g4run","libc.so.6","__memchr_avx2"
73292834,64924667,68950733,84900791,916358,1415829,125521,12275,59398160,57186427,17057,136421,"g4run","libc.so.6","pthread_once@GLIBC_2.2.5"
17225271,13228013,13514133,6927086,224942,125081,0,0,15095868,11856028,18615,150343,"g4run","libc.so.6","round_away"
80748,0,0,0,0,0,0,0,0,0,0,0,"g4run","libc.so.6","_pthread_cleanup_pop@GLIBC_2.2.5"
19275306780,56844413398,13770122619,40635943647,3991346855,12323832458,466904233,1021528594,9359610001,27446387229,1765117994,5575360816,"g4run","libc.so.6","__memset_avx2_unaligned"
24423840,26085185,10615565,24090044,701444,1078343,186442,314990,11709010,11521314,87800,106257,"g4run","libc.so.6","__GI___printf_fp_l"
0,3490084,0,0,0,0,0,9229,0,0,0,0,"g4run","libc.so.6","__errno_location"
0,3492354,0,0,0,0,0,0,0,0,0,0,"g4run","libG4run.so","G4RunManagerKernel::PropagateGenericIonID"
3491508,10471502,8583990,46712,839901,283790,254647,73023,0,0,7107,2759,"g4run","libG4run.so","G4RunManagerKernel::CheckRegularGeometry"
11398933,16611045,2985686,3377549,1648880,334030,182857,380764,0,1109584,259267,633924,"g4run","libG4run.so","G4WorkerRunManagerKernel::SetupShadowProcess"
127174,0,0,0,0,0,0,0,0,0,0,0,"g4run","libG4run.so","G4RunManagerKernel::RunTermination"
3491327,0,0,0,0,0,26721,0,0,0,0,0,"g4run","libG4run.so","G4RunManagerKernel::CheckRegions"
10475259,6982479,6598274,0,650873,324403,9541,9044,5676255,6077336,0,62671,"g4run","libG4run.so","std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > > > >::find"
0,3490536,0,0,0,0,0,0,0,0,0,0,"g4run","libG4run.so","G4RunManager::AnalyzeEvent"
0,657822,0,0,0,0,0,1219,0,0,0,0,"g4run","libG4run.so","G4RunManager::~G4RunManager"
6539902,0,17500969,0,337700,0,141906,0,8887098,0,392963,0,"g4run","libG4run.so","G4PhysicsListHelper::RegisterProcess"
6982376,0,0,0,691718,0,112067,0,0,0,574573,0,"g4run","libG4run.so","G4VUserPhysicsList::PreparePhysicsTable"
8877159,36146,161041,134986,0,707635,131832,43229,0,2892406,4270,11860,"g4run","libG4run.so","G4WorkerThread::UpdateGeometryAndPhysicsVectorFromMaster"
3487828,3486834,0,8433518,0,0,34997,52699,1885379,2903652,0,0,"g4run","libG4run.so","G4VUserPhysicsList::InitializeProcessManager"
6982204,3173189,0,0,565167,85606,126394,78313,0,3684821,613849,0,"g4run","libG4run.so","G4VUserPhysicsList::BuildPhysicsTable"
0,51015,0,0,0,0,0,0,0,0,0,0,"g4run","libG4run.so","G4MatScanMessenger::~G4MatScanMessenger"
6982159,0,0,0,0,0,0,0,0,0,0,0,"g4run","libG4run.so","G4VPersistencyManager::GetPersistencyManager"
0,3476528,0,0,0,0,0,0,0,0,0,0,"g4run","libG4run.so","G4RunManager::StackPreviousEvent"
125539727380,122996930346,118821028776,115991353569,17386756154,17173256062,1876396906,1804019326,69992797964,69265392853,4099507907,4089721670,"g4run","libG4particles.so","G4Neutron::Definition"
0,6981266,0,0,0,0,0,0,0,0,0,258383,"g4run","libG4particles.so","G4IonTable::Insert"
3486650,3487577,3183943,0,0,593474,76156,0,0,0,0,0,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::IsInTable@plt"
43156441774,39714128371,39013393192,35610104344,8551065109,7837832568,1078973349,956212137,25777616505,23426316340,2907526393,2625076751,"g4run","libG4particles.so","pDynamicParticleAllocator"
3486885,0,0,0,0,0,45507,0,0,0,239462,0,"g4run","libG4particles.so","G4AntiProton::AntiProton"
6979587,0,5409462,0,1212883,0,522330,0,6533495,0,265174,0,"g4run","libG4particles.so","G4MuonMinus::Definition"
17379349,17443721,2903494,3319993,0,1129950,910116,732169,2257397,1892004,503600,206435,"g4run","libG4particles.so","G4VDecayChannel::FillParent"
1007431006,1024768718,1100319863,1022709881,149134916,150306308,13211786,13626494,697809497,557579305,32528366,39264210,"g4run","libG4particles.so","G4Lambda::Definition"
24251217,13959916,3487439,6801327,2300497,4399507,983255,1318530,4028213,8123717,517216,466824,"g4run","libG4particles.so","std::_Rb_tree_increment@plt"
3483168,0,0,0,0,0,16723,0,0,0,0,0,"g4run","libG4particles.so","G4IonTable::IsIon"
247250420,181364538,164479865,168316494,20154195,17088761,6341974,5987269,61541336,86084351,6317349,3926647,"g4run","libG4particles.so","G4Triton::Definition"
2354946363,2464584879,2440781685,2780867098,296617917,336315618,22255878,22965894,1465735250,1628389811,78727270,90267493,"g4run","libG4particles.so","G4KaonPlus::Definition"
38227189,38357999,52229787,43308055,2287398,1616797,217069,293269,32826544,22002474,758565,740265,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetAtomicMass"
0,3483793,0,3303630,0,2295994,0,49504,0,1966094,0,0,"g4run","libG4particles.so","CLHEP::MixMaxRng::iterate@plt"
8225273091,8531334378,7224257214,8012622072,1144978546,1140637709,260009586,245914794,4587730690,4719169586,269606620,279557028,"g4run","libG4particles.so","G4PionPlus::Definition"
66271448,41597305,15829681,10339018,10276883,12229747,2734915,4283879,13828883,12727088,1499297,1853546,"g4run","libG4particles.so","G4DecayProducts::~G4DecayProducts"
348297477,358978784,320092217,341244831,52677778,54439520,6139830,6846918,211164588,213745898,12323619,12511807,"g4run","libG4particles.so","G4SigmaZero::Definition"
70088213206,67859680774,68841370393,67306944565,10277286485,10255491265,1067039635,1070562332,38436031248,38106241646,2264823997,2193954310,"g4run","libG4particles.so","G4DynamicParticle::Set4Momentum"
38366403,62451403,50804669,50915259,2370322,4816364,1543736,1070659,34198792,26779717,721343,1537057,"g4run","libG4particles.so","G4ParticleTable::CheckReadiness"
285674114,233473519,162117198,131879221,22141165,28811171,10682699,7769806,86813954,103439291,3453824,5931895,"g4run","libG4particles.so","G4AntiNeutron::Definition"
0,3488402,0,0,0,1483,0,144538,0,0,0,0,"g4run","libG4particles.so","std::_Rb_tree<G4String, std::pair<G4String const, G4ParticleDefinition*>, std::_Select1st<std::pair<G4String const, G4ParticleDefinition*> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4ParticleDefinition*> > >::_M_erase"
31284452,31355064,3229492,0,2384167,580659,1714031,1077089,7658139,4129614,1445883,0,"g4run","libG4particles.so","G4AntiNeutrinoMu::Definition"
808441286,511785779,732359723,430222533,168877446,95252879,14235252,7614482,522162432,325854653,64326001,36290797,"g4run","libG4particles.so","G4IonTable::FindIon@plt"
181141233,198388785,83189504,59056657,14954456,16368084,6392566,5941940,50030265,24016541,5435782,3175525,"g4run","libG4particles.so","std::_Rb_tree<G4String, std::pair<G4String const, G4ParticleDefinition*>, std::_Select1st<std::pair<G4String const, G4ParticleDefinition*> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4ParticleDefinition*> > >::find"
233536464,212719015,42594557,70791442,26531301,14503262,13839940,13136660,35080104,35689478,4373748,4315036,"g4run","libG4particles.so","G4PhaseSpaceDecayChannel::TwoBodyDecayIt"
0,6971264,0,0,0,0,0,0,0,3259413,0,0,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetAtomicMass@plt"
3491041,0,0,0,0,0,0,0,0,0,0,0,"g4run","libG4particles.so","G4IonTable::GetIonName"
181108572,212267361,6709141,15599663,6916932,9257887,8265589,7056837,11998794,15871274,1920583,3675043,"g4run","libG4particles.so","G4IonTable::FindIonInMaster"
3020035609,3513098249,3099475936,3435413691,637672428,646571101,53720638,56683927,2122323964,2197188925,248004789,258490646,"g4run","libG4particles.so","G4PDefManager::offset@plt"
0,3489382,0,6491594,0,0,0,0,0,1868504,0,0,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetNuclearMass@plt"
0,6980456,0,7960997,0,1299382,0,0,0,0,0,0,"g4run","libG4particles.so","G4ParticleTable::CheckReadiness@plt"
278524906,271413542,210688054,187281508,31559050,28217198,5724240,5349416,117646252,123550734,7103733,6938849,"g4run","libG4particles.so","G4XiZero::Definition"
6979670,6976563,3267369,12664616,1223836,653135,459511,529538,9881765,4470797,0,267918,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
34885618,3489410,6656347,3307876,1759237,581433,1400340,1151590,0,0,502376,443726,"g4run","libG4particles.so","G4TauPlus::Definition"
0,3485476,0,0,0,0,0,0,0,0,0,0,"g4run","libG4particles.so","G4PDGCodeChecker::CheckForNuclei"
0,17101189,0,6092164,0,0,0,100164,0,3335342,0,31151,"g4run","libG4particles.so","std::_Rb_tree<int, std::pair<int const, G4ParticleDefinition*>, std::_Select1st<std::pair<int const, G4ParticleDefinition*> >, std::less<int>, std::allocator<std::pair<int const, G4ParticleDefinition*> > >::_M_erase"
