id,cycles,instructions,cache_references,cache_misses,L1_dcache_loads,L1_dcache_load_misses
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libicuuc.so.71.1",,,,,,
"all;g4run;libG4processes.so;G4FTFParamCollBaryonProj::G4FTFParamCollBaryonProj",0,8159156,0,0,0,0
"all;g4run;libG4processes.so;G4MollerBhabhaModel::ComputeDEDXPerVolume",13963673,25241287,0,0,13554390,0
"all;g4run;libG4processes.so;G4BraggIonModel::ElectronicStoppingPower",24433491,44515544,150775,0,19586461,0
"all;g4run;libG4processes.so;G4PreCompoundHe3::GetRj",181256816,261385053,3191854,266167,85872777,527767
"all;g4run;libG4processes.so;G4FermiFragmentsPoolVI::IsPhysical",6582405,0,0,0,0,0
"all;g4run;libG4processes.so;G4FermiMomentum::~G4FermiMomentum",0,0,0,0,0,237750
"all;g4run;libG4processes.so;G4CascadeFunctions<G4CascadeSigmaPlusPChannelData, G4KaonHypSampler>::getCrossSection",6980551,6452491,540886,0,4075688,0
"all;g4run;libG4processes.so;G4ParticleChange::AddSecondary@plt",10399012,9858880,0,590777,13497708,512905
"all;g4run;libG4processes.so;G4VLongitudinalStringDecay::SetMassCut",0,0,0,0,0,439029
"all;g4run;libG4processes.so;G4EmModelManager::GetModel",47648052495,41322740214,9703783312,936313892,26267128866,4578935238
"all;g4run;libG4processes.so;std::_Rb_tree<unsigned long, unsigned long, std::_Identity<unsigned long>, std::less<unsigned long>, std::allocator<unsigned long> >::_M_erase",10459909,19142509,1166819,189073,6072098,0
"all;g4run;libG4processes.so;G4LorentzConvertor::toTheTargetRestFrame@plt",10471551,6716227,609321,642659,3973630,261982
"all;g4run;libG4processes.so;G4CascadParticle::operator=",16261295039,14973350330,1853092287,250673340,9489288022,401435078
"all;g4run;libG4processes.so;G4KM_OpticalEqRhs::G4KM_OpticalEqRhs",3487664,0,0,0,0,0
"all;g4run;libG4processes.so;G4BigBanger::generateBangInSCM",3490804,0,0,0,0,0
"all;g4run;libG4processes.so;G4HadronicDeveloperParameters::DeveloperGet",0,0,0,0,1813808,0
"all;g4run;libG4processes.so;G4InuclSpecialFunctions::csNN",470719866,296168988,45758919,21059506,137988605,5214075
"all;g4run;libG4processes.so;G4CascadeFinalStateAlgorithm::SaveKinematics",6381624015,4912365169,1169821090,170592612,2619349803,357342284
"all;g4run;libG4processes.so;G4Transportation::SetTouchableInformation",140976769205,145329511772,22012940740,2560191990,90414386269,9238556243
"all;g4run;libG4processes.so;G4CascadeCoalescence::clusterType",2673011711,4416250633,53589113,10610209,2532590388,9395001
"all;g4run;libG4processes.so;G4EmCorrections::ComputeIonCorrections",20929962,0,2450982,0,0,552835
"all;g4run;libG4processes.so;G4CollisionOutput::removeRecoilFragment",1709339390,578325806,242890608,105982041,332858828,66043737
"all;g4run;libG4processes.so;G4ProcessTableMessenger::SetNewValue",0,0,0,0,0,1019
"all;g4run;libG4processes.so;G4BinaryCascade::DeExcite",0,3453388,0,129920,2073450,0
"all;g4run;libG4processes.so;G4FragmentingString::Get4Momentum",3435159,9177233,0,432715,4046041,0
"all;g4run;libG4processes.so;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >",0,6601197,0,0,0,0
"all;g4run;libG4processes.so;G4WentzelOKandVIxSection::SampleSingleScattering@plt",10353641,28110274,2852123,349487,4078382,0
"all;g4run;libG4processes.so;G4CascadeFunctions<G4CascadeKzeroNChannelData, G4KaonSampler>::getOutgoingParticleTypes",48750402,46148109,4466791,1919145,27050593,1223302
"all;g4run;libG4processes.so;G4CascadeNNChannel::findCrossSection",23018549744,24554551801,3098155077,263045839,13596157023,574182430
"all;g4run;libG4processes.so;G4CascadeCoalescence::removeNucleons@plt",24391495,22656258,8989631,899375,19835714,1472547
"all;g4run;libG4processes.so;G4hIonisation::InitialiseEnergyLossProcess",0,8638693,0,22475,0,0
"all;g4run;libG4processes.so;G4SigmaMinus::Definition@plt",13960850,6882620,1264459,149599,4186295,165314
"all;g4run;libG4processes.so;G4ComponentGGNuclNuclXsc::GetInelasticElementCrossSection",1724642061,1190503002,302333505,108220630,642840196,100905939
"all;g4run;libG4processes.so;G4HadronicProcess::InitialiseLocal",0,0,101906,0,0,0
"all;g4run;libG4processes.so;pFragmentAllocator",620330791,341903112,92667771,20063634,217205648,36803384
"all;g4run;libG4processes.so;G4EmElementSelector::G4EmElementSelector",0,0,6347,13000,0,68089
"all;g4run;libG4processes.so;G4NucleonNuclearCrossSection::GetElementCrossSection@plt",3489026,3330273,541467,76151,0,254495
"all;g4run;libG4processes.so;G4ComponentBarNucleonNucleusXsc::ComputeCrossSections",7299828421,8246411269,983698005,159743019,4178697815,440819607
"all;g4run;libG4processes.so;G4KalbachCrossSection::ComputeCrossSection",14421197488,18973287140,374985050,93509573,8085840836,71316275
"all;g4run;libG4processes.so;G4Fancy3DNucleus::GetMassNumber",20939576,9674896,1702891,207498,2031939,530216
"all;g4run;libG4processes.so;G4DiffractiveExcitation::GaussianPt",38359119,36003672,3418671,673194,13393584,746895
"all;g4run;libG4processes.so;G4InteractionCase::set@plt",306698864,279397156,32499301,2681043,160361702,5613880
"all;g4run;libG4processes.so;G4eIonisation::InitialiseEnergyLossProcess",0,0,0,23471,0,0
"all;g4run;libG4processes.so;G4WentzelVIModel::Initialise",0,0,59802,78797,0,376133
"all;g4run;libG4processes.so;G4SigmaMinusField::G4SigmaMinusField",0,3340354,0,61253,0,0
"all;g4run;libG4processes.so;G4EnergyRangeManager::BuildPhysicsTable",2992980,0,0,195925,0,107869
"all;g4run;libG4processes.so;G4CascadeFunctions<G4CascadeLambdaNChannelData, G4KaonHypSampler>::getMultiplicity",24427027,46603551,3055040,71979,27455297,470424
"all;g4run;libG4processes.so;G4ComponentGGNuclNuclXsc::ComputeCrossSections@plt",51978319,43429831,2867905,1709156,14079224,2240183
"all;g4run;libG4processes.so;G4LossTableManager::GetEnergyLossProcess",6895036108,2843690200,1082317751,325789775,2315589855,331761756
"all;g4run;libG4processes.so;G4XiZero::Definition@plt",6980882,3164806,560910,138863,2214279,220795
"all;g4run;libG4processes.so;G4Alpha::Definition@plt",10469200,3375241,575296,156372,0,283737
"all;g4run;libG4processes.so;std::vector<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::_M_realloc_insert<std::vector<unsigned long, std::allocator<unsigned long> > const&>",0,0,0,0,1878282,0
"all;g4run;libG4processes.so;G4CascadeInterpolator<30>::getBin@plt",1153524090,1858522190,117238577,10256174,899918381,18714672
"all;g4run;libG4processes.so;G4NucleiModel::forceFirst",4373914555,3264749772,680067034,116289350,1866946399,161004853
"all;g4run;libG4processes.so;G4PhotoNuclearCrossSection::GetFunctions",0,0,0,0,0,268590
"all;g4run;libG4processes.so;std::__introsort_loop<__gnu_cxx::__normal_iterator<std::pair<G4InuclElementaryParticle, double>*, std::vector<std::pair<G4InuclElementaryParticle, double>, std::allocator<std::pair<G4InuclElementaryParticle, double> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::pair<G4InuclElementaryParticle, double> const&, std::pair<G4InuclElementaryParticle, double> const&)> >",2209678937,1918129717,248418656,10983567,1045686814,39774102
"all;g4run;libG4processes.so;G4GammaNuclearXS::GetElementCrossSection",0,0,858581,66213,0,294577
"all;g4run;libG4processes.so;G4MultiBodyMomentumDist::passVerbose@plt",0,6309904,568293,0,0,246581
"all;g4run;libG4processes.so;std::vector<G4InuclNuclei, std::allocator<G4InuclNuclei> >::_M_realloc_insert<G4InuclNuclei const&>",0,0,562569,140922,0,0
"all;g4run;libG4processes.so;G4LossTableManager::GetEnergyLossProcess@plt",6972606,13217673,4624006,434151,1907014,381926
"all;g4run;libG4processes.so;G4eeToTwoGammaModel::Initialise",0,0,0,1942,0,1708
"all;g4run;libG4processes.so;G4NonEquilibriumEvaporator::deExcite",9948291536,7026258152,1313271534,552509437,3648527712,243185627
"all;g4run;libG4processes.so;G4CascadeFunctions<G4CascadeKminusPChannelData, G4KaonSampler>::getCrossSection",0,9877441,1769583,204130,3836826,311400
"all;g4run;libG4processes.so;G4CascadeDeexciteBase::getTargetData@plt",48715719,46683286,7589066,2784412,15946693,527596
"all;g4run;libG4processes.so;G4Transportation::PostStepDoIt",198004862870,186431829503,31753504614,4115810430,118141007783,13675985727
"all;g4run;libG4processes.so;G4ICRU73QOModel::G4ICRU73QOModel",0,0,0,48878,0,0
"all;g4run;libG4processes.so;G4ProcessManager::StartTracking",97980681544,82093436827,20234044996,1876478415,52871526715,8877271673
"all;g4run;libG4processes.so;G4NucleiModel::getCurrentDensity",10516294731,8899869579,1848823222,136291348,5039068230,582330819
"all;g4run;libG4processes.so;G4Nucleon::G4Nucleon",132261558,83169766,14370310,2093600,55048383,6274238
"all;g4run;libG4processes.so;G4FragmentingString::SetRightPartonStable",3490683,0,688391,0,2057326,224694
"all;g4run;libG4processes.so;aRPAllocator@plt",10466904,6790935,1324195,319471,0,0
"all;g4run;libG4processes.so;sincos@plt",683424145,672826482,143124977,8977712,477391538,48377580
"all;g4run;libG4processes.so;G4ICRU73QOModel::GetShellEnergy",0,0,0,0,2661361,0
"all;g4run;libG4processes.so;G4OmegaMinus::Definition@plt",0,3107892,683334,146060,5889745,0
"all;g4run;libG4processes.so;G4PreCompoundDeuteron::FactorialFactor",108117476,168858963,1111310,74620,69260583,198936
"all;g4run;libG4processes.so;G4ChipsNeutronElasticXS::GetQ2max@plt",73088724,76173827,17440816,1058827,52197518,5283514
"all;g4run;libG4processes.so;G4Decay::EndTracking",1087248601,841544313,159739663,44797064,564705214,60983606
"all;g4run;libG4processes.so;G4EvaporationProbability::ComputeProbability",9478608010,9417560022,341617513,92441830,4630856683,62317933
"all;g4run;libG4processes.so;G4InuclParticle::G4InuclParticle@plt",128592093,140746995,13688692,1250100,78916875,5827822
"all;g4run;libG4processes.so;G4Fragment::~G4Fragment",2006892247,1305661106,249615124,104511661,620787921,54905521
"all;g4run;libG4processes.so;G4FTFAnnihilation::Create1DiquarkAntiDiquarkString",0,3187004,0,257166,0,0
"all;g4run;libG4processes.so;G4LundStringFragmentation::StopFragmenting",27748866,9534247,4411214,1725320,7141067,685957
"all;g4run;libG4processes.so;std::vector<G4Fragment*, std::allocator<G4Fragment*> >::_M_realloc_insert<G4Fragment* const&>",609328293,253954588,61272990,27776719,155123185,10764319
"all;g4run;libG4processes.so;G4KleinNishinaCompton::SampleSecondaries",186462950621,164868008378,39284512715,2441293257,111782653966,16517879132
"all;g4run;libG4processes.so;G4CollisionManager::GetNextCollision",6976966,0,597005,288029,5713094,0
"all;g4run;libG4processes.so;G4CascadeFunctions<G4CascadeKminusNChannelData, G4KaonSampler>::getCrossSection",17434631,6389684,0,0,6068099,0
"all;g4run;libG4processes.so;G4ElasticHNScattering::ElasticScattering",27905781,16012945,3192438,881748,11811288,0
"all;g4run;libG4processes.so;G4HadProjectile::InitialiseLocal",39497951131,38375216067,8142417668,530136567,24296659959,3695865870
"all;g4run;libG4processes.so;std::__introsort_loop<__gnu_cxx::__normal_iterator<G4InuclElementaryParticle*, std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<G4ParticleLargerEkin> >",5804594875,4883996996,800745817,174664731,2395801837,153634124
"all;g4run;libG4processes.so;G4PhotonEvaporation::GenerateGamma@plt",24412303,3386019,2453434,139816,2079683,0
"all;g4run;libG4processes.so;G4ElementaryParticleCollider::pionNucleonAbsorption",822917387,666965581,127801128,22328805,478297014,30520635
"all;g4run;libG4processes.so;sin@plt",45269386,62399487,11799636,745093,62287790,2426773
"all;g4run;libG4processes.so;G4BGGPionInelasticXS::IsElementApplicable",296182119,216676405,42007094,9159930,132567453,20940746
"all;g4run;libG4processes.so;G4EmTableUtil::BuildLambdaTable",0,5642254,0,0,0,0
"all;g4run;libG4processes.so;G4LevelManager::NearestLevelIndex@plt",0,6759839,0,0,0,0
"all;g4run;libG4processes.so;G4LundStringFragmentation::Quark_AntiQuark_lastSplitting",167286016,59337295,6769177,3074426,41461896,2958763
"all;g4run;libG4processes.so;aTrackAllocator@plt",592429325,442074105,128248890,20418244,374208460,47375632
"all;g4run;libG4processes.so;G4BraggIonModel::DEDX",0,0,0,0,2762967,0
"all;g4run;libG4processes.so;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",0,0,0,31659,0,0
"all;g4run;libG4processes.so;G4LorentzConvertor::backToTheLab@plt",3490142,0,0,0,2115104,0
"all;g4run;libG4processes.so;G4WentzelOKandVIxSection::SetupParticle",38365997,14882523,5403694,1288016,11832582,1836475
"all;g4run;libG4processes.so;G4RegionModels::G4RegionModels",0,0,0,21248,0,0
"all;g4run;libG4processes.so;G4CollisionInitialState::GetFinalState",3487584,0,0,0,1935955,0
"all;g4run;libG4processes.so;G4Transportation::G4Transportation",0,0,0,43679,0,0
"all;g4run;libG4processes.so;G4BetheBlochModel::ComputeCrossSectionPerElectron",6983175,10545948,63541,0,5338121,0
"all;g4run;libG4processes.so;G4Fragment::CalculateMassAndExcitationEnergy@plt",13960334,3287883,1030552,267755,0,1231729
"all;g4run;libG4processes.so;G4CrossSectionInelastic::G4CrossSectionInelastic",0,0,0,58584,0,0
"all;g4run;libG4processes.so;G4CollisionOutput::addOutgoingNuclei",10668078856,9530761615,1077304131,251222310,5567155249,247562959
"all;g4run;libG4processes.so;G4CascadeFunctions<G4CascadeNPChannelData, G4PionNucSampler>::getCrossSection",8681819561,7092427053,1693217917,129823379,3995503687,546447292
"all;g4run;libG4processes.so;G4ChipsElasticModel::SampleInvariantT",7524145611,5800731668,1417906168,229098274,3824687284,498056206
"all;g4run;libG4processes.so;G4PhotonEvaporation::BreakUpChain",598925387,286511543,66953930,26596381,186976064,18256563
"all;g4run;libG4processes.so;G4CascadeChannelTables::GetTable",13429265555,12352825705,1892115450,253315405,7468191454,545199990
"all;g4run;libG4processes.so;G4VEmissionProbability::FindRecoilExcitation@plt",0,0,0,0,2065653,0
"all;g4run;libG4processes.so;G4InuclSpecialFunctions::paraMaker::getParams@plt",3491016,0,0,0,2027315,0
"all;g4run;libG4processes.so;G4ElectroVDNuclearModel::CalculateHadronicVertex",6974729,0,0,0,0,0
"all;g4run;libG4processes.so;G4CascadeFinalStateAlgorithm::SetVerboseLevel",979864732,1217237518,140625719,19769009,761532169,29888946
"all;g4run;libG4processes.so;G4CascadeRecoilMaker::goodNucleus",3010053274,2775431972,515068263,104762611,1517873631,91694540
"all;g4run;libG4processes.so;G4CollisionOutput::boostToLabFrame",3558433194,1707496439,475144905,177940483,1184235232,136513566
"all;g4run;libG4processes.so;G4FTFTunings::GetIndexTune@plt",0,0,0,55222,0,0
"all;g4run;libG4processes.so;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare@plt",0,7067653,0,61386,0,0
"all;g4run;libG4processes.so;G4BinaryCascade::FindCollisions",6976428,0,0,66794,1996121,0
"all;g4run;libG4processes.so;G4WentzelVIModel::DefineMaterial",2640232937,2359919543,428705769,73602542,1401659906,184295995
"all;g4run;libG4processes.so;G4ProcessManager::G4ProcessManager",0,4008881,0,0,0,0
"all;g4run;libG4processes.so;G4XnpElasticLowE::CrossSection",3489441,0,534124,142887,2033119,274173
"all;g4run;libG4processes.so;G4Proton::Proton@plt",3470766,3432485,0,78715,0,0
"all;g4run;libG4processes.so;G4UrbanMscModel::SampleCosineTheta@plt",27875919,65204997,4390481,405134,25338721,2515033
"all;g4run;libG4processes.so;G4CascadeFunctions<G4CascadePiMinusNChannelData, G4PionNucSampler>::getOutgoingParticleTypes",34877649,6620413,6503913,1741637,7612878,696589
"all;g4run;libG4processes.so;G4BGGPionInelasticXS::FactorPiMinus",101066002,74534009,17230020,1623469,49552891,8033920
"all;g4run;libG4processes.so;G4CascadeFunctions<G4CascadeNNChannelData, G4PionNucSampler>::getOutgoingParticleTypes",7826299776,8045195698,946947982,181527887,5071233268,212174836
"all;g4run;libG4processes.so;G4NeutronInelasticXS::GetIsoCrossSection",23528289273,23118315779,3685685378,481232548,13761084727,2414449753
"all;g4run;libG4processes.so;G4KleinNishinaCompton::ComputeCrossSectionPerAtom",24306437,34593863,0,13295,22460449,39210
"all;g4run;libG4processes.so;G4EmCaptureCascade::AddNewParticle",76465879,22441138,4122989,2483219,19606258,1830331
"all;g4run;libG4processes.so;G4HadDecayGenerator::SetVerboseLevel",12350503063,10740931326,1764271719,217105301,7089348130,374233655
"all;g4run;libG4processes.so;G4EquilibriumEvaporator::getPARLEVDEN@plt",0,0,0,76766,2004973,0
"all;g4run;libG4processes.so;G4FermiBreakUpVI::IsApplicable",153173788,43788994,13545086,8005624,22187935,2895255
"all;g4run;libG4processes.so;G4PhysicsVector::GetBin",7038603195,5539482126,1030947807,178233916,2932722820,290463911
"all;g4run;libG4processes.so;G4BGGPionElasticXS::CoulombFactorPiPlus@plt",0,0,0,63288,2008398,0
"all;g4run;libG4processes.so;G4HadronElasticProcess::G4HadronElasticProcess",0,3709739,0,0,0,0
"all;g4run;libG4processes.so;std::_Rb_tree<int, std::pair<int const, G4VNuclearField*>, std::_Select1st<std::pair<int const, G4VNuclearField*> >, std::less<int>, std::allocator<std::pair<int const, G4VNuclearField*> > >::_M_erase",0,0,0,63955,0,0
"all;g4run;libG4processes.so;G4ParticleTable::GetIonTable@plt",20910284,3298820,5768699,711343,3909642,1033693
"all;g4run;libG4processes.so;G4CascadeFunctions<G4CascadePPChannelData, G4PionNucSampler>::getMultiplicity",6586135739,8473992088,693398091,45771769,4775785392,153416854
"all;g4run;libG4processes.so;G4CascadeChannelTables::instance@plt",1265824906,1399662492,168744140,16911939,887920038,45762176
"all;g4run;libG4processes.so;G4CascadeInterface::NoInteraction",3490579,10301207,1090826,314451,4069914,515450
"all;g4run;libG4processes.so;G4GEMChannel::EmittedFragment",6973907,3306817,0,0,1957690,0
"all;g4run;libG4processes.so;G4CollisionManager::RemoveTracksCollisions",17443390,6695054,1194932,361633,4096188,0
"all;g4run;libG4processes.so;G4MuonVDNuclearModel::MakeSamplingTable",17448956,40785416,0,0,20490301,0
"all;g4run;libG4processes.so;G4Diproton::Definition",354838832,227610452,34167158,11293882,146360718,6698572
"all;g4run;libG4processes.so;G4CascadeFinalStateAlgorithm::FillDirections",41657210,46089987,3595795,400373,5893125,526088
"all;g4run;libG4processes.so;G4BinaryLightIonReaction::EnergyAndMomentumCorrector",41870558,34717707,567913,0,29199792,190739
"all;g4run;libG4processes.so;G4InuclElementaryParticle::fill",0,0,1173145,220867,1952826,0
"all;g4run;libG4processes.so;G4ICRU73QOModel::MaxSecondaryEnergy",3486910,10876436,631780,267701,6052211,0
"all;g4run;libG4processes.so;std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::_M_default_append@plt",24393995,16654138,7857911,1939889,17721542,494831
"all;g4run;libG4processes.so;std::vector<CLHEP::HepLorentzVector, std::allocator<CLHEP::HepLorentzVector> >::_M_default_append",4038997057,3508972894,722890392,130541790,1949067162,163414774
"all;g4run;libG4processes.so;G4CrossSectionInelastic::GetElementCrossSection",3081287303,1467107311,489350726,188842064,1058957435,192367483
"all;g4run;libG4processes.so;G4FragmentingString::Mass@plt",0,0,0,63934,0,0
"all;g4run;libG4processes.so;CLHEP::HepLorentzVector::transform@plt",0,0,0,79743,0,0
"all;g4run;libG4processes.so;G4MuBetheBlochModel::ComputeCrossSectionPerElectron",66335210,57291939,65962,0,38606551,0
"all;g4run;libG4processes.so;G4ElectroNuclearCrossSection::G4ElectroNuclearCrossSection",3489933,0,0,0,1685922,0
"all;g4run;libG4processes.so;G4Fancy3DNucleus::~G4Fancy3DNucleus",12474464,7156586,0,156140,1888196,0
"all;g4run;libG4processes.so;G4HadronicProcessStore::Instance",0,5647887,0,0,0,0
"all;g4run;libG4processes.so;G4FTFModel::GetWoundedNucleus",6979113,3584993,1348549,289447,5913801,489652
"all;g4run;libG4processes.so;G4Fissioner::potentialMinimization",24385738,23092772,2271496,192790,34328120,739714
"all;g4run;libG4processes.so;G4EquilibriumEvaporator::deExcite",39898444946,34622513209,4468722793,1260465916,17908767151,796705979
"all;g4run;libG4processes.so;G4LorentzConvertor::reflectionNeeded",2840823354,1367959095,432446920,149315868,939451838,115453290
"all;g4run;libG4processes.so;G4Fancy3DNucleus::StartLoop",31397804,46145159,735787,630857,13467158,988268
"all;g4run;libG4processes.so;G4ICRU73QOModel::GetNumberOfShells",3492284,0,0,0,0,47569
"all;g4run;libG4processes.so;G4ChipsProtonElasticXS::GetQ2max",17441321,0,1281620,1574836,0,268342
"all;g4run;libG4processes.so;G4PropagatorInField::ClearPropagatorState@plt",142931252,142888539,21018798,6281098,64157995,9728845
"all;g4run;libG4processes.so;G4BGGNucleonElasticXS::GetIsoCrossSection",146360900,269394583,10863005,1602584,142102124,4716033
"all;g4run;libG4processes.so;G4InuclSpecialFunctions::G4cbrt@plt",34715570,9988909,3886350,1717291,10091672,495766
"all;g4run;libG4processes.so;G4LundStringFragmentation::Quark_Diquark_lastSplitting",131942011,46195523,15000046,2689313,50607350,1687032
"all;g4run;libG4processes.so;G4VCrossSectionSource::FindKeyParticle",0,6787637,1817315,276289,0,483068
"all;g4run;libG4processes.so;G4LorentzConvertor::rotate@plt",62679804,25981656,6723868,3146935,18221068,1071778
"all;g4run;libG4processes.so;G4EmCorrections::BlochCorrection",20935134,25357884,3061896,151581,13276358,440731
"all;g4run;libG4processes.so;G4WentzelVIModel::InitialiseLocal",0,0,0,0,0,80609
"all;g4run;libG4processes.so;G4AntiNuclElastic::BesselJone",27910865,29980834,601041,85130,4077475,0
"all;g4run;libG4processes.so;std::vector<double, std::allocator<double> >::reserve@plt",31397110,26618261,576788,136085,15937941,258180
"all;g4run;libG4processes.so;G4CollisionOutput::reset",28862731378,24161362480,3294962567,941984128,13910023566,642768174
"all;g4run;libG4processes.so;G4VLongitudinalStringDecay::PossibleHadronMass",3490747,0,624409,311714,0,301502
"all;g4run;libG4processes.so;G4NucleiModel::passFermi",25219285767,19565124157,4864757244,647700000,9273728051,559111028
"all;g4run;libG4processes.so;G4BinaryLightIonReaction::GetProjectileExcitation",0,0,0,0,0,247507
"all;g4run;libG4processes.so;G4ComponentGGNuclNuclXsc::ComputeCoulombBarier@plt",0,3165744,0,72913,0,0
"all;g4run;libG4processes.so;G4NucleiModel::passTrailing",2593250469,2942808105,568300748,61282893,1360259109,136264090
"all;g4run;libG4processes.so;G4XnpElastic::GetComponents",0,6776256,0,0,0,0
"all;g4run;libG4processes.so;atan2@plt",55744837,60048704,8816176,636609,15912165,5654958
"all;g4run;libG4processes.so;G4NucleiModel::inverseMeanFreePath@plt",76697906,78228166,13173403,1222201,47494862,2341755
"all;g4run;libG4processes.so;G4PionZero::Definition@plt",181254532,188494534,27421132,4711657,130442166,9375276
"all;g4run;libG4processes.so;G4NuclearFermiDensity::GetRelativeDensity",254191002,200547065,18044725,1649841,148427646,6510377
"all;g4run;libG4processes.so;G4ComponentAntiNuclNuclearXS::GetInelasticElementCrossSection",310156379,279651205,13802456,2911821,152275937,5265453
"all;g4run;libG4processes.so;G4BraggModel::ElectronicStoppingPower",38404346,79773369,941782,0,38121254,296611
"all;g4run;libG4processes.so;G4VNuclearDensity::G4VNuclearDensity",0,6076887,1142293,0,5931283,0
"all;g4run;libG4processes.so;G4CascadeFunctions<G4CascadeSigmaZeroNChannelData, G4KaonHypSampler>::getOutgoingParticleTypes",6980247,20327548,595754,0,6104047,745396
"all;g4run;libG4processes.so;G4WentzelOKandVIxSection::SetupKinematic",2097938237,1829297221,317761683,49598773,1188046874,151280758
"all;g4run;libG4processes.so;G4HadronBuilder::Barion",13873460,13417137,2415504,540989,5938963,523841
"all;g4run;libG4processes.so;G4ProcessTable::Insert",16142112,47551381,934367,0,13570595,190961
"all;g4run;libG4processes.so;G4AntiKaonZero::Definition@plt",166987962,146901286,13466672,2565078,123696782,4610400
"all;g4run;libG4processes.so;G4ProcTblElement::~G4ProcTblElement",0,10753145,0,0,2502850,0
"all;g4run;libG4processes.so;G4PhotonEvaporation::GenerateGamma",4919373388,2442384033,478382706,232508718,1459395072,122144537
"all;g4run;libG4processes.so;G4InuclSpecialFunctions::randomCOS_SIN",21656304369,22639106682,3626546929,273205320,14006433913,757477963
"all;g4run;libG4processes.so;G4LundStringFragmentation::Sample4Momentum",31279319,19409520,1068408,219837,5933562,0
"all;g4run;libG4processes.so;G4Fancy3DNucleus::Init",153488658,78045408,15894942,5707984,31893422,3328627
"all;g4run;libG4processes.so;G4KM_NucleonEqRhs::G4KM_NucleonEqRhs",0,3218330,0,67980,0,0
"all;g4run;libG4processes.so;G4CascadeCoalescence::fillCluster@plt",0,14673336,611551,0,6139200,0
"all;g4run;libG4processes.so;G4KineticTrack::IntegrateCMMomentum",0,0,1072014,0,0,0
"all;g4run;libG4processes.so;G4NuclearShellModelDensity::G4NuclearShellModelDensity",0,6257302,0,64054,2077340,0
"all;g4run;libG4processes.so;G4CascadeInterface::clear@plt",27826203,16944838,3580829,1833226,7963798,685575
"all;g4run;libG4processes.so;G4TwoBodyAngularDist::setVerboseLevel",1330498608,1306573056,149068139,25355069,829278695,32916866
"all;g4run;libG4processes.so;G4BraggIonModel::MinEnergyCut",0,0,0,77794,0,0
"all;g4run;libG4processes.so;G4VProcess::operator==",0,0,0,132198,0,0
"all;g4run;libG4processes.so;G4EmCorrections::InitialiseForNewRun",1993263,0,0,21884,0,0
"all;g4run;libG4processes.so;G4CascadeFunctions<G4CascadeGamNChannelData, G4PionNucSampler>::getCrossSection",3490521,0,0,65021,0,0
"all;g4run;libG4processes.so;G4VLongitudinalStringDecay::FindParticle",10464658,9811604,1710058,543532,3907109,792427
"all;g4run;libG4processes.so;G4GEMProbability::EmissionProbability",6103693620,7714433342,99987393,18590153,3150580036,26883777
"all;g4run;libG4processes.so;G4PhotoNuclearCrossSection::GetIsoCrossSection",6977897,0,2679646,362704,7629341,0
"all;g4run;libG4processes.so;G4CascadeFinalStateAlgorithm::Configure",6805990513,5818577122,1071204019,163037811,3344998149,302217788
"all;g4run;libG4processes.so;G4hBremsstrahlungModel::ComputeDMicroscopicCrossSection",3514250280,4104218986,886589,64736,2168310572,346007
"all;g4run;libG4processes.so;G4Li9GEMProbability::G4Li9GEMProbability",0,0,0,35983,0,0
"all;g4run;libG4processes.so;G4CascadeInterface::createTarget",846740468,227276148,98943806,60718026,201887550,25197933
"all;g4run;libG4processes.so;G4NeutronInelasticXS::IsElementApplicable",1142336925,1047751069,234914659,24816431,685853609,114631137
"all;g4run;libG4processes.so;G4CascadeFinalStateAlgorithm::FillMagnitudes@plt",0,0,0,63755,0,0
"all;g4run;libG4processes.so;G4FermiFragmentsPoolVI::ClosestChannels",13951681,6636665,1639083,421178,0,234576
"all;g4run;libG4processes.so;G4CascadeCoalescence::FindClusters@plt",0,3165378,521574,0,0,0
"all;g4run;libG4processes.so;G4KaonMinusField::G4KaonMinusField",3489567,0,0,0,0,284021
"all;g4run;libG4processes.so;G4NucleiModel::fillZoneVolumes@plt",6977171,9869050,0,277074,3652042,479605
"all;g4run;libG4processes.so;G4WentzelVIModel::ComputeTransportXSectionPerVolume@plt",94108283,112015975,11666973,1324410,44340701,6984229
"all;g4run;libG4processes.so;CLHEP::Hep3Vector::rotateUz@plt",1016709690,831690891,201937948,20551721,347598367,50876017
"all;g4run;libG4processes.so;G4VMultipleScattering::PreparePhysicsTable",0,0,0,0,0,283895
"all;g4run;libG4processes.so;G4CollisionComposite::BufferCrossSection",20767421,8636572,1705110,497904,2008222,0
"all;g4run;libG4processes.so;G4DecayStrongResonances::Propagate",0,0,0,72103,0,0
