cycles,instructions,stalled_cycles_frontend,stalled_cycles_backend,comm,dso,symbol
1106440933,1610372569,25166010,408514609,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ComputeDXSectionPerAtom"
1099425495,1493857519,49857643,104363746,"g4run","libG4processes.so","G4LorentzConvertor::rotate"
1095945525,1376675455,25986716,161514333,"g4run","libG4processes.so","G4ScoreSplittingProcess::AlongStepDoIt"
1068411196,1618536081,61815209,64675379,"g4run","libG4particles.so","G4DynamicParticle::Set4Momentum"
1057998488,1964906328,15741202,251194155,"g4run","libG4geometry.so","G4MagneticField::G4MagneticField"
1037782577,1164527482,26613511,142535089,"g4run","libG4processes.so","G4ComponentBarNucleonNucleusXsc::LoadData"
1035069790,1588133210,16340039,176057736,"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord"
1029394458,1639090499,14314067,191552476,"g4run","libCLHEP-2.4.5.3.so","CLHEP::RandGaussQ::transformQuick"
1019110451,1487889351,94497486,67103267,"g4run","libstdc++.so.6.0.30","__dynamic_cast"
973780651,1845702440,15004329,220084895,"g4run","libG4geometry.so","G4Navigator::ComputeSafety"
945671397,1523240923,50253744,145589274,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::boostVector"
942482387,1221704648,26153328,120970870,"g4run","libG4processes.so","G4CrossSectionDataSetRegistry::Clean"
925013722,1457856840,15015377,199177555,"g4run","libG4particles.so","G4ParticleDefinition::DumpTable"
910632366,1629120221,16952426,175726029,"g4run","libCLHEP-2.4.5.3.so","CLHEP::Hep3Vector::rotateUz"
906756470,1376047829,10673899,151268233,"g4run","libG4geometry.so","G4MagErrorStepper::Stepper"
904032245,1534727317,24989309,157571143,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepRandom::getTheEngine"
897741124,1492935610,20513593,149764851,"g4run","libG4geometry.so","G4ParameterisedNavigation::LevelLocate"
896963061,1446704652,23501899,149931425,"g4run","libG4processes.so","G4CrossSectionDataStore::G4CrossSectionDataStore"
891238655,1517230021,28995608,82384593,"g4run","libG4processes.so","std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::_M_realloc_insert<G4InuclElementaryParticle>"
860562492,1261338368,40903953,41511341,"g4run","libG4processes.so","G4MultiBodyMomentumDist::~G4MultiBodyMomentumDist"
856377356,1342542229,13484197,187857921,"g4run","libG4processes.so","std::_Rb_tree<G4ParallelWorldProcess*, std::pair<G4ParallelWorldProcess* const, G4String>, std::_Select1st<std::pair<G4ParallelWorldProcess* const, G4String> >, std::less<G4ParallelWorldProcess*>, std::allocator<std::pair<G4ParallelWorldProcess* const, G4String> > >::_M_get_insert_unique_pos"
854805577,1509663340,19051206,142413136,"g4run","libG4tracking.so","G4SteppingManager::InvokeAtRestDoItProcs"
852027340,1065236485,45695857,57524223,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
845808762,1326086808,16724412,115421817,"g4run","libG4processes.so","G4VEmProcess::PostStepGetPhysicalInteractionLength"
842476627,1361637990,16505165,113253332,"g4run","libG4geometry.so","G4PolyhedraSide::Normal"
813376169,1363381283,16093379,155221464,"g4run","libG4geometry.so","G4PolyPhiFace::Diagonal"
813325040,1399407435,20745619,222166945,"g4run","libG4processes.so","std::vector<G4PairProductionRelModel::ElementData*, std::allocator<G4PairProductionRelModel::ElementData*> >::_M_fill_insert"
809756782,1219601390,94489993,111201260,"g4run","libG4processes.so","G4LorentzConvertor::rotate"
807831791,1287320718,14531338,187741653,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::AlongStepGetPhysicalInteractionLength"
787304310,994205615,22873193,45591542,"g4run","libG4processes.so","G4IntraNucleiCascader::collide"
785512423,1623981192,12531966,265177459,"g4run","libG4processes.so","G4Radioactivation::DecayIt"
775176394,1503529824,7461013,153026737,"g4run","libG4processes.so","std::vector<G4String, std::allocator<G4String> >::emplace_back<char const*&>"
765099012,1109318667,22751698,104820990,"g4run","libG4processes.so","G4ParallelWorldProcess::~G4ParallelWorldProcess"
760890075,1287728591,21448885,150481834,"g4run","libG4geometry.so","G4LogicalBorderSurface::GetSurface"
760878888,1064438726,30819116,82708881,"g4run","libG4processes.so","G4CascadeData<30, 1, 9, 22, 38, 53, 69, 78, 86>::print"
757371375,1039206448,31369821,76405821,"g4run","libG4processes.so","G4CascadeParameters::DumpConfig"
756733231,1291809365,15479447,178109185,"g4run","libG4processes.so","G4ElasticHadrNucleusHE::GetQ2_2"
754032535,1218010359,13511715,195999985,"g4run","libG4geometry.so","G4LogicalSurface::G4LogicalSurface"
740288145,1075948101,22663155,110123969,"g4run","libG4processes.so","G4ITMultiNavigator::GetGlobalExitNormal"
734284662,1177074013,10704806,171769721,"g4run","libG4processes.so","G4PenelopeRayleighModelMI::InitializeSamplingAlgorithm"
734059201,1025649091,16437969,76787303,"g4run","libG4processes.so","G4NeutronInelasticXS::Initialise"
733367791,1198575994,18211002,96304661,"g4run","libG4processes.so","G4OpticalParametersMessenger::~G4OpticalParametersMessenger"
716936409,782285436,11454476,289883028,"g4run","libG4processes.so","G4LorentzConvertor::toTheCenterOfMass"
716571209,1141813767,20139836,202364803,"g4run","libG4geometry.so","G4Tubs::SurfaceNormal"
701918318,1099991860,14984713,102541522,"g4run","libG4geometry.so","G4NormalNavigation::ComputeStep"
691079412,848064265,62030848,69584872,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKminusPChannelData, G4KaonSampler>::getMultiplicity"
664082716,1174874558,56598440,138637550,"g4run","libG4processes.so","G4RKPropagation::FieldTransport"
663194652,1075206390,13509079,68284176,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_fill_insert"
660225534,1031909036,46009151,76150094,"g4run","libG4processes.so","G4IntraNucleiCascader::rescatter"
656199461,842433985,59334566,51898834,"g4run","libstdc++.so.6.0.30","__cxxabiv1::__si_class_type_info::__do_dyncast"
649377322,1046912273,9538282,133196749,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::OneGoodStep"
642240630,1183275899,7302855,167135690,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::GetTabValues"
622036951,969545814,8214612,109454174,"g4run","libG4processes.so","G4OpticalParametersMessenger::G4OpticalParametersMessenger"
621269413,909068134,31263998,83957730,"g4run","libG4processes.so","G4IntraNucleiCascader::copyWoundedNucleus"
621248697,1173087374,6989701,145756961,"g4run","libG4processes.so","G4SBBremTable::LoadSTGrid"
617914468,948488363,17219839,120836417,"g4run","libG4processes.so","G4ScoreSplittingProcess::AtRestDoIt"
617808742,965807521,29546235,70090877,"g4run","libG4processes.so","G4NucleiModel::~G4NucleiModel"
590588018,860371005,9171762,48181928,"g4run","libG4geometry.so","std::vector<G4FieldManager*, std::allocator<G4FieldManager*> >::_M_realloc_insert<G4FieldManager* const&>"
582883736,933368008,5779605,143075315,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointAndSetup"
582877378,1135944990,8468024,131868652,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::GetExchangeT"
579702796,682742681,18422287,51025902,"g4run","libG4processes.so","G4IntraNucleiCascader::copySecondaries"
568938705,845635012,15134410,91736827,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscVU"
568917337,1106484781,10816495,260408932,"g4run","libG4processes.so","G4ProductionCutsTable::StoreCutsInfo"
567258150,982154108,9873431,154696319,"g4run","libG4geometry.so","G4Paraboloid::G4Paraboloid"
566175819,894131849,16108366,130053827,"g4run","libG4geometry.so","G4ParameterisedNavigation::LocateNextVoxel"
565435691,926023252,7345816,87696160,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ReadData"
561953586,977700153,10824553,79122005,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::ComputeNewStepSize"
561948825,970243673,17999688,21748101,"g4run","libG4processes.so","G4MultiBodyMomentumDist::G4MultiBodyMomentumDist"
547995689,952271953,7752472,56602450,"g4run","libG4geometry.so","G4PolyPhiFace::Intersect"
540989056,1017196328,15840142,129010926,"g4run","libG4particles.so","G4NucleiProperties::GetNuclearMass"
537519760,802454714,8423726,109165204,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::CopyStep"
535808276,897464555,19156610,87505434,"g4run","libG4processes.so","G4CascadeInterface::Propagate"
516567893,791876905,13934209,78931937,"g4run","libG4track.so","G4Track::G4Track"
513028269,710252758,12325916,168561427,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelNode"
511686732,879975149,18063836,65879108,"g4run","libG4track.so","G4ParticleChange::DumpInfo"
506071870,766367706,12798856,94998623,"g4run","libG4geometry.so","G4ReflectionFactory::Place"
502664798,779999514,11501137,97503057,"g4run","libG4track.so","G4StepPoint::G4StepPoint"
499475650,997303721,8390735,148226788,"g4run","libG4processes.so","G4PairProductionRelModel::InitialiseElementData"
497926605,741762324,8531755,63186019,"g4run","libG4geometry.so","field_utils::relativeError2"
495948378,724217208,6235089,108176154,"g4run","libG4event.so","G4GeneralParticleSource::ListSource"
495621269,743432133,10368749,145612821,"g4run","libG4geometry.so","G4Paraboloid::StreamInfo"
495575507,905687441,7558674,135586580,"g4run","libG4geometry.so","G4Trap::SurfaceNormal"
492333115,624085465,70571473,97882979,"g4run","libm.so.6","__ieee754_acos_fma"
492145861,811829932,12015040,101656312,"g4run","libG4tracking.so","G4SteppingManager::ProcessSecondariesFromParticleChange"
482895365,883316879,8382642,107834233,"g4run","libG4tracking.so","0x000000000002f809"
482728096,803613247,8444590,60056404,"g4run","libG4processes.so","G4ScoreSplittingProcess::Verbose"
481637641,613954182,4995591,107655324,"g4run","libG4geometry.so","G4MagneticField::~G4MagneticField"
474715603,511745752,14234327,42120323,"g4run","libG4processes.so","G4VEmProcess::ComputeIntegralLambda"
473805297,804835822,11720634,110601209,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::modadd"
467954162,906103224,9337800,111919914,"g4run","libG4geometry.so","G4NormalNavigation::G4NormalNavigation"
467890743,779773039,19010678,87052622,"g4run","libG4processes.so","std::_Rb_tree<int, std::pair<int const, G4FastList<G4Track>*>, std::_Select1st<std::pair<int const, G4FastList<G4Track>*> >, std::less<int>, std::allocator<std::pair<int const, G4FastList<G4Track>*> > >::_M_erase"
466592819,649212186,21548595,33265031,"g4run","libG4processes.so","G4CacheReference<G4MultiBodyMomentumDist*>::Destroy"
464679635,577024332,9545414,88865310,"g4run","libG4geometry.so","G4VoxelNavigation::LevelLocate"
464242408,685953696,11433258,92120252,"g4run","libG4processes.so","G4LossTableManager::PreparePhysicsTable"
460744315,930847351,12296059,78068686,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::MULWU"
460706784,758459421,6358746,101619628,"g4run","libG4geometry.so","G4MultiLevelLocator::EstimateIntersectionPoint"
453713839,519130753,10816311,5908743,"g4run","libG4processes.so","G4CascadeRecoilMaker::G4CascadeRecoilMaker"
451768519,1081451539,10849649,184803776,"g4run","libm.so.6","__ieee754_pow_fma"
450229086,679669425,20215487,87664497,"g4run","libG4processes.so","G4NucleiModel::G4NucleiModel"
443287773,731403509,5049762,115742046,"g4run","libG4track.so","G4VParticleChange::CheckIt"
439793827,734262147,7111456,108882479,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::flatArray"
436829869,480315440,23299329,78529349,"g4run","libG4processes.so","G4InuclNuclei::setExitationEnergy"
436294801,1013757452,8479985,135911938,"g4run","libm.so.6","__ieee754_log_fma"
436282792,643590243,5423476,119946351,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::G4ParallelWorldScoringProcess"
430987655,879006313,45617669,27796423,"g4run","libc.so.6","__strcmp_avx2"
429289298,696271014,5648685,108689457,"g4run","libG4track.so","G4Step::GetDeltaEnergy"
425807163,443352809,7306726,73572682,"g4run","libG4geometry.so","G4PolyPhiFace::EarInit"
423417478,593482576,4895003,88582393,"g4run","libG4tracking.so","0x000000000002f81c"
418839146,588873383,11237517,55312406,"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::GetInelasticElementCrossSection"
415347087,741894405,9932425,110010042,"g4run","libG4processes.so","G4PAIySection::DifPAIySection"
411889467,629351343,25546429,31218095,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNNChannelData, G4PionNucSampler>::getMultiplicity"
410669111,544975345,27092742,47670796,"g4run","libG4processes.so","G4NucleiModel::printModel"
409123888,686203767,8351092,70355578,"g4run","libG4geometry.so","G4PVParameterised::CheckOverlaps"
404907346,614823734,11511455,57257977,"g4run","libG4geometry.so","G4ReflectionFactory::ReflectPVDivision"
404883423,670363504,7832900,95173633,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
404862547,675291726,17671287,55653832,"g4run","libG4processes.so","G4CascadeFinalStateAlgorithm::GenerateCosTheta"
397914923,560628186,15076539,25365905,"g4run","libG4processes.so","G4CascadeDeexciteBase::G4CascadeDeexciteBase"
394401095,517975081,6218756,80113219,"g4run","libG4track.so","G4ParticleChangeForMSC::DumpInfo"
390944372,945207845,9436842,102526967,"g4run","libG4geometry.so","G4Box::SetYHalfLength"
387635248,794905449,4824427,96741864,"g4run","libG4processes.so","G4SBBremTable::SampleEnergyTransfer"
387424081,514664734,10245086,93482883,"g4run","libG4geometry.so","G4Paraboloid::SurfaceNormal"
387396162,549588886,19656560,30592950,"g4run","libG4processes.so","G4EquilibriumEvaporator::deExcite"
383976136,425674684,10788411,47852226,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetChargeExchangeCrossSection"
383940181,921545080,7277471,93187444,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited"
380449404,798071874,7174669,58995328,"g4run","libG4geometry.so","G4DisplacedSolid::BoundingLimits"
370011469,814570454,3845319,87364715,"g4run","libG4processes.so","G4SBBremTable::BuildSamplingTables"
362996351,590893821,7849041,108869555,"g4run","libG4particles.so","G4NuclideTable::GetIsotope"
362980515,463603954,16804045,21877499,"g4run","libG4processes.so","G4RKPropagation::GetSphereIntersectionTimes"
356244973,420657235,6327866,29396521,"g4run","libG4processes.so","G4OpticalParameters::StreamInfo"
352504641,592411961,14587198,33911241,"g4run","libG4processes.so","G4IntraNucleiCascader::initialize"
336423992,591398603,7221408,122080692,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::SetParallelWorld"
335066259,501852038,20548979,36636019,"g4run","libG4processes.so","G4IntraNucleiCascader::finalize"
328727497,575886493,3477166,86929778,"g4run","libG4processes.so","std::vector<unsigned long, std::allocator<unsigned long> >::operator="
328099751,407497020,4111526,42455997,"g4run","libG4geometry.so","G4SimpleLocator::EstimateIntersectionPoint"
328064163,485949025,14262473,27188153,"g4run","libG4particles.so","G4AntiNeutrinoTau::Definition"
327697646,599455118,8939929,70868911,"g4run","libG4geometry.so","aNavigHistoryAllocator"
321177883,499005759,8043998,49655216,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetInelasticIsotopeCrossSection"
321146556,534193130,4510689,53963383,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4DormandPrince745>::ComputeNewStepSize"
321124580,462627341,8655986,30981271,"g4run","libG4processes.so","G4CascadeDeexciteBase::makeFragment"
321105619,490301730,7198006,55544601,"g4run","libG4geometry.so","field_utils::relativeError@plt"
321100522,579866106,5190326,69227429,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::Stepper"
321098357,355470355,8714037,19574413,"g4run","libG4processes.so","G4CollisionOutput::operator="
321042650,607540251,3812602,148508146,"g4run","g4run","ffunkti"
317604537,493560840,8609201,44129580,"g4run","libG4tracking.so","G4SteppingManager::InvokePSDIP"
314133011,427455947,7572196,61808258,"g4run","libG4geometry.so","G4LogicalBorderSurface::DumpInfo"
314128192,513741579,17159896,28982301,"g4run","libG4processes.so","std::vector<G4InuclNuclei, std::allocator<G4InuclNuclei> >::_M_realloc_insert<G4InuclNuclei const&>"
314116574,738732922,7700256,47297510,"g4run","libG4geometry.so","G4FieldManager::G4FieldManager"
313724800,398613794,7120541,89440603,"g4run","libm.so.6","__ieee754_exp_fma"
310767747,571747045,5709755,36214699,"g4run","libG4geometry.so","G4PolyhedraSide::SurfaceTriangle"
310710221,529641723,6571245,27409893,"g4run","libG4processes.so","std::vector<G4Material const*, std::allocator<G4Material const*> >::_M_realloc_insert<G4Material const*>"
310652271,633574814,7264737,44197552,"g4run","libG4geometry.so","operator<<"
309859403,358779741,6306782,43789547,"g4run","libG4processes.so","std::_Rb_tree<G4MoleculeDefinition const*, std::pair<G4MoleculeDefinition const* const, double>, std::_Select1st<std::pair<G4MoleculeDefinition const* const, double> >, std::less<G4MoleculeDefinition const*>, std::allocator<std::pair<G4MoleculeDefinition const* const, double> > >::_M_erase"
309563287,467337242,5088538,42223691,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeParametrizedXSectionPerAtom"
307363571,283348781,6199569,35496872,"g4run","libG4global.so","G4Physics2DVector::BicubicInterpolation"
307167845,499495526,16824562,22527524,"g4run","libG4processes.so","G4CascadeData<30, 1, 9, 22, 38, 53, 69, 78, 86>::printXsec"
307160236,491419500,4982164,57437703,"g4run","libG4processes.so","G4VEmProcess::PostStepDoIt"
300169541,486947175,15293054,19910817,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
296677731,455179300,14332922,24356180,"g4run","libG4processes.so","G4CascadeInterface::ApplyYourself"
289702032,283845656,7010355,38516274,"g4run","libG4processes.so","G4InitXscPAI::~G4InitXscPAI"
