ibs_op__pp,dummy_HG,comm,dso,symbol
3658696829,g4run,"libG4processes.so","[.]","G4PairProductionRelModel::ComputeRelDXSectionPerAtom"
3657149713,g4run,"libG4processes.so","[.]","G4IntraNucleiCascader::finishCascade"
3588834826,g4run,"libG4track.so","[.]","G4VParticleChange::DumpInfo"
3569149747,g4run,"libG4processes.so","[.]","G4PairProductionRelModel::SampleSecondaries"
3402354521,g4run,"libG4geometry.so","[.]","G4FieldTrack::G4FieldTrack"
3365069367,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::MixMaxRng::flatArray"
3355869542,g4run,"libG4particles.so","[.]","G4LambdacPlus::Definition"
3351938767,g4run,"libG4geometry.so","[.]","G4DisplacedSolid::CreatePolyhedron"
3321126850,g4run,"libG4processes.so","[.]","G4HadElementSelector::G4HadElementSelector"
3314746094,g4run,"libG4processes.so","[.]","G4GoudsmitSaundersonTable::LoadMSCData"
3273634856,g4run,"libG4processes.so","[.]","G4ParallelWorldScoringProcess::~G4ParallelWorldScoringProcess"
3241673939,g4run,"libG4processes.so","[.]","G4OpticalParametersMessenger::G4OpticalParametersMessenger"
3210984640,g4run,"libG4processes.so","[.]","G4VEmAdjointModel::ComputeAdjointCrossSectionVectorPerAtomForSecond"
3182264993,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::operator/"
3159698631,g4run,"libG4tracking.so","[.]","G4SteppingManager::ProcessSecondariesFromParticleChange"
3080434180,g4run,"libG4processes.so","[.]","G4InuclCollider::collide"
3024094351,g4run,"libG4processes.so","[.]","G4OpticalParametersMessenger::~G4OpticalParametersMessenger"
2924786457,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::MixMaxRng::MULWU"
2795342100,g4run,"libG4particles.so","[.]","G4DynamicParticle::operator="
2791331460,g4run,"libG4processes.so","[.]","G4LivermoreBremsstrahlungModel::ComputeDXSectionPerAtom"
2726062147,g4run,"libG4processes.so","[.]","std::_Rb_tree<G4ParallelWorldProcess*, std::pair<G4ParallelWorldProcess* const, G4String>, std::_Select1st<std::pair<G4ParallelWorldProcess* const, G4String> >, std::less<G4ParallelWorldProcess*>, std::allocator<std::pair<G4ParallelWorldProcess* const, G4String> > >::_M_get_insert_unique_pos"
2692165101,g4run,"libG4processes.so","[.]","G4ITMultiNavigator::GetGlobalExitNormal"
2637855618,g4run,"libG4digits_hits.so","[.]","G4VSensitiveDetector::~G4VSensitiveDetector"
2591498290,g4run,"libG4processes.so","[.]","G4LossTableManager::Register"
2515199430,g4run,"libG4processes.so","[.]","G4ParallelWorldScoringProcess::AlongStepGetPhysicalInteractionLength"
2457475398,g4run,"libG4processes.so","[.]","G4RKPropagation::Init"
2412106319,g4run,"libG4processes.so","[.]","G4PenelopeRayleighModelMI::InitializeSamplingAlgorithm"
2330783009,g4run,"libG4geometry.so","[.]","G4SubtractionSolid::DistanceToIn"
2287203603,g4run,"libG4geometry.so","[.]","G4Box::DistanceToIn"
2242930266,g4run,"libG4processes.so","[.]","G4IntraNucleiCascader::finalize"
2242572374,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::HepRandom::getTheEngine"
2199045897,g4run,"libG4geometry.so","[.]","G4LogicalSurface::~G4LogicalSurface"
2186787424,g4run,"libG4processes.so","[.]","G4HadronNucleonXsc::HadronNucleonXscPDG"
2136810914,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::MixMaxRng::modadd"
2112545191,g4run,"libG4processes.so","[.]","G4INCL::CrossSectionsMultiPions::NNThreePi@plt"
2109895015,g4run,"libG4geometry.so","[.]","G4ParameterisedNavigation::LevelLocate"
2070537710,g4run,"libG4geometry.so","[.]","G4ModifiedMidpoint::DoStep"
2052370301,g4run,"libstdc++.so.6.0.30","[.]","__dynamic_cast"
2040697307,g4run,"libG4geometry.so","[.]","G4LogicalVolume::~G4LogicalVolume"
2024034338,g4run,"libG4track.so","[.]","std::vector<G4Track const*, std::allocator<G4Track const*> >::_M_realloc_insert<G4Track const* const&>"
1996812303,g4run,"libG4processes.so","[.]","G4PairProductionRelModel::ComputeLPMfunctions"
1987655543,g4run,"libG4particles.so","[.]","G4ParticleDefinition::DumpTable"
1978538386,g4run,"libG4event.so","[.]","G4GeneralParticleSource::ListSource"
1972762036,g4run,"libG4geometry.so","[.]","G4ReflectedSolid::CreatePolyhedron"
1968483200,g4run,"libG4processes.so","[.]","G4ParallelWorldScoringProcess::CopyStep"
1963027962,g4run,"libG4processes.so","[.]","G4ComponentBarNucleonNucleusXsc::LoadData"
1954868497,g4run,"libG4processes.so","[.]","G4ProcessManager::AddProcess"
1954615307,g4run,"libG4geometry.so","[.]","G4SimpleLocator::EstimateIntersectionPoint"
1933551896,g4run,"libG4geometry.so","[.]","G4Tubs::SurfaceNormal"
1902505743,g4run,"libG4event.so","[.]","std::vector<G4SingleParticleSource::part_prop_t*, std::allocator<G4SingleParticleSource::part_prop_t*> >::_M_fill_insert"
1883006759,g4run,"libG4processes.so","[.]","G4VEmProcess::ComputeIntegralLambda"
1877409750,g4run,"libG4processes.so","[.]","std::vector<G4PairProductionRelModel::ElementData*, std::allocator<G4PairProductionRelModel::ElementData*> >::_M_fill_insert"
1876249601,g4run,"libG4geometry.so","[.]","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited"
1867701461,g4run,"libG4processes.so","[.]","G4SBBremTable::LoadSTGrid"
1860979022,g4run,"libG4geometry.so","[.]","G4FieldManagerStore::DeRegister"
1819730752,g4run,"libG4processes.so","[.]","G4SBBremTable::SampleEnergyTransfer"
1818686850,g4run,"libG4particles.so","[.]","G4NucleiPropertiesTheoreticalTable::GetIndex"
1769514719,g4run,"libG4processes.so","[.]","G4CrossSectionDataSetRegistry::Clean"
1752442013,g4run,"libG4geometry.so","[.]","G4IntegrationDriver<G4MagIntegratorStepper>::OneGoodStep"
1730780025,g4run,"libG4processes.so","[.]","G4PhysicsTableHelper::PreparePhysicsTable@plt"
1726142527,g4run,"libG4geometry.so","[.]","G4MagErrorStepper::Stepper"
1725232844,g4run,"libG4geometry.so","[.]","G4PolyhedraSide::GetPointOnFace"
1717877405,g4run,"libG4geometry.so","[.]","G4MagneticField::G4MagneticField"
1681097812,g4run,"libG4geometry.so","[.]","G4ChordFinderDelegate<G4IntegrationDriver<G4MagIntegratorStepper> >::FindNextChord"
1675928130,g4run,"libCLHEP-2.4.5.3.so","[.]","__tls_get_addr@plt"
1672716198,g4run,"libG4processes.so","[.]","std::vector<G4Material const*, std::allocator<G4Material const*> >::_M_realloc_insert<G4Material const*>"
1663341612,g4run,"libG4geometry.so","[.]","G4MultiLevelLocator::EstimateIntersectionPoint"
1642462672,g4run,"libG4processes.so","[.]","std::vector<bool, std::allocator<bool> >::_M_insert_aux"
1610547749,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::HepLorentzVector::boostVector"
1600009413,g4run,"libm.so.6","[.]","__atan2"
1588382716,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::Hep3Vector::rotateUz"
1563500315,g4run,"libG4geometry.so","[.]","G4FieldTrack::G4FieldTrack"
1504053344,g4run,"libG4track.so","[.]","G4ParticleChangeForMSC::DumpInfo"
1499129394,g4run,"libG4particles.so","[.]","G4DynamicParticle::G4DynamicParticle"
1498355475,g4run,"libG4processes.so","[.]","G4LivermoreBremsstrahlungModel::ReadData"
1493500053,g4run,"libG4geometry.so","[.]","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::Stepper"
1475869451,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::HepLorentzVector::boost"
1471245448,g4run,"libG4processes.so","[.]","G4ParallelWorldScoringProcess::SetParallelWorld"
1452489316,g4run,"libc.so.6","[.]","__memmove_avx_unaligned"
1451501328,g4run,"libG4processes.so","[.]","G4LightTargetCollider::collide"
1444756173,g4run,"libG4track.so","[.]","G4VParticleChange::CheckIt"
1426647597,g4run,"libG4processes.so","[.]","G4ScoreSplittingProcess::Verbose"
1425444074,g4run,"libG4geometry.so","[.]","G4ParameterisedNavigation::LocateNextVoxel"
1424267023,g4run,"libG4geometry.so","[.]","G4ReflectionFactory::Place"
1419769715,g4run,"libG4geometry.so","[.]","G4FieldTrack::LoadFromArray"
1409450783,g4run,"libG4tracking.so","[.]","G4SteppingManager::InvokeAtRestDoItProcs"
1408043714,g4run,"libG4processes.so","[.]","G4PairProductionRelModel::InitialiseElementData"
1402343987,g4run,"libG4geometry.so","[.]","G4RKIntegrationDriver<G4DormandPrince745>::ComputeNewStepSize"
1396577852,g4run,"libG4track.so","[.]","G4StepPoint::G4StepPoint"
1389638626,g4run,"libG4processes.so","[.]","G4CascadeParameters::DumpConfig"
1367340959,g4run,"libG4processes.so","[.]","G4ParallelWorldScoringProcess::G4ParallelWorldScoringProcess"
1366042160,g4run,"libG4processes.so","[.]","G4LossTableBuilder::BuildDEDXTable"
1365588166,g4run,"libG4geometry.so","[.]","G4VoxelSafety::SafetyForVoxelNode"
1359910850,g4run,"libG4processes.so","[.]","G4ScoreSplittingProcess::AlongStepDoIt"
1351881651,g4run,"libG4geometry.so","[.]","G4ExtrudedSolid::StreamInfo"
1344475831,g4run,"libG4processes.so","[.]","G4OpticalParameters::StreamInfo"
1312269664,g4run,"libG4geometry.so","[.]","G4Box::SetYHalfLength"
1304925536,g4run,"libG4particles.so","[.]","G4NucleiProperties::GetNuclearMass"
1297725250,g4run,"libc.so.6","[.]","__memset_avx2_unaligned"
1297067109,g4run,"libG4processes.so","[.]","G4PAIySection::G4PAIySection"
1290090194,g4run,"libG4processes.so","[.]","G4ComponentAntiNuclNuclearXS::GetInelasticElementCrossSection"
1270342235,g4run,"libG4geometry.so","[.]","G4LogicalBorderSurface::DumpInfo"
1269805332,g4run,"libG4processes.so","[.]","G4LorentzConvertor::rotate"
1265348645,g4run,"libG4particles.so","[.]","G4DynamicParticle::G4DynamicParticle"
1217544446,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::MixMaxRng::modadd@plt"
1207136701,g4run,"libG4processes.so","[.]","G4CacheReference<G4MultiBodyMomentumDist*>::Destroy"
1199831274,g4run,"libG4processes.so","[.]","G4PionMinusField::~G4PionMinusField@plt"
1198455324,g4run,"libG4geometry.so","[.]","G4Paraboloid::StreamInfo"
1175643298,g4run,"libG4tracking.so","[.]","G4Allocator<G4TouchableHistory>::~G4Allocator"
1172241905,g4run,"libG4processes.so","[.]","G4PAIySection::DifPAIySection"
1170846423,g4run,"libstdc++.so.6.0.30","[.]","__cxxabiv1::__si_class_type_info::__do_dyncast"
1162617558,g4run,"libG4processes.so","[.]","G4EquilibriumEvaporator::deExcite"
1159848081,g4run,"libG4geometry.so","[.]","G4Voxelizer::BuildEmpty@plt"
1157400428,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::RandGaussQ::transformQuick"
1149063948,g4run,"libG4processes.so","[.]","std::vector<G4String, std::allocator<G4String> >::emplace_back<char const*&>"
1143322660,g4run,"libG4particles.so","[.]","G4DynamicParticle::G4DynamicParticle"
1142417962,g4run,"libG4track.so","[.]","_GLOBAL__sub_I_G4StepPoint.cc"
1135173849,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::MixMaxRng::MULWU@plt"
1133052863,g4run,"libG4geometry.so","[.]","G4MagneticField::G4MagneticField"
1132195562,g4run,"libG4tracking.so","[.]","G4SteppingManager::InvokePSDIP"
1129022879,g4run,"libG4processes.so","[.]","std::vector<bool, std::allocator<bool> >::_M_fill_insert"
1127186441,g4run,"libG4particles.so","[.]","G4DynamicParticle::G4DynamicParticle"
1115902337,g4run,"libG4geometry.so","[.]","G4ReflectionFactory::ReflectPVDivision"
1114639390,g4run,"libG4geometry.so","[.]","G4LogicalBorderSurface::GetSurface"
1100454738,g4run,"libG4geometry.so","[.]","G4VoxelNavigation::LevelLocate"
1094201457,g4run,"libG4geometry.so","[.]","G4LogicalSurface::G4LogicalSurface"
1077241303,g4run,"libG4processes.so","[.]","G4VDNAModel::~G4VDNAModel@plt"
1064714481,g4run,"libG4geometry.so","[.]","G4NormalNavigation::ComputeSafety"
1059876827,g4run,"libG4processes.so","[.]","G4ComponentBarNucleonNucleusXsc::GetInelasticIsotopeCrossSection"
1055524989,g4run,"libG4geometry.so","[.]","G4MagneticField::~G4MagneticField"
1041514380,g4run,"libG4particles.so","[.]","G4ParticleDefinition::operator!="
1023204182,g4run,"libG4tracking.so","[.]","G4UserLimits::SetUserMinEkine"
1022391360,g4run,"libG4tracking.so","[.]","G4UserLimits::SetUserMaxTime"
1004502785,g4run,"libG4tracking.so","[.]","G4SteppingManager::GetProcessNumber"
991054270,g4run,"libG4track.so","[.]","G4Step::GetSecondaryInCurrentStep"
985269404,g4run,"libG4processes.so","[.]","G4PAIySection::SumOverBordPlasmon"
984956571,g4run,"libG4processes.so","[.]","G4ParallelWorldScoringProcess::IsAtRestRequired"
971038094,g4run,"libG4geometry.so","[.]","field_utils::relativeError2"
961854520,g4run,"libG4processes.so","[.]","std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::_M_realloc_insert<G4InuclElementaryParticle>"
957453359,g4run,"libG4processes.so","[.]","std::_Rb_tree<G4MoleculeDefinition const*, std::pair<G4MoleculeDefinition const* const, double>, std::_Select1st<std::pair<G4MoleculeDefinition const* const, double> >, std::less<G4MoleculeDefinition const*>, std::allocator<std::pair<G4MoleculeDefinition const* const, double> > >::_M_erase"
957130705,g4run,"libG4geometry.so","[.]","G4MagneticField::operator="
956244462,g4run,"libG4processes.so","[.]","G4IntraNucleiCascader::collide"
941381179,g4run,"libG4event.so","[.]","G4GeneralParticleSourceMessenger::SetNewValue"
940051595,g4run,"libG4particles.so","[.]","G4ExcitedSigmaConstructor::AddLambdaStarPiMode@plt"
933724300,g4run,"libG4processes.so","[.]","G4LossTableManager::DeRegister"
926108926,g4run,"libG4processes.so","[.]","G4CascadeData<30, 1, 9, 22, 38, 53, 69, 78, 86>::print"
925774388,g4run,"libG4processes.so","[.]","G4LightTargetCollider::AbsorptionOnDeuteron"
925146802,g4run,"libG4geometry.so","[.]","field_utils::absoluteError"
908620719,g4run,"libm.so.6","[.]","__ieee754_exp_fma"
895742569,g4run,"libG4processes.so","[.]","G4NucleiModel::~G4NucleiModel"
893805044,g4run,"libG4processes.so","[.]","G4PairProductionRelModel::ComputeParametrizedXSectionPerAtom"
889708261,g4run,"libG4processes.so","[.]","G4InitXscPAI::~G4InitXscPAI"
886538436,g4run,"libG4processes.so","[.]","MCGIDI_sampling_pdfsOfXGivenW_initialize@plt"
885611067,g4run,"libG4geometry.so","[.]","G4Trap::SurfaceNormal"
877721895,g4run,"libG4geometry.so","[.]","G4LogicalCrystalVolume::G4LogicalCrystalVolume"
876903575,g4run,"libG4geometry.so","[.]","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AccurateAdvance"
876262351,g4run,"libG4processes.so","[.]","G4LorentzConvertor::rotate"
869638459,g4run,"libG4processes.so","[.]","G4LossTableManager::Register"
864230357,g4run,"libG4processes.so","[.]","G4LossTableManager::PreparePhysicsTable"
863291991,g4run,"libG4processes.so","[.]","G4SeltzerBergerModel::ReadData"
842154500,g4run,"libG4geometry.so","[.]","G4Tubs::ApproxSurfaceNormal"
818627662,g4run,"libG4particles.so","[.]","G4NuclideTable::GetIsotope"
817279219,g4run,"libG4processes.so","[.]","G4VEmProcess::PostStepDoIt"
817183677,g4run,"libG4geometry.so","[.]","G4BooleanSolid::StackPolyhedron"
816097322,g4run,"libG4track.so","[.]","G4Track::SetAuxiliaryTrackInformation"
808743245,g4run,"libG4processes.so","[.]","G4LorentzConvertor::toTheCenterOfMass"
801112985,g4run,"libm.so.6","[.]","__ieee754_pow_fma"
788965664,g4run,"libG4global.so","[.]","G4PhysicsVector::Retrieve"
787601031,g4run,"libG4geometry.so","[.]","G4Tubs::DistanceToOut"
786571746,g4run,"libG4processes.so","[.]","G4SBBremTable::ClearSamplingTables"
782367556,g4run,"libG4processes.so","[.]","G4IntraNucleiCascader::createTarget"
777280628,g4run,"libG4geometry.so","[.]","G4Navigator::CheckOverlapsIterative"
769322199,g4run,"libG4track.so","[.]","std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>"
764243613,g4run,"libG4processes.so","[.]","G4NucleiModel::printModel"
764120605,g4run,"libG4geometry.so","[.]","G4PolyconeSide::G4PolyconeSide"
762798377,g4run,"libG4geometry.so","[.]","aNavigHistoryAllocator"
757373999,g4run,"libG4particles.so","[.]","G4DynamicParticle::Set4Momentum"
750594351,g4run,"libG4processes.so","[.]","G4PenelopeRayleighModelMI::ReadDataFile"
748016615,g4run,"libG4processes.so","[.]","G4NeutronInelasticXS::Initialise"
744265041,g4run,"libG4processes.so","[.]","G4NeutronElectronElModel::~G4NeutronElectronElModel@plt"
719456625,g4run,"libG4processes.so","[.]","G4NucleiModel::G4NucleiModel"
713586211,g4run,"libG4geometry.so","[.]","std::vector<G4FieldManager*, std::allocator<G4FieldManager*> >::_M_realloc_insert<G4FieldManager* const&>"
711872028,g4run,"libG4processes.so","[.]","G4ElasticHadrNucleusHE::GetQ2_2"
700201003,g4run,"libG4geometry.so","[.]","G4PVParameterised::CheckOverlaps"
694327778,g4run,"libG4processes.so","[.]","G4SauterGavrilaAngularDistribution::PrintGeneratorInformation"
689767847,g4run,"libG4geometry.so","[.]","G4Paraboloid::SurfaceNormal"
683840720,g4run,"libG4processes.so","[.]","G4CascadeFunctions<G4CascadeKminusPChannelData, G4KaonSampler>::getMultiplicity"
677270462,g4run,"libG4processes.so","[.]","G4OpticalParametersMessenger::~G4OpticalParametersMessenger"
662717299,g4run,"libG4tracking.so","[.]","G4TrajectoryPoint::G4TrajectoryPoint@plt"
660539156,g4run,"libG4track.so","[.]","G4Step::G4Step"
652098066,g4run,"libG4processes.so","[.]","MCGIDI_reaction_getProjectileMass_MeV@plt"
651123721,g4run,"libG4processes.so","[.]","G4PEEffectFluoModel::G4PEEffectFluoModel"
643649885,g4run,"libG4processes.so","[.]","G4PairProductionRelModel::ComputeDXSectionPerAtom"
633469924,g4run,"libG4processes.so","[.]","G4ParallelWorldScoringProcess::SetParallelWorld"
625925249,g4run,"libG4geometry.so","[.]","G4NormalNavigation::LevelLocate"
624986405,g4run,"libG4processes.so","[.]","G4IntraNucleiCascader::initialize"
623045276,g4run,"libG4processes.so","[.]","G4EmElementSelector::SelectRandomAtom"
621350884,g4run,"libG4global.so","[.]","G4Physics2DVector::BicubicInterpolation"
616678757,g4run,"libG4geometry.so","[.]","G4PolyhedraSide::DistanceAway"
616649605,g4run,"libG4processes.so","[.]","G4PairProductionRelModel::Initialise"
614087978,g4run,"libG4geometry.so","[.]","G4LogicalSurface::~G4LogicalSurface"
611487306,g4run,"libG4processes.so","[.]","G4CascadeFunctions<G4CascadeNNChannelData, G4PionNucSampler>::getMultiplicity"
605359327,g4run,"libG4geometry.so","[.]","G4InterpolationDriver<G4DormandPrince745>::~G4InterpolationDriver"
604303321,g4run,"libG4processes.so","[.]","G4CascadeFinalStateAlgorithm::GenerateCosTheta"
603502281,g4run,"libG4processes.so","[.]","std::_Rb_tree<G4String, std::pair<G4String const, bool>, std::_Select1st<std::pair<G4String const, bool> >, std::less<G4String>, std::allocator<std::pair<G4String const, bool> > >::_M_erase"
603181881,g4run,"libG4processes.so","[.]","G4LorentzConvertor::reflectionNeeded"
598142920,g4run,"libG4processes.so","[.]","G4F19GEMProbability::G4F19GEMProbability"
582719171,g4run,"libG4global.so","[.]","G4ProfilerConfig<4ul>::GetPersistent<1>@plt"
580380945,g4run,"libG4processes.so","[.]","G4SBBremTable::BuildSamplingTables"
577275939,g4run,"libG4tracking.so","[.]","G4Track::~G4Track@plt"
576486560,g4run,"libG4processes.so","[.]","G4Fancy3DNucleus::ReduceSum"
572338673,g4run,"libG4processes.so","[.]","G4CascadeDeexciteBase::G4CascadeDeexciteBase"
572329319,g4run,"libG4processes.so","[.]","G4ElectroNuclearCrossSection::GetElementCrossSection"
569554080,g4run,"libG4processes.so","[.]","G4IntraNucleiCascader::copyWoundedNucleus"
560040949,g4run,"libG4processes.so","[.]","std::_Rb_tree<long, std::pair<long const, double>, std::_Select1st<std::pair<long const, double> >, std::less<long>, std::allocator<std::pair<long const, double> > >::_M_get_insert_unique_pos@plt"
553716494,g4run,"libG4processes.so","[.]","G4LossTableManager::ResetParameters"
553317509,g4run,"libG4track.so","[.]","G4ParticleChangeForMSC::CheckIt"
552372436,g4run,"libG4processes.so","[.]","G4CascadeInterface::Propagate"
549422000,g4run,"libG4processes.so","[.]","G4ExcitationHandler::SetParameters"
545962212,g4run,"libG4processes.so","[.]","G4ChipsKaonPlusElasticXS::GetExchangeT"
537286394,g4run,"libm.so.6","[.]","__sin_fma"
535625709,g4run,"libG4processes.so","[.]","G4LossTableBuilder::GetBaseMaterialFlag"
526686195,g4run,"libG4processes.so","[.]","G4InuclNuclei::setExitationEnergy"
525462800,g4run,"libG4processes.so","[.]","G4ProductionCutsTable::CheckMaterialCutsCoupleInfo"
524013443,g4run,"libG4processes.so","[.]","G4OpticalParameters::GetWLSTimeProfile"
523779371,g4run,"libG4geometry.so","[.]","G4PolyPhiFace::Triangulate"
521923092,g4run,"libG4processes.so","[.]","G4ScreeningMottCrossSection::SetupKinematic"
520922808,g4run,"libG4processes.so","[.]","G4NIELCalculator::G4NIELCalculator"
