cycles,instructions,l2_itlb_misses,l2_dtlb_misses,comm,dso,symbol
2731344365,4711198620,47259,476160,"g4run","libG4geometry.so","G4Box::SetXHalfLength"
2643867953,3371079087,36538,316348,"g4run","libG4geometry.so","G4RegularNavigation::ComputeStepSkippingEqualMaterials"
2634909309,3406149468,40100,426641,"g4run","libG4processes.so","G4ComponentBarNucleonNucleusXsc::LoadData"
2552697530,3791630718,45738,696459,"g4run","libG4geometry.so","std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > > >::_M_emplace_unique<std::pair<G4String, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >"
2473026463,3963634345,46263,323315,"g4run","libG4geometry.so","G4MagneticField::~G4MagneticField"
2438452671,3566139741,65639,529081,"g4run","libG4processes.so","G4LossTableManager::BuildTables"
2348675985,3684797563,63007,559489,"g4run","libG4geometry.so","G4TwistedTubs::G4TwistedTubs"
2303593725,3800053305,37766,465254,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ComputeDXSectionPerAtom"
2226442292,3555875797,57321,566453,"g4run","libG4geometry.so","G4LogicalSkinSurface::DumpInfo"
2180292295,3032774482,123602,238730,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeLPMfunctions"
2172226566,3459134749,65221,300330,"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord"
2168473241,3565282713,33015,494852,"g4run","libG4geometry.so","G4Tubs::SurfaceNormal"
2147530273,3434040235,42090,236369,"g4run","libCLHEP-2.4.5.3.so","CLHEP::(anonymous namespace)::theDefaults"
2116739813,3049670662,26611,336236,"g4run","libG4geometry.so","G4MagErrorStepper::Stepper"
2098223444,3581787749,58909,190106,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::boost"
2083979477,3307663044,41560,246355,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::generate"
2005620043,3338679031,37892,160005,"g4run","libG4processes.so","G4InuclCollider::collide"
1909775410,2853519089,44448,387199,"g4run","libG4processes.so","G4CrossSectionDataStore::G4CrossSectionDataStore"
1844114648,2942043908,106201,503569,"g4run","libG4geometry.so","G4PolyPhiFace::InCone"
1810123412,2910836191,24035,313522,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::~G4ParallelWorldScoringProcess"
1799283305,3253987623,57928,213246,"g4run","libG4tracking.so","G4SteppingManager::InvokeAtRestDoItProcs"
1746078930,2444762102,42164,343312,"g4run","libG4processes.so","G4CrossSectionDataSetRegistry::Clean"
1716061628,2771441863,57713,203731,"g4run","libG4particles.so","G4ParticleDefinition::DumpTable"
1691251361,2498527726,28760,237280,"g4run","libG4processes.so","G4ParallelWorldProcessStore::SetParallelWorld"
1678416926,2381304302,16734,561571,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelNode"
1674902869,2759547215,32404,234177,"g4run","libCLHEP-2.4.5.3.so","CLHEP::Hep3Vector::rotateUz"
1670756111,2702309108,123980,413998,"g4run","libG4particles.so","0x000000000006f80c"
1624764680,2392809070,18720,200248,"g4run","libG4processes.so","std::_Rb_tree<G4ParallelWorldProcess*, std::pair<G4ParallelWorldProcess* const, G4String>, std::_Select1st<std::pair<G4ParallelWorldProcess* const, G4String> >, std::less<G4ParallelWorldProcess*>, std::allocator<std::pair<G4ParallelWorldProcess* const, G4String> > >::_M_get_insert_unique_pos"
1621088712,2415475047,30751,302041,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_insert_aux"
1574576518,2222912763,9472,56036,"g4run","libG4processes.so","G4PenelopeRayleighModelMI::InitializeSamplingAlgorithm"
1568812974,2213945036,34214,190748,"g4run","libG4processes.so","G4VEmProcess::PostStepGetPhysicalInteractionLength"
1535725016,2642850807,18427,102605,"g4run","libG4processes.so","std::vector<G4String, std::allocator<G4String> >::emplace_back<char const*&>"
1486771052,2296136355,17899,201290,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::OneGoodStep"
1401288728,2231208592,84074,277075,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetIndex"
1390192318,1795625459,5395,107311,"g4run","libG4processes.so","std::vector<G4PairProductionRelModel::ElementData*, std::allocator<G4PairProductionRelModel::ElementData*> >::_M_fill_insert"
1371138071,1970435084,15794,226098,"g4run","libG4geometry.so","G4Navigator::ComputeSafety"
1365180396,2412130838,12290,188742,"g4run","libG4geometry.so","G4MagneticField::G4MagneticField"
1348994841,1854584363,23486,169091,"g4run","libG4processes.so","G4NeutronInelasticXS::Initialise"
1344707980,2100675935,30319,110958,"g4run","libG4particles.so","G4OmegacZero::Definition"
1301101624,2109168194,30021,131871,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_fill_insert"
1286763391,1768138442,19152,83450,"g4run","libCLHEP-2.4.5.3.so","CLHEP::RandGaussQ::transformQuick"
1281320623,2102468567,46336,171767,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::ComputeNewStepSize"
1279055919,1899719414,20164,165267,"g4run","libG4geometry.so","G4LogicalSurface::G4LogicalSurface"
1275784209,1788775306,71273,172714,"g4run","libG4processes.so","G4OpticalParametersMessenger::~G4OpticalParametersMessenger"
1275656675,2263389128,23332,205946,"g4run","libG4geometry.so","G4Trap::SurfaceNormal"
1258420719,2048463232,29511,127516,"g4run","libG4processes.so","G4LightTargetCollider::collide"
1252780137,2269140512,17549,282340,"g4run","libG4geometry.so","G4TwistedTubs::BoundingLimits"
1252596945,2032880940,12235,210398,"g4run","libG4geometry.so","G4Paraboloid::G4Paraboloid"
1201518808,1913858804,25127,142185,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepRandom::getTheEngine"
1176369953,1828787803,29696,100357,"g4run","libG4particles.so","G4LambdacPlus::Definition"
1175224564,2023672232,33327,145890,"g4run","libG4tracking.so","G4SteppingManager::ProcessSecondariesFromParticleChange"
1166845073,2016454886,31892,111685,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointAndSetup"
1153762969,1790479691,29796,120363,"g4run","libG4geometry.so","G4NormalNavigation::ComputeStep"
1121980694,1642849924,41980,135901,"g4run","libG4particles.so","G4DynamicParticle::operator="
1118616841,1893649741,7641,153178,"g4run","g4run","ffunkti"
1116205468,1902947919,24465,128357,"g4run","libG4geometry.so","std::vector<G4FieldManager*, std::allocator<G4FieldManager*> >::_M_realloc_insert<G4FieldManager* const&>"
1109608317,1769257967,25046,170742,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::AlongStepGetPhysicalInteractionLength"
1104674521,1558722230,32161,111387,"g4run","libCLHEP-2.4.5.3.so","CLHEP::operator/"
1098773424,1683763028,5713,63987,"g4run","libG4processes.so","G4PairProductionRelModel::InitialiseElementData"
1071170167,1516870806,42480,111092,"g4run","libG4processes.so","G4RKPropagation::Init"
1046894950,1918223861,6958,77018,"g4run","libG4processes.so","G4SBBremTable::LoadSTGrid"
1041204939,1734961941,22657,155836,"g4run","libG4track.so","G4Track::G4Track"
1018585444,1468877678,13510,287020,"g4run","libG4processes.so","G4ScoreSplittingProcess::AlongStepDoIt"
1010421727,1446466993,14971,251099,"g4run","libG4geometry.so","G4LogicalBorderSurface::GetSurface"
1008746740,1523644332,14277,66310,"g4run","libG4processes.so","G4OpticalParametersMessenger::G4OpticalParametersMessenger"
1005628982,1672328156,9111,204045,"g4run","libG4geometry.so","G4Paraboloid::StreamInfo"
986202830,1874896361,27706,75686,"g4run","libG4processes.so","G4ElasticHadrNucleusHE::GetQ2_2"
981931228,1507199027,31308,120595,"g4run","libG4geometry.so","G4ParameterisedNavigation::LevelLocate"
973700451,1423298880,9236,245617,"g4run","libG4processes.so","G4PAIySection::DifPAIySection"
971462628,1959491235,31559,65219,"g4run","libm.so.6","__ieee754_pow_fma"
947669734,1424148144,25780,111238,"g4run","libG4track.so","G4VParticleChange::CheckIt"
947302089,1253442221,16782,154255,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscPDG"
946333806,1406647597,9483,74785,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::flatArray"
942136398,1296083041,14429,137587,"g4run","libG4geometry.so","field_utils::relativeError2"
938697076,1674513585,27502,182541,"g4run","libG4geometry.so","G4DisplacedSolid::CreatePolyhedron"
910818323,1653916114,18442,94369,"g4run","libG4processes.so","G4ScoreSplittingProcess::Verbose"
906640728,1265854668,36127,76833,"g4run","libG4particles.so","G4DynamicParticle::Set4Momentum"
897591258,1280883356,10901,97011,"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::GetInelasticElementCrossSection"
892604739,1572173595,38260,211259,"g4run","libG4geometry.so","G4PolyhedraSide::GetPointOnFace"
892543712,1492832256,35198,139771,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited"
891954342,1212143995,19157,115153,"g4run","libG4track.so","G4StepPoint::G4StepPoint"
890649570,1282077145,9100,203437,"g4run","libG4geometry.so","G4VoxelNavigation::LevelLocate"
889162041,1381777519,23939,256334,"g4run","libG4geometry.so","G4ExtrudedSolid::StreamInfo"
888646798,1065928394,21045,123433,"g4run","libG4track.so","G4ParticleChangeForMSC::DumpInfo"
888477506,1197628314,33167,80086,"g4run","libG4processes.so","G4VEmProcess::ComputeIntegralLambda"
860934896,1305723923,15887,210877,"g4run","libG4processes.so","G4LossTableManager::PreparePhysicsTable"
839533333,1146686499,17594,77958,"g4run","libG4processes.so","G4LorentzConvertor::rotate"
834454790,1195523257,6982,114541,"g4run","libG4geometry.so","G4BooleanSolid::StackPolyhedron"
826989602,1225910845,34600,102784,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::CopyStep"
825411542,1256127165,16629,257896,"g4run","libG4processes.so","G4ITMultiNavigator::GetGlobalExitNormal"
823750779,1334765921,25116,131136,"g4run","libG4event.so","G4GeneralParticleSource::ListSource"
822163408,1162307150,35031,107093,"g4run","libstdc++.so.6.0.30","__dynamic_cast"
815187310,1177085477,4736,52720,"g4run","libG4processes.so","G4SBBremTable::SampleEnergyTransfer"
808841977,1411521103,23973,71773,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::boostVector"
804371526,1604338436,18392,71459,"g4run","libG4processes.so","G4Radioactivation::DecayIt"
798975540,1225913041,12005,87858,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::MULWU"
784648470,1262893009,18871,87518,"g4run","libG4geometry.so","G4MultiLevelLocator::EstimateIntersectionPoint"
780872804,1051041573,11567,72084,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::modadd"
764893845,1182387813,11057,190600,"g4run","libG4processes.so","G4ScoreSplittingProcess::AtRestDoIt"
757171455,1251140757,32899,71747,"g4run","libG4processes.so","G4LightTargetCollider::AbsorptionOnDeuteron"
750384911,1094491325,14210,79012,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::G4ParallelWorldScoringProcess"
736287726,1235711639,22020,124999,"g4run","libG4geometry.so","G4ParameterisedNavigation::LocateNextVoxel"
726143052,1305373786,28014,169280,"g4run","libG4geometry.so","G4SubtractionSolid::DistanceToIn"
713322708,1231912805,23220,123007,"g4run","libm.so.6","__atan2"
700654617,1046581622,9344,104124,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::Stepper"
699993914,1047626834,10316,196854,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ReadData"
695004790,1051662325,8865,113772,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4DormandPrince745>::ComputeNewStepSize"
690769032,1080272687,10398,67028,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
687422257,939191906,17318,79455,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
678457908,1033596034,9716,180895,"g4run","libG4geometry.so","G4Tubs::DistanceToOut"
669573249,968070419,9906,193843,"g4run","libG4geometry.so","G4ReflectionFactory::Place"
667137310,875260111,6699,97192,"g4run","libG4global.so","G4Physics2DVector::BicubicInterpolation"
665114193,1078470357,9241,49409,"g4run","libG4processes.so","std::vector<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::_M_realloc_insert<std::vector<unsigned long, std::allocator<unsigned long> > const&>"
658785813,1098216394,16782,66829,"g4run","libG4geometry.so","G4FieldManagerStore::DeRegister"
653472465,1047924605,24037,87537,"g4run","libG4particles.so","G4NucleiProperties::GetNuclearMass"
651054454,1000677526,9834,98193,"g4run","libG4geometry.so","G4FSALBogackiShampine45::Stepper"
650851752,1089703374,31629,87651,"g4run","libG4geometry.so","G4FieldManager::G4FieldManager"
645760033,1253042996,20737,77673,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::GetTabValues"
639087483,1040597911,12560,64869,"g4run","libG4processes.so","std::vector<G4Material const*, std::allocator<G4Material const*> >::_M_realloc_insert<G4Material const*>"
638582154,1213780928,39067,75588,"g4run","libm.so.6","__ieee754_log_fma"
638510529,973675092,8752,81038,"g4run","libG4tracking.so","0x000000000002f809"
633317140,1185741975,4211,44976,"g4run","libG4processes.so","G4SBBremTable::BuildSamplingTables"
623915542,1051714749,24676,84941,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::GetExchangeT"
623891114,988635467,7544,143578,"g4run","libG4geometry.so","G4Box::SetYHalfLength"
622724031,884890087,17628,91325,"g4run","libG4processes.so","G4CascadeData<30, 1, 9, 22, 38, 53, 69, 78, 86>::print"
620412562,1013208062,11572,104211,"g4run","libG4geometry.so","G4PVParameterised::CheckOverlaps"
620354521,831693192,18027,77374,"g4run","libG4processes.so","G4IntraNucleiCascader::copyWoundedNucleus"
618250439,1222514830,2745,77380,"g4run","libG4geometry.so","G4Box::DistanceToIn"
616201104,1092382612,35631,58332,"g4run","libG4track.so","G4ParticleChange::DumpInfo"
614129147,999014483,1974,37905,"g4run","libG4processes.so","G4MultiBodyMomentumDist::~G4MultiBodyMomentumDist"
611848194,1068401520,29594,117945,"g4run","libm.so.6","__ieee754_exp_fma"
611544326,994187729,17003,94748,"g4run","libG4geometry.so","G4IntegrationDriver<G4MagIntegratorStepper>::OneGoodStep"
607099652,886309775,15949,164437,"g4run","libG4processes.so","G4InitXscPAI::~G4InitXscPAI"
598367736,1008030575,7088,126210,"g4run","libG4geometry.so","G4Paraboloid::SurfaceNormal"
596732898,1062979860,2862,27551,"g4run","libG4processes.so","std::vector<unsigned long, std::allocator<unsigned long> >::operator="
588277388,879855842,17009,138235,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetChargeExchangeCrossSection"
588274773,926305195,10010,81811,"g4run","libG4track.so","G4Step::GetDeltaEnergy"
587758041,938206570,16487,40195,"g4run","libG4processes.so","G4CascadeParameters::DumpConfig"
585703115,959161677,4855,23209,"g4run","libG4processes.so","G4PEEffectFluoModel::G4PEEffectFluoModel"
580603213,818498625,23934,45504,"g4run","libG4processes.so","G4LorentzConvertor::rotate"
575435973,788975710,5370,63915,"g4run","libG4tracking.so","0x000000000002f81c"
575004024,1045859434,5564,29764,"g4run","libG4processes.so","std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::_M_realloc_insert<G4InuclElementaryParticle>"
573595989,744144639,22434,47744,"g4run","libG4processes.so","G4RKPropagation::FieldTransport"
568739502,845625560,8871,112614,"g4run","libG4processes.so","G4VEmProcess::PostStepDoIt"
568044691,824471379,15663,139533,"g4run","libG4track.so","G4VParticleChange::DumpInfo"
566731233,838595417,8072,176654,"g4run","libG4processes.so","G4PenelopeRayleighModelMI::ReadDataFile"
559718792,842442431,15490,60769,"g4run","libG4processes.so","G4OpticalParameters::StreamInfo"
559002470,838385506,10993,120406,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetInelasticIsotopeCrossSection"
554631634,789626295,24788,60430,"g4run","libG4processes.so","std::_Rb_tree<G4MoleculeDefinition const*, std::pair<G4MoleculeDefinition const* const, double>, std::_Select1st<std::pair<G4MoleculeDefinition const* const, double> >, std::less<G4MoleculeDefinition const*>, std::allocator<std::pair<G4MoleculeDefinition const* const, double> > >::_M_erase"
540157584,747509958,34056,88370,"g4run","libstdc++.so.6.0.30","__cxxabiv1::__si_class_type_info::__do_dyncast"
534536394,943015502,5732,119910,"g4run","libG4processes.so","G4SeltzerBergerModel::ReadData"
533177874,1018798480,2688,25726,"g4run","libG4processes.so","G4SBBremTable::ClearSamplingTables"
528258057,719922443,23215,88399,"g4run","libG4processes.so","G4IntraNucleiCascader::collide"
520633118,968117976,12469,94468,"g4run","libG4processes.so","G4ProductionCutsTable::StoreCutsInfo"
516412549,642328449,17220,105387,"g4run","libG4processes.so","G4PAIySection::G4PAIySection"
515071287,787224332,20415,63353,"g4run","libG4processes.so","G4ParallelWorldProcess::~G4ParallelWorldProcess"
510982795,876026748,8948,93874,"g4run","libG4processes.so","G4LossTableManager::GetEnergyLossProcess"
510946317,766872436,7333,80842,"g4run","libG4geometry.so","field_utils::absoluteError"
499193977,778967134,8645,44114,"g4run","libG4event.so","G4GeneralParticleSourceData::~G4GeneralParticleSourceData"
497707601,745789229,7305,68888,"g4run","libG4tracking.so","G4Step::InitializeStep"
492824277,794993443,13601,45740,"g4run","libG4processes.so","G4PairProductionRelModel::G4PairProductionRelModel"
492008398,689958770,13429,92525,"g4run","libG4geometry.so","G4LogicalVolume::~G4LogicalVolume"
491966342,871114460,9186,69970,"g4run","libG4geometry.so","G4MagneticField::G4MagneticField"
489116944,721738152,8316,68389,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKminusPChannelData, G4KaonSampler>::getMultiplicity"
485075017,613161862,4497,73147,"g4run","libG4global.so","G4PhysicsVector::Retrieve"
480873580,713496364,10053,71693,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscVU"
478660341,689531942,18073,134791,"g4run","libG4processes.so","std::_Rb_tree<int, std::pair<int const, G4FastList<G4Track>*>, std::_Select1st<std::pair<int const, G4FastList<G4Track>*> >, std::less<int>, std::allocator<std::pair<int const, G4FastList<G4Track>*> > >::_M_erase"
477335007,788376157,8790,44238,"g4run","libG4processes.so","G4IntraNucleiCascader::rescatter"
471763593,830702067,11585,80712,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::SetParallelWorld"
463041612,572331344,29655,144942,"g4run","libG4processes.so","G4LorentzConvertor::toTheCenterOfMass"
461465610,643283517,1805,39775,"g4run","libG4processes.so","G4InitXscPAI::IntegralPAIdEdx"
454543549,714373858,15569,35435,"g4run","libG4processes.so","G4NucleiModel::~G4NucleiModel"
446596537,578170517,15583,54017,"g4run","libG4geometry.so","operator<<"
446262078,815661361,17058,85726,"g4run","libG4geometry.so","aNavigHistoryAllocator"
445922462,717095178,6677,79266,"g4run","libG4tracking.so","G4SteppingManager::InvokePSDIP"
444543993,842477741,6949,24568,"g4run","libG4event.so","std::unique_lock<std::mutex>::unlock"
443839102,692952236,15380,56465,"g4run","libG4geometry.so","G4FieldTrack::G4FieldTrack"
443748162,746669250,23039,157713,"g4run","libG4event.so","0x000000000006a4a7"
436113076,651531600,7072,113291,"g4run","libG4geometry.so","G4Tubs::ApproxSurfaceNormal"
435488174,702664736,4895,92958,"g4run","libG4geometry.so","G4NormalNavigation::G4NormalNavigation"
435462741,588290464,7402,47871,"g4run","libG4processes.so","0x00000000008b0739"
425718631,649083010,16543,110108,"g4run","libG4track.so","std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>"
424978735,793217333,10390,74769,"g4run","libm.so.6","exp@@GLIBC_2.29"
423725715,587651815,3740,135451,"g4run","libG4geometry.so","G4Trap::MakePlane"
423593361,578600338,24446,80624,"g4run","libc.so.6","__strcmp_avx2"
420135426,787617806,17433,63422,"g4run","libG4particles.so","G4NuclideTable::GetIsotope"
418716070,536334702,4664,51808,"g4run","libG4processes.so","G4PAIySection::InitPAI"
397225432,649834961,1952,73849,"g4run","libG4geometry.so","G4PolyhedraSide::Distance"
397057017,628815559,35754,122528,"g4run","libG4particles.so","G4IonTable::FindIon"
395674188,617321004,20591,62573,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
390827894,674540396,7157,26609,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AccurateAdvance"
389407239,614779625,1904,9233,"g4run","libG4processes.so","G4SBBremTable::LoadSamplingTables"
388696938,696044941,2259,22887,"g4run","libG4processes.so","G4PhotoElectricEffect::InitialiseProcess"
385859067,514452954,11752,111980,"g4run","libG4geometry.so","G4ReflectionFactory::ReflectPVDivision"
385230868,445517952,4787,48175,"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4MagIntegratorStepper> >::FindNextChord"
383509240,646101909,11043,42305,"g4run","libG4geometry.so","G4FieldTrack::G4FieldTrack"
382018921,676310730,14727,84942,"g4run","libG4processes.so","G4NeutronElasticXS::G4NeutronElasticXS"
381041669,410867365,7161,12197,"g4run","libG4track.so","G4ParticleChangeForMSC::CheckIt"
378974267,648492422,20191,79207,"g4run","libG4processes.so","G4ElectroNuclearCrossSection::GetElementCrossSection"
376831337,630481228,6629,27429,"g4run","libG4processes.so","G4CascadeInterface::Propagate"
373961983,513008996,14033,53945,"g4run","libG4processes.so","G4IntraNucleiCascader::copySecondaries"
371245537,529350811,16188,31031,"g4run","libG4processes.so","G4EmElementSelector::SelectRandomAtom"
367722249,689195080,6271,29226,"g4run","libG4processes.so","G4NucleiModel::G4NucleiModel"
366392642,505648005,14367,44285,"g4run","libG4geometry.so","G4SimpleLocator::EstimateIntersectionPoint"
365675147,536078980,3710,18429,"g4run","libm.so.6","__ieee754_acos_fma"
