cycles,instructions,de_dis_uop_queue_empty_di0,de_dis_uops_from_decoder_decoder_dispatched,de_dis_uops_from_decoder_opcache_dispatched,comm,dso,symbol
0,5626899,529786,4357445,761683,"g4run","libG4processes.so","G4NuElNucleusNcModel::~G4NuElNucleusNcModel@plt"
0,5361105,386213,0,545327,"g4run","libG4processes.so","G4Bessel::K0"
0,4467289,0,0,406135,"g4run","libG4processes.so","0x0000000000add18c"
0,4309262,0,2766043,264386,"g4run","libG4processes.so","0x0000000000839246"
0,3895170,126371,0,176028,"g4run","libG4geometry.so","0x00000000000db24e"
0,3860043,0,0,534218,"g4run","libG4geometry.so","G4ReflectedSolid::GetCubicVolume"
0,3853432,0,1188957,821402,"g4run","libpythia8.so","Pythia8::SimpleTimeShower::branch"
0,3472077,0,0,569033,"g4run","libG4processes.so","G4DNARuddIonisationModel::G4DNARuddIonisationModel@plt"
0,3470025,1230443,3405117,0,"g4run","libG4processes.so","G4GIDI_target::getOthersFinalState@plt"
0,3400983,290247,0,1509221,"g4run","libG4tracking.so","0x000000000002f7a1"
0,3163052,378973,865370,0,"g4run","libG4processes.so","G4FTFModel::AdjustNucleonsAlgorithm_beforeSampling"
0,2989652,204773,918136,1276186,"g4run","libG4global.so","G4JTPolynomialSolver::RealPolynomialIteration"
0,2390824,428383,742811,274374,"g4run","libG4processes.so","G4LundStringFragmentation::SplitEandP"
0,2344550,0,0,492019,"g4run","libG4processes.so","G4PreCompoundDeexcitation::deExcite"
0,2327193,384954,893192,0,"g4run","libG4processes.so","non-virtual thunk to G4CascadeFunctions<G4CascadePiZeroNChannelData, G4PionNucSampler>::~G4CascadeFunctions()"
0,2309960,0,0,0,"g4run","libG4geometry.so","0x00000000001c23ba"
0,2303013,0,0,0,"g4run","libG4processes.so","G4VCrossSectionDataSet::G4VCrossSectionDataSet@plt"
0,2301560,136289,744067,0,"g4run","libG4processes.so","0x00000000008327fb"
0,2301174,0,1695946,0,"g4run","libG4particles.so","0x00000000000631ef"
0,2300204,429612,850062,0,"g4run","libG4processes.so","std::vector<G4CascadeParameters*, std::allocator<G4CascadeParameters*> >::_M_fill_insert"
0,2294974,0,0,247679,"g4run","libG4processes.so","G4Abla::idint@plt"
0,2272917,0,581354,0,"g4run","libG4processes.so","0x00000000008b60a8"
0,2249716,316749,0,0,"g4run","libG4global.so","strlen@plt"
0,2246520,0,915490,0,"g4run","libG4processes.so","0x000000000087376f"
0,2245222,0,794305,336139,"g4run","libm.so.6","__fmod_finite@GLIBC_2.15"
0,2240912,303731,836733,0,"g4run","libG4processes.so","G4NuclWatcher::G4NuclWatcher"
0,2239255,0,0,415047,"g4run","libG4processes.so","G4ChannelingECHARM::ReadFromECHARM@plt"
0,2225512,159753,0,0,"g4run","libG4processes.so","G4QGSParticipants::GenerateDeltaIsobar@plt"
0,2224527,0,902895,1159507,"g4run","libG4processes.so","G4MuonMinusAtomicCapture::PreparePhysicsTable"
0,2214114,0,0,0,"g4run","libG4processes.so","0x0000000000a19c5d"
0,2213466,0,0,0,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKzeroBarNChannelData, G4KaonSampler>::~G4CascadeFunctions"
0,2213227,0,875295,0,"g4run","libG4processes.so","0x0000000000833dba"
0,2203455,0,1703600,0,"g4run","libG4processes.so","0x000000000096dc38"
0,2198282,240535,3819091,0,"g4run","libG4geometry.so","0x00000000001870c8"
0,2196989,0,0,942039,"g4run","libG4geometry.so","0x0000000000103cea"
0,2196424,261840,0,426130,"g4run","libG4processes.so","G4VEmProcess::GetMeanFreePath"
0,2185982,149189,0,0,"g4run","libG4processes.so","0x00000000008af3e5"
0,2164540,0,0,1734332,"g4run","libG4processes.so","G4RKFieldIntegrator::GetPionPotential"
0,2141385,396797,1807471,942389,"g4run","libG4geometry.so","0x00000000000f76c8"
0,2130620,0,0,0,"g4run","libG4geometry.so","0x00000000001daa98"
0,2123237,113546,1333505,808522,"g4run","libG4geometry.so","G4VIntersectionLocator::ReportReversedPoints"
0,2119001,0,0,0,"g4run","libG4event.so","G4AdjointStackingAction::ClassifyNewTrack"
0,2117643,0,862618,245299,"g4run","libG4geometry.so","G4LogicalSkinSurface::GetSurface"
0,2109634,267047,5480476,1025776,"g4run","libG4processes.so","G4PAIySection::SumOverIntervaldEdx"
0,2050940,253274,0,0,"g4run","libG4geometry.so","G4Tubs::GetEntityType"
0,2049419,0,0,414018,"g4run","libG4processes.so","G4Molecule::G4Molecule@plt"
0,1878096,0,0,0,"g4run","libCLHEP-2.4.5.3.so","CLHEP::RandGamma::genGamma@plt"
0,1590822,0,0,0,"g4run","libG4geometry.so","0x0000000000194075"
0,1531925,0,0,0,"g4run","libG4geometry.so","0x00000000000d8158"
0,1358179,101770,0,839063,"g4run","libpythia8.so","Pythia8::BeamRemnants::checkColours"
0,1355143,0,0,0,"g4run","libpythia8.so","Pythia8::StringFlav::combine"
0,1344891,135457,0,0,"g4run","libG4processes.so","G4IonParametrisedLossModel::BuildRangeVector@plt"
0,1339561,0,642763,0,"g4run","libpythia8.so","Pythia8::StringZ::zLund"
0,1306256,0,689974,0,"g4run","libpythia8.so","Pythia8::Particle::setPDEPtr"
0,1280407,113961,0,0,"g4run","libpythia8.so","Pythia8::BeamParticle::xCompDist"
0,1272319,0,0,0,"g4run","libG4processes.so","0x0000000000b7734c"
0,1264799,0,0,0,"g4run","libG4processes.so","G4F19GEMProbability::~G4F19GEMProbability"
0,1253142,0,0,0,"g4run","libG4processes.so","0x0000000000e969e8"
0,1236642,0,0,0,"g4run","libG4processes.so","G4LatticeReader::G4LatticeReader@plt"
0,1236046,0,0,0,"g4run","libG4processes.so","G4CollisionNNToNDeltastar::G4CollisionNNToNDeltastar"
0,1231606,115516,0,0,"g4run","libG4processes.so","G4BinaryLightIonReaction::EnergyAndMomentumCorrector"
0,1224278,137233,0,0,"g4run","libG4processes.so","G4ElementaryParticleCollider::generateMultiplicity"
0,1220687,0,796376,564909,"g4run","libG4processes.so","epsilon@plt"
0,1218577,0,0,0,"g4run","libG4processes.so","G4Absorber::FindAbsorbers"
0,1204588,0,0,0,"g4run","libpythia8.so","Pythia8::Sigma2Process::set2KinMPI"
0,1201235,0,1496883,1972008,"g4run","libG4tracking.so","G4RichTrajectoryPoint::~G4RichTrajectoryPoint@plt"
0,1196824,0,1686383,0,"g4run","libG4processes.so","G4BinaryCascade::Absorb"
0,1195793,0,739124,1892907,"g4run","libpythia8.so","Pythia8::Pythia::check"
0,1194686,181151,0,0,"g4run","libG4processes.so","0x000000000037d4f0"
0,1194597,0,847756,0,"g4run","libG4processes.so","0x0000000000a3f6aa"
0,1190388,151525,0,0,"g4run","libG4geometry.so","0x00000000000f76c3"
0,1187002,0,0,0,"g4run","libG4processes.so","G4VEnergyLossProcess::BuildLambdaTable@plt"
0,1186005,0,0,0,"g4run","libG4processes.so","G4HadronicParametersMessenger::G4HadronicParametersMessenger"
0,1184115,528637,0,0,"g4run","libG4processes.so","G4BetheBlochModel::ComputeDEDXPerVolume@plt"
0,1178192,0,0,340845,"g4run","libG4processes.so","G4RKFieldIntegrator::GetAntiprotonPotential"
0,1176393,0,0,0,"g4run","libG4processes.so","G4ResonanceNames::G4ResonanceNames"
0,1167236,0,0,0,"g4run","libG4processes.so","std::vector<G4VFastSimulationModel*, std::allocator<G4VFastSimulationModel*> >::_M_realloc_insert<G4VFastSimulationModel*>@plt"
0,1165333,0,839923,397006,"g4run","libG4processes.so","G4CollisionNNToNDeltastar::~G4CollisionNNToNDeltastar@plt"
0,1163180,0,756912,0,"g4run","libG4geometry.so","0x00000000001925fa"
0,1160923,0,0,0,"g4run","libG4processes.so","0x00000000003803b0"
0,1160869,0,0,0,"g4run","libG4track.so","G4ParticleChange::AddSecondary"
0,1160583,826603,810819,964322,"g4run","libG4processes.so","G4CrossSectionDataStore::DumpHtml@plt"
0,1156437,507703,0,0,"g4run","libG4processes.so","std::vector<G4RadioactiveDecayRatesToDaughter, std::allocator<G4RadioactiveDecayRatesToDaughter> >::~vector"
0,1156335,0,0,386387,"g4run","libG4processes.so","G4DiffractiveSplitableHadron::G4DiffractiveSplitableHadron"
0,1154289,180182,734797,0,"g4run","libG4processes.so","G4HadProjectile::G4HadProjectile"
0,1152151,0,887935,0,"g4run","libG4processes.so","std::_Rb_tree<long, std::pair<long const, double>, std::_Select1st<std::pair<long const, double> >, std::less<long>, std::allocator<std::pair<long const, double> > >::_M_get_insert_unique_pos@plt"
0,1148577,150676,2498413,0,"g4run","libG4processes.so","G4StatMFMacroBiNucleon::CalcMeanMultiplicity"
0,1148198,558487,983657,0,"g4run","libG4processes.so","0x0000000000f2e132"
0,1145774,0,0,0,"g4run","libG4processes.so","0x000000000083d213"
0,1143089,0,866257,0,"g4run","libG4processes.so","0x00000000008082d8"
0,1139766,0,0,593096,"g4run","libG4processes.so","G4hRDEnergyLoss::~G4hRDEnergyLoss@plt"
0,1139091,182126,0,0,"g4run","libG4processes.so","G4DNABrownianTransportation::G4ITBrownianState::G4ITBrownianState@plt"
0,1136644,0,924095,0,"g4run","libG4processes.so","G4Analyser::setWatchers"
0,1136633,0,0,0,"g4run","libG4processes.so","std::ostream::write@plt"
0,1135889,161211,889846,2186577,"g4run","libG4track.so","0x000000000000c61e"
0,1135831,0,0,0,"g4run","libG4processes.so","0x0000000000edc5ac"
0,1133105,0,0,423808,"g4run","libG4processes.so","0x0000000000836088"
0,1132653,163963,0,0,"g4run","libG4processes.so","0x000000000037b970"
0,1132243,141269,0,815537,"g4run","libG4processes.so","0x000000000037bc80"
0,1131155,261191,0,0,"g4run","libG4processes.so","G4CascadeSampler<31, 6>::findFinalStateIndex"
0,1130918,80851,775676,0,"g4run","libc.so.6","pthread_mutex_unlock@@GLIBC_2.2.5"
0,1129679,0,692202,316161,"g4run","libG4processes.so","0x0000000000b3f9aa"
0,1126161,0,0,0,"g4run","libG4particles.so","G4NeutrinoE::Definition"
0,1125906,0,0,1982507,"g4run","libG4processes.so","0x0000000000ef7c5a"
0,1121022,0,0,0,"g4run","libG4processes.so","G4GammaNuclearXS::G4GammaNuclearXS"
0,1120952,135266,0,0,"g4run","libG4processes.so","G4FissionFragmentGenerator::G4SetIsotope"
0,1120252,571314,1505344,669804,"g4run","libG4processes.so","G4ElasticHNScattering::GaussianPt"
0,1119456,0,0,0,"g4run","libG4processes.so","0x00000000009d28ba"
0,1119079,105253,896269,407317,"g4run","libG4processes.so","G4BetheBlochModel::G4BetheBlochModel"
0,1118933,435074,0,551654,"g4run","libG4processes.so","0x0000000000a63153"
0,1118757,0,0,0,"g4run","libG4processes.so","G4HadProjectile::InitialiseLocal"
0,1118417,0,0,471608,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeXSectionPerAtom@plt"
0,1118287,0,0,0,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::operator()"
0,1117016,0,0,0,"g4run","libG4processes.so","0x0000000000ef7c5e"
0,1116848,0,0,0,"g4run","libG4processes.so","G4HadronElastic::G4HadronElastic@plt"
0,1116455,103323,0,0,"g4run","libG4processes.so","G4FissionProductYieldDist::MakeIsotopeName"
0,1116150,0,0,0,"g4run","libG4processes.so","0x000000000037e2a0"
0,1116131,0,753977,0,"g4run","libG4particles.so","0x0000000000081554"
0,1115005,270889,973823,394624,"g4run","libG4processes.so","0x00000000008c2946"
0,1114179,265204,0,443781,"g4run","libc.so.6","unlink_chunk.constprop.0"
0,1113279,0,983532,0,"g4run","libG4event.so","0x000000000006a427"
0,1111453,0,0,0,"g4run","libG4processes.so","0x000000000095fb4f"
0,1111272,175195,0,445203,"g4run","libG4processes.so","0x0000000000b3f906"
0,1110442,224457,0,0,"g4run","libG4processes.so","0x000000000083ee2f"
0,1109720,0,0,0,"g4run","libG4processes.so","0x00000000009e4f48"
0,1109313,0,1652931,0,"g4run","libG4processes.so","0x0000000000a1bbfd"
0,1109143,0,0,0,"g4run","libG4processes.so","G4ParticleHPList::Check@plt"
0,1106914,0,0,0,"g4run","libG4event.so","0x0000000000069d8a"
0,1106325,132635,0,0,"g4run","libG4tracking.so","0x000000000002f81f"
0,1106080,0,0,0,"g4run","libG4processes.so","G4NuclearRadii::ExplicitRadius@plt"
0,1104805,164504,765908,0,"g4run","libG4tracking.so","std::_Rb_tree_insert_and_rebalance@plt"
0,1104444,0,0,0,"g4run","libG4processes.so","G4BCDecay::GetCollisions"
0,1104189,157073,846378,1351832,"g4run","libG4processes.so","std::__throw_bad_alloc@plt"
0,1103898,334437,1443242,0,"g4run","libG4processes.so","G4DiffuseElasticV2::IsApplicable"
0,1103807,315103,2998891,558800,"g4run","libG4processes.so","0x00000000008af1d6"
0,1103093,0,0,0,"g4run","libG4processes.so","0x00000000009edb0d"
0,1102080,177772,1463602,0,"g4run","libG4event.so","0x0000000000069d48"
0,1101945,0,0,0,"g4run","libG4processes.so","0x000000000037c150"
0,1101294,322024,0,620796,"g4run","libG4processes.so","0x0000000000a0cc6a"
0,1100707,0,932224,0,"g4run","libG4processes.so","G4LENDCrossSection::DumpLENDTargetInfo@plt"
0,1100090,0,0,3027495,"g4run","libG4processes.so","G4INCL::CrossSections::NDeltaToNLK@plt"
0,1099426,0,0,0,"g4run","libG4processes.so","G4OmegaMinus::Definition@plt"
0,1099217,269032,950820,0,"g4run","libG4event.so","0x0000000000069da5"
0,1099039,266024,1744445,411706,"g4run","libG4processes.so","G4CascadeData<30, 5, 15, 34, 58, 70, 89, 39, 42>::print"
0,1098870,0,0,0,"g4run","libG4processes.so","G4PenelopeOscillatorManager::Clear@plt"
0,1097927,151099,0,375340,"g4run","libG4processes.so","G4NucleiProperties::GetBindingEnergy@plt"
0,1096773,0,0,0,"g4run","libG4processes.so","0x0000000000b6ef6a"
0,1092491,0,0,0,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeOmegaMinusNChannelData, G4KaonHypSampler>::~G4CascadeFunctions"
0,1092278,151530,0,0,"g4run","libG4processes.so","0x000000000037ccb0"
0,1090948,0,0,0,"g4run","libG4processes.so","G4ElectroNuclearCrossSection::Fun"
0,1090708,121535,0,0,"g4run","libG4event.so","0x0000000000069d4a"
0,1090270,0,0,375155,"g4run","libG4processes.so","0x0000000000a4b273"
0,1088974,152228,1716558,516593,"g4run","libG4event.so","0x0000000000068d2b"
0,1088958,334811,0,0,"g4run","libG4processes.so","0x0000000000a1cf58"
0,1088933,0,1658262,0,"g4run","libG4processes.so","G4WeightCutOffConfigurator::G4WeightCutOffConfigurator@plt"
0,1087020,176944,0,0,"g4run","libG4processes.so","std::__cxx11::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::str@plt"
0,1085500,148768,0,0,"g4run","libG4processes.so","xDataTOM_releaseElement@plt"
0,1084919,0,0,0,"g4run","libG4processes.so","G4BigBanger::generateMomentumModules"
0,1081507,0,0,794923,"g4run","libG4processes.so","0x00000000008e42e8"
0,1081038,180716,846231,607648,"g4run","libG4processes.so","0x0000000000a1b3ee"
0,1080296,332686,856990,0,"g4run","libG4processes.so","0x0000000000a2a783"
0,1079225,0,0,0,"g4run","libG4processes.so","non-virtual thunk to G4CascadeFunctions<G4CascadePiZeroPChannelData, G4PionNucSampler>::~G4CascadeFunctions()"
0,1078685,0,830626,0,"g4run","libG4processes.so","0x00000000009edb0f"
0,1077853,0,0,0,"g4run","libG4processes.so","0x000000000083f6f3"
0,1074318,0,0,416728,"g4run","libG4processes.so","0x0000000000f69b3a"
0,1073515,0,0,0,"g4run","libG4geometry.so","G4LogicalVolume::GetFieldManager@plt"
0,1072441,0,0,1370424,"g4run","libG4processes.so","G4SPBaryon::G4SPBaryon"
0,1072151,0,0,0,"g4run","g4run","_init"
0,1071219,0,0,0,"g4run","libG4geometry.so","G4NystromRK4::SetDistanceForConstantField@plt"
0,1071138,0,0,0,"g4run","libG4processes.so","G4MicroElecInelasticModel::TransferedEnergy@plt"
0,1070980,156968,822037,461759,"g4run","libG4processes.so","0x00000000009f4295"
0,1070052,128086,902870,599319,"g4run","libG4geometry.so","0x00000000001823df"
0,1069893,0,0,0,"g4run","libG4processes.so","G4ElectroNuclearCrossSection::GetVirtualFactor@plt"
0,1066409,0,937215,0,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepRotation::rotate"
0,1066380,445644,0,777701,"g4run","libG4processes.so","G4HadronicDeveloperParameters::Get"
0,1064691,119780,1037108,0,"g4run","libG4processes.so","0x0000000000a05db6"
0,1061476,127870,0,1073967,"g4run","libG4processes.so","G4Bessel::I1"
0,1059171,0,803714,0,"g4run","libG4processes.so","G4EmParameters::MscSkin@plt"
0,1057624,0,0,0,"g4run","libG4processes.so","G4ITTransportation::G4ITTransportation@plt"
0,1056642,0,0,0,"g4run","libstdc++.so.6.0.30","operator new@plt"
0,1056448,133828,0,444572,"g4run","libG4processes.so","0x0000000000833d86"
0,1053180,0,0,0,"g4run","libG4tracking.so","0x000000000002fe44"
0,1050836,0,0,0,"g4run","libG4processes.so","0x0000000000a13133"
0,1050519,0,0,0,"g4run","libG4geometry.so","0x0000000000159955"
0,1050460,0,797089,0,"g4run","libG4processes.so","0x0000000000b362aa"
0,1049957,0,815272,353181,"g4run","libG4processes.so","G4ElNeutrinoNucleusTotXsc::GetNuElTotCsArray"
0,1046570,0,0,0,"g4run","libG4processes.so","G4CascadeFinalStateAlgorithm::SaveKinematics"
0,1044171,313791,0,0,"g4run","libG4particles.so","G4Upsilon::Definition"
0,1043051,168070,0,0,"g4run","libG4processes.so","non-virtual thunk to G4CascadeFunctions<G4CascadeSigmaMinusPChannelData, G4KaonHypSampler>::~G4CascadeFunctions()"
0,1041883,645517,723700,1011661,"g4run","libG4processes.so","0x0000000000a1ce5c"
0,1038450,0,0,0,"g4run","libG4processes.so","0x000000000083866d"
0,1036578,0,1829427,395393,"g4run","libG4processes.so","0x000000000083a0ef"
0,1036405,97634,0,0,"g4run","libG4processes.so","G4ChipsPionPlusInelasticXS::~G4ChipsPionPlusInelasticXS"
0,1027405,167437,858677,0,"g4run","libG4processes.so","0x0000000000a49489"
0,1026274,0,0,0,"g4run","libG4geometry.so","0x00000000000db3ad"
0,1022966,0,796313,312506,"g4run","libG4geometry.so","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare@plt"
0,1021483,0,0,1204099,"g4run","libG4geometry.so","0x0000000000193f0e"
0,1021469,0,964909,0,"g4run","libG4processes.so","G4CascadeData<30, 2, 7, 15, 24, 33, 41, 47, 55>::initialize"
0,1020896,0,0,0,"g4run","libG4particles.so","G4DecayProducts::SetParentParticle"
0,1017492,0,0,0,"g4run","libG4processes.so","G4SemiLogInterpolation::Calculate"
0,1013411,132947,867817,0,"g4run","libG4tracking.so","0x000000000002f7aa"
0,1007321,0,0,3072846,"g4run","libpythia8.so","Pythia8::SimpleSpaceShower::pT2nextQCD"
0,1003556,0,0,0,"g4run","libG4processes.so","G4VXTRenergyLoss::AngleSpectralXTRdEdx"
0,995789,0,0,0,"g4run","libpythia8.so","Pythia8::SimpleSpaceShower::calcMEmax"
0,995569,0,0,0,"g4run","libpythia8.so","Pythia8::Sigma2Process::sigmaHatWrap"
0,992651,527407,800174,0,"g4run","libG4error_propagation.so","std::vector<int, std::allocator<int> >::_M_default_append"
0,980888,95078,881273,0,"g4run","libG4global.so","G4SimpleIntegration::Gauss"
0,979244,0,761112,0,"g4run","libG4processes.so","G4ParticleHPFissionBaseFS::G4ParticleHPFissionBaseFS@plt"
0,943628,157654,600490,3560328,"g4run","libG4processes.so","G4CrossSectionFactory<G4ChipsPionPlusElasticXS, 0>::Instantiate"
0,930682,116844,814709,512027,"g4run","libG4processes.so","G4SPBaryon::G4SPBaryon@plt"
0,746418,0,0,0,"g4run","libG4processes.so","0x0000000000936c12"
0,717386,0,0,0,"g4run","libG4processes.so","std::_Rb_tree<int, std::pair<int const, G4VNuclearField*>, std::_Select1st<std::pair<int const, G4VNuclearField*> >, std::less<int>, std::allocator<std::pair<int const, G4VNuclearField*> > >::_M_get_insert_hint_unique_pos"
0,671743,0,905838,375343,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelNode@plt"
0,0,715768,0,1176383,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::operator*="
0,0,694125,0,0,"g4run","libG4particles.so","G4DecayProducts::~G4DecayProducts"
0,0,682771,1681672,0,"g4run","libG4processes.so","std::__adjust_heap<__gnu_cxx::__normal_iterator<G4InuclElementaryParticle*, std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> > >, long, G4InuclElementaryParticle, __gnu_cxx::__ops::_Iter_comp_iter<G4ParticleLargerEkin> >"
0,0,634454,795310,0,"g4run","libG4processes.so","0x0000000000a0041d"
