cycles,instructions,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses,comm,dso,symbol
2341143304,3968264475,18842383,519215,4785369,18751,"g4run","libG4geometry.so","G4PolyhedraSide::Distance"
2303103546,3304953187,64541251,460073,18604612,63174,"g4run","libG4geometry.so","G4ReflectedSolid::CreatePolyhedron"
2289717662,3778612928,57829641,352898,28142764,84498,"g4run","libG4processes.so","G4CacheReference<G4NuclearPolarizationStore*>::Destroy"
2275688414,3260758335,36111663,118550,17240823,28088,"g4run","libG4processes.so","G4PEEffectFluoModel::SampleSecondaries"
2220824215,3050826806,74675525,279267,30198332,192302,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeRelDXSectionPerAtom"
2207976281,3257451686,41912080,298563,16929311,22237,"g4run","libG4processes.so","G4VEmAdjointModel::ComputeAdjointCrossSectionVectorPerAtomForSecond"
2207458320,3333581591,40506741,660966,9586029,218033,"g4run","libG4geometry.so","G4LogicalSkinSurface::DumpInfo"
2147578634,3623248139,47985391,347398,13562619,54910,"g4run","libG4processes.so","G4PairProductionRelModel::SampleSecondaries"
2048448427,2825949807,65381103,496573,18245655,67744,"g4run","libG4processes.so","G4LossTableManager::Register"
2035097475,3576826658,62330842,239366,20751359,32366,"g4run","libG4processes.so","G4ProcessManager::AddProcess"
1989778893,2840403270,54616386,212740,17196362,24496,"g4run","libG4track.so","std::vector<G4Track const*, std::allocator<G4Track const*> >::_M_realloc_insert<G4Track const* const&>"
1984987786,3110896964,56206846,273320,25309186,68849,"g4run","libG4processes.so","std::vector<std::function<void ()>, std::allocator<std::function<void ()> > >::_M_realloc_insert<G4ThreadLocalSingleton<G4NuclearPolarizationStore>::G4ThreadLocalSingleton()::{lambda()#1}>"
1964764355,3369101669,24327329,351204,7808934,100273,"g4run","libG4geometry.so","G4PolyPhiFace::Triangulate"
1892127279,2829609140,52382803,245606,13335898,30827,"g4run","libG4geometry.so","G4RegularNavigation::ComputeStepSkippingEqualMaterials"
1868851793,3107481059,79041197,394501,13257087,40100,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ComputeDXSectionPerAtom"
1849809030,2527015563,63255524,418547,17754281,72529,"g4run","libG4processes.so","G4LossTableManager::BuildTables"
1810226017,2221614485,51578995,358834,16698875,45854,"g4run","libG4processes.so","G4ComponentBarNucleonNucleusXsc::LoadData"
1800178006,2912945161,35467152,194021,18731385,45741,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::boost"
1782825716,2407148383,57890325,247921,24858753,177120,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeLPMfunctions"
1761592637,2954125765,25596262,146851,16453405,29710,"g4run","libG4processes.so","G4InuclCollider::collide"
1636569838,2661782576,40747402,227819,14043498,42295,"g4run","libCLHEP-2.4.5.3.so","CLHEP::(anonymous namespace)::theDefaults"
1633319996,2829300537,13384160,351566,3551072,12357,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway"
1630563320,2895968049,938017,51777,12231,5862,"g4run","libG4processes.so","G4F18GEMProbability::G4F18GEMProbability"
1629001544,2907095090,27609518,271705,5533340,17963,"g4run","libG4geometry.so","G4MagneticField::G4MagneticField"
1576108823,2446473270,36565774,220888,13992603,37346,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::generate"
1567593505,2574722151,36983237,252762,10398227,50563,"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord"
1507284335,2340778671,38003331,267577,7843795,22029,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::~G4ParallelWorldScoringProcess"
1474591224,2226622442,35409492,410229,7260180,28557,"g4run","libG4geometry.so","G4Tubs::SurfaceNormal"
1438688667,2059849162,40123011,299081,12785865,45297,"g4run","libG4processes.so","G4CrossSectionDataStore::G4CrossSectionDataStore"
1414897501,2187691006,49378377,304708,18546851,93158,"g4run","libG4particles.so","0x000000000006f80c"
1406526536,2281845658,34551463,239599,7841354,25150,"g4run","libG4processes.so","G4ParallelWorldProcessStore::SetParallelWorld"
1396076718,2067112612,44543486,234754,11466437,25458,"g4run","libG4geometry.so","G4MagErrorStepper::Stepper"
1394741951,2227788616,34437053,186338,15352549,72886,"g4run","libG4particles.so","G4ParticleDefinition::DumpTable"
1344503448,2423082981,20874368,178098,15532911,88288,"g4run","libG4tracking.so","G4SteppingManager::InvokeAtRestDoItProcs"
1314458269,1979477177,39239101,287088,11714128,28586,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_insert_aux"
1285922444,1821177152,22496809,244715,7340089,76128,"g4run","libG4geometry.so","G4PolyhedraSide::IntersectSidePlane"
1264143530,1644716489,32674027,274044,11349494,48248,"g4run","libG4processes.so","G4CrossSectionDataSetRegistry::Clean"
1194615630,1925772803,24202675,209897,4990699,13196,"g4run","libG4geometry.so","G4Navigator::ComputeSafety"
1186851407,1834116423,25698589,158289,10076528,38495,"g4run","libG4processes.so","G4VEmProcess::PostStepGetPhysicalInteractionLength"
1184539261,1920490793,40484385,211932,7726709,28605,"g4run","libG4geometry.so","G4Trap::SurfaceNormal"
1177732525,1952167156,30011172,182183,9487117,35916,"g4run","libCLHEP-2.4.5.3.so","CLHEP::Hep3Vector::rotateUz"
1164964579,1501407133,15596264,437778,2032663,15409,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelNode"
1154596755,1784031565,18922176,104664,7552673,24664,"g4run","libCLHEP-2.4.5.3.so","CLHEP::RandGaussQ::transformQuick"
1142093674,1753605576,31871400,167219,7099322,14764,"g4run","libG4processes.so","std::_Rb_tree<G4ParallelWorldProcess*, std::pair<G4ParallelWorldProcess* const, G4String>, std::_Select1st<std::pair<G4ParallelWorldProcess* const, G4String> >, std::less<G4ParallelWorldProcess*>, std::allocator<std::pair<G4ParallelWorldProcess* const, G4String> > >::_M_get_insert_unique_pos"
1140724652,1775302162,15921779,107372,9392691,22205,"g4run","libG4particles.so","G4OmegacZero::Definition"
1136660573,1848237493,17911361,132166,10509700,25803,"g4run","libG4processes.so","G4LightTargetCollider::collide"
1133059966,1784072379,16568887,107692,8816929,19694,"g4run","libG4processes.so","std::vector<G4String, std::allocator<G4String> >::emplace_back<char const*&>"
1070204145,1852684277,12863144,207774,2641711,12249,"g4run","libG4geometry.so","G4Paraboloid::G4Paraboloid"
1066027783,1755042179,24447489,162112,6171678,16104,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::OneGoodStep"
1028323368,1490260038,17200594,62695,8162366,17142,"g4run","libG4processes.so","G4PenelopeRayleighModelMI::InitializeSamplingAlgorithm"
1020656604,1580335081,22518072,154639,5829490,23215,"g4run","libG4geometry.so","G4LogicalSurface::G4LogicalSurface"
1020357762,1588711322,30611526,131903,10404113,30534,"g4run","libG4geometry.so","G4MagneticField::~G4MagneticField"
1018577159,1627996838,26143443,124043,11869134,28616,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_fill_insert"
1014236828,1404200624,32064144,144543,13145281,26821,"g4run","libG4processes.so","G4NeutronInelasticXS::Initialise"
1013020861,1829310793,6993423,162890,1968610,6283,"g4run","libG4geometry.so","G4PolyhedraSide::Inside"
1011747365,1441185204,14580675,97792,8578394,19158,"g4run","libG4particles.so","G4LambdacPlus::Definition"
1009461745,1519325816,24351018,92500,11842545,8384,"g4run","libG4processes.so","std::vector<G4PairProductionRelModel::ElementData*, std::allocator<G4PairProductionRelModel::ElementData*> >::_M_fill_insert"
1000902858,1431548015,15684877,286972,3308311,13828,"g4run","libG4processes.so","G4ScoreSplittingProcess::AlongStepDoIt"
1000593778,1388807141,14265787,115065,7565650,25210,"g4run","libCLHEP-2.4.5.3.so","CLHEP::operator/"
997016404,1393991860,26445267,164995,10459335,73144,"g4run","libG4processes.so","G4OpticalParametersMessenger::~G4OpticalParametersMessenger"
993868809,1755737192,15677383,256284,5992013,72225,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetIndex"
983757874,1527063925,25699881,152656,8216163,69574,"g4run","libG4geometry.so","G4ParameterisedNavigation::LevelLocate"
966858751,1354290014,13436295,97915,6907983,40076,"g4run","libG4processes.so","G4RKPropagation::Init"
951527998,1508089850,22182553,142267,7504321,28497,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepRandom::getTheEngine"
936309255,1425088267,18894442,133145,9857615,38808,"g4run","libG4particles.so","G4DynamicParticle::operator="
921638623,1496646554,22134331,146469,7843627,36085,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::ComputeNewStepSize"
918250375,1462065188,24601940,148341,5925582,23180,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::AlongStepGetPhysicalInteractionLength"
901472981,1484575193,11631853,200675,2414388,10102,"g4run","libG4geometry.so","G4Paraboloid::StreamInfo"
883928797,1349954028,25004659,110050,8624637,37223,"g4run","libG4geometry.so","G4NormalNavigation::ComputeStep"
860929523,1526008139,8212128,103513,2356399,5190,"g4run","g4run","ffunkti"
860919044,1270576621,14301269,268378,3280231,16119,"g4run","libG4geometry.so","G4LogicalBorderSurface::GetSurface"
858712496,1469851642,11979930,120994,7598600,68750,"g4run","libG4tracking.so","G4SteppingManager::ProcessSecondariesFromParticleChange"
823879975,1403518923,17382196,109908,9282164,29638,"g4run","libG4geometry.so","std::vector<G4FieldManager*, std::allocator<G4FieldManager*> >::_M_realloc_insert<G4FieldManager* const&>"
822630645,1119381180,13384734,286334,3312230,65130,"g4run","libG4processes.so","G4ITMultiNavigator::GetGlobalExitNormal"
804338362,1164825475,27164882,179123,13187561,19869,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscPDG"
791545111,1256235486,20004668,131240,8314337,33037,"g4run","libG4track.so","G4Track::G4Track"
790425566,1533132955,10133660,67196,4043484,21448,"g4run","libm.so.6","__ieee754_pow_fma"
781941406,1193818940,15692843,75884,8024656,34471,"g4run","libG4particles.so","G4DynamicParticle::Set4Momentum"
774423828,1395920972,11420214,90738,3776269,36730,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointAndSetup"
773218563,1141247171,28462471,157524,4362038,15604,"g4run","libG4processes.so","G4PAIySection::DifPAIySection"
772424451,1232650985,4987061,163961,1369042,5568,"g4run","libG4geometry.so","G4PolyPhiFace::Diagonalie"
770882153,1165802081,13272269,72592,6281723,13683,"g4run","libG4processes.so","G4OpticalParametersMessenger::G4OpticalParametersMessenger"
753408063,1248365694,10898360,77186,8780866,28074,"g4run","libG4processes.so","G4ScoreSplittingProcess::Verbose"
745128429,981549125,23061923,84254,9373152,14178,"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::GetInelasticElementCrossSection"
743140828,1331162152,7183810,71541,3946544,10403,"g4run","libG4processes.so","G4SBBremTable::LoadSTGrid"
