cycles,faults,minor_faults,major_faults,alignment_faults,comm,dso,symbol
130493760,0,0,0,0,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeLPMGsPhis"
129815809,0,0,0,0,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKminusPChannelData, G4KaonSampler>::printTable"
129107849,0,0,0,0,"g4run","libG4processes.so","G4ChipsKaonMinusElasticXS::GetPTables"
124949775,0,0,0,0,"g4run","libG4processes.so","std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::~vector"
123543184,0,0,0,0,"g4run","libG4event.so","std::vector<G4SingleParticleSource::part_prop_t*, std::allocator<G4SingleParticleSource::part_prop_t*> >::_M_fill_insert"
123533845,0,0,0,0,"g4run","libG4processes.so","G4RToEConvForGamma::ComputeValue"
122135230,0,0,0,0,"g4run","libG4processes.so","0x00000000006ce62f"
121426679,0,0,0,0,"g4run","libG4geometry.so","G4FieldTrack::SetChargeAndMoments"
120751781,0,0,0,0,"g4run","libG4processes.so","G4LivermoreComptonModel::SampleSecondaries"
120030696,0,0,0,0,"g4run","libG4track.so","G4VParticleChange::~G4VParticleChange"
118662113,0,0,0,0,"g4run","libG4processes.so","std::vector<G4InuclNuclei, std::allocator<G4InuclNuclei> >::_M_realloc_insert<G4InuclNuclei const&>"
118653310,0,0,0,0,"g4run","libG4geometry.so","G4BrentLocator::EstimateIntersectionPoint"
118615482,0,0,0,0,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetNuclearMass"
117270403,0,0,0,0,"g4run","libG4geometry.so","__cxa_atexit@plt"
117268153,0,0,0,0,"g4run","libG4geometry.so","G4MultiUnion::DistanceToIn"
115894388,0,0,0,0,"g4run","libG4particles.so","G4KaonPlus::Definition"
115856816,0,0,0,0,"g4run","libG4processes.so","G4ElementaryParticleCollider::collide"
115156701,0,0,0,0,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::G4LivermoreBremsstrahlungModel"
114657914,0,0,0,0,"g4run","libG4geometry.so","G4MultiUnion::StreamInfo"
113012292,0,0,0,0,"g4run","libCLHEP-2.4.5.3.so","HepGeom::operator*"
112360916,0,0,0,0,"g4run","libG4geometry.so","G4TouchableHistory::operator delete"
111667750,0,0,0,0,"g4run","libG4processes.so","G4PAIySection::CallError"
111662772,0,0,0,0,"g4run","libG4processes.so","G4GeneralPhaseSpaceDecay::G4GeneralPhaseSpaceDecay"
110879888,0,0,0,0,"g4run","libG4processes.so","G4Fancy3DNucleus::ReduceSum"
110250387,0,0,0,0,"g4run","libc.so.6","malloc"
