id,cycles,instructions,ls_dc_accesses,ls_dispatch_ld_dispatch,ls_dispatch_store_dispatch,ls_tlb_flush
"all;g4run;libG4geometry;G4BooleanSolid::GetConstituentSolid",21615478,13802574,16301640,13991611,6364857,0
"all;g4run;libG4geometry;G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord",1449007828,2414072200,1549758950,1091242320,473478334,0
"all;g4run;libG4geometry;G4Cons::G4Cons",0,1155580,1994136,0,640084,0
"all;g4run;libG4geometry;0x00000000001c1e9a",697415,939753,1321844,469160,1062286,0
"all;g4run;libG4geometry;G4ReflectedSolid::~G4ReflectedSolid",1391926,0,2574177,464517,1051313,0
"all;g4run;libG4geometry;G4Paraboloid::G4Paraboloid",8377722,17775156,13791688,5883489,2208328,0
"all;g4run;libG4geometry;G4Torus::SurfaceNormal",1396865,2052087,632924,702129,1040383,0
"all;g4run;libG4geometry;G4PartialPhantomParameterisation::ComputeVoxelIndices@plt",0,1041976,0,1865018,224980,0
"all;g4run;libG4geometry;G4ReflectedSolid::DescribeYourselfTo",0,0,0,0,213598,0
"all;g4run;libG4geometry;G4Mag_SpinEqRhs::EvaluateRhsGivenB",0,2885459,1355540,338112,0,0
"all;g4run;libG4geometry;G4VIntersectionLocator::GetSurfaceNormal@plt",79522693,137329573,71180012,59131262,20638238,0
"all;g4run;libG4geometry;G4Trap::ApproxSurfaceNormal",36958656,57646327,40651317,26500587,13173268,0
"all;g4run;libG4geometry;G4VoxelSafety::SafetyForVoxelHeader",2498347377,3674290077,2395557681,1736407785,746711342,0
"all;g4run;libG4geometry;G4NormalNavigation::ComputeStep@plt",28605721,44867827,35975598,24645894,7281572,0
"all;g4run;libG4geometry;G4FSALBogackiShampine45::G4FSALBogackiShampine45@plt",9768683,15385690,9176238,10454294,1462729,0
"all;g4run;libG4geometry;G4FieldManagerStore::DeRegister",424235779,767297416,452185093,306692740,158997076,0
"all;g4run;libG4geometry;0x000000000025531b",698367,0,0,0,0,0
"all;g4run;libG4geometry;G4CutTubs::DistanceToIn",4887418,11372829,5873389,5351362,1234625,0
"all;g4run;libG4geometry;0x00000000001c9a6c",46027254,87501958,37858476,34457996,13245005,0
"all;g4run;libG4geometry;0x0000000000207b0e",0,1653831,0,0,0,0
"all;g4run;libG4geometry;aNavigHistoryAllocator",419825360,650351020,411683973,322423707,138545387,0
"all;g4run;libG4geometry;G4Navigator::CheckOverlapsIterative",214876107,373058711,213359017,155677733,64677093,0
"all;g4run;libG4geometry;G4VPhysicalVolume::GetTranslation@plt",11857236,32059739,13446712,12787296,2901649,0
"all;g4run;libG4geometry;G4Tubs::G4Tubs",30007167,52954219,35478050,18809717,10779498,0
"all;g4run;libG4geometry;G4LogicalBorderSurface::~G4LogicalBorderSurface",70445468,103894716,60312769,37907107,19405914,0
"all;g4run;libG4geometry;G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::ComputeNewStepSize",874858327,1378698134,934931377,605955186,306486012,0
"all;g4run;libG4geometry;0x00000000001c22d7",0,2271370,1380520,858531,208294,0
"all;g4run;libG4geometry;G4UnionSolid::DistanceToOut",86508317,144048974,63781682,60689514,15523780,0
"all;g4run;libG4geometry;G4BooleanSolid::GetPolyhedron",13247323,20842315,13579755,12822400,2863237,0
"all;g4run;libG4geometry;G4MagneticField::operator=",191165777,339081472,202989490,154936827,56895909,0
"all;g4run;libG4geometry;G4LogicalCrystalVolume::G4LogicalCrystalVolume",105336056,167794311,92998687,79648422,30707083,0
"all;g4run;libG4geometry;0x00000000001ca1ae",0,0,610254,471844,0,0
"all;g4run;libG4geometry;G4Trap::GetVertices",9774545,6514603,9469234,8025643,4304189,0
"all;g4run;libG4geometry;0x00000000001c9e15",2094493,2034961,2255191,460611,659098,0
"all;g4run;libG4geometry;G4NormalNavigation::~G4NormalNavigation",10462913,18902493,11958837,6496510,2098938,0
"all;g4run;libG4geometry;0x0000000000181669",2091358,2136508,664615,0,849769,0
"all;g4run;libG4geometry;std::_Rb_tree<std::pair<G4VPhysicalVolume const*, G4VPhysicalVolume const*>, std::pair<std::pair<G4VPhysicalVolume const*, G4VPhysicalVolume const*> const, G4LogicalBorderSurface*>, std::_Select1st<std::pair<std::pair<G4VPhysicalVolume const*, G4VPhysicalVolume const*> const, G4LogicalBorderSurface*> >, std::less<std::pair<G4VPhysicalVolume const*, G4VPhysicalVolume const*> >, std::allocator<std::pair<std::pair<G4VPhysicalVolume const*, G4VPhysicalVolume const*> const, G4LogicalBorderSurface*> > >::_M_erase",233047718,361780491,233792857,152923771,70400698,0
"all;g4run;libG4geometry;0x000000000016159b",3491348,9230860,4077394,4001292,1034168,0
"all;g4run;libG4geometry;G4LogicalSurface::G4LogicalSurface",965510474,1615788616,954173108,750146136,290981017,0
"all;g4run;libG4geometry;G4ReflectionFactory::Place",486246640,744129980,470323707,362938939,151270630,0
"all;g4run;libG4geometry;0x0000000000103cea",1396572,0,708216,0,0,0
"all;g4run;libG4geometry;0x00000000001fe2cd",0,1123459,0,539381,0,0
"all;g4run;libG4geometry;G4NormalNavigation::ComputeSafety",163817441,261598768,153605862,104991013,49846998,0
"all;g4run;libG4geometry;0x0000000000103cef",157645799,276133829,154584706,129131989,54050996,0
"all;g4run;libG4geometry;G4MagneticField::~G4MagneticField",12564792,26892300,10160154,8126076,2388868,0
"all;g4run;libG4geometry;G4ReflectionFactory::ReflectPVReplica",150710063,234757574,154138856,117157297,48435557,0
"all;g4run;libG4geometry;G4Tubs::ApproxSurfaceNormal",343197581,546717392,346129561,258587534,109867822,0
"all;g4run;libG4geometry;0x000000000018166d",5578589,8444208,11964078,5239817,3051478,0
"all;g4run;libG4geometry;G4LogicalSkinSurface::DumpInfo",2083203728,2947016278,1858079175,1384569565,584179004,0
"all;g4run;libG4geometry;0x00000000001c9e1e",698414,1094689,2633470,514354,0,0
"all;g4run;libG4geometry;std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4VPhysicalVolume*, std::allocator<G4VPhysicalVolume*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4VPhysicalVolume*, std::allocator<G4VPhysicalVolume*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4VPhysicalVolume*, std::allocator<G4VPhysicalVolume*> > > > >::find",44649413,71295871,50072059,33022242,17512792,0
"all;g4run;libG4geometry;G4Torus::ApproxSurfaceNormal",4880261,0,2603480,947796,208998,0
"all;g4run;libG4geometry;G4BooleanSolid::StackPolyhedron",528020579,906576631,590412544,406547476,165019992,0
"all;g4run;libG4geometry;G4ClassicalRK4::G4ClassicalRK4",0,0,763240,0,0,0
"all;g4run;libG4geometry;G4Tubs::SurfaceNormal",1530635609,2435954622,1569160713,1143080819,502808997,0
"all;g4run;libG4geometry;0x0000000000103d38",150688833,283861336,163628845,132450148,44448666,0
"all;g4run;libG4geometry;G4ReflectedSolid::GetCubicVolume",3486973,2009496,2499986,1834068,669506,0
"all;g4run;libG4geometry;G4EllipticalTube::~G4EllipticalTube@plt",20945496,35087430,19059656,21081426,6994399,0
"all;g4run;libG4geometry;operator delete@plt",698451,2288304,796217,486606,621598,0
"all;g4run;libG4geometry;G4MultiUnion::DistanceToInCandidates",8370247,20815417,17507955,8987845,5901518,0
"all;g4run;libG4geometry;G4VoxelNavigation::LevelLocate",552548408,902535515,636559577,428074787,179596904,0
"all;g4run;libG4geometry;G4UIcmdWithADoubleAndUnit::SetDefaultUnit@plt",2091301,3174194,2755308,972838,668708,0
"all;g4run;libG4geometry;0x000000000016167d",8368592,9661378,8890197,7472669,2304067,0
"all;g4run;libG4geometry;G4SafetyHelper::InitialiseHelper@plt",4184335,8746232,5437918,1896552,1075400,0
"all;g4run;libG4geometry;0x00000000001f840f",17435216,35091269,20959047,11879307,6039169,0
"all;g4run;libG4geometry;G4MagErrorStepper::~G4MagErrorStepper",0,0,0,465562,0,0
"all;g4run;libG4geometry;0x00000000000f7287",2786220,6668193,1355999,1437220,567822,0
"all;g4run;libG4geometry;G4VIntersectionLocator::ReportReversedPoints",0,995116,689715,1431099,456011,0
"all;g4run;libG4geometry;0x00000000001c23ba",697735,2028021,0,939096,418307,0
"all;g4run;libG4geometry;G4PolyhedraSide::DistanceToOneSide",46749318,93939477,38530672,35237155,10674214,0
"all;g4run;libG4geometry;0x0000000000212269",2093348,1107535,2016269,0,407950,0
"all;g4run;libG4geometry;0x00000000001925fa",696954,1202231,1306441,2119180,205586,0
"all;g4run;libG4geometry;G4LogicalVolume::~G4LogicalVolume",357166250,536069244,340374239,249360191,108010660,0
"all;g4run;libG4geometry;G4PolyhedraSide::Distance",1997285113,3301160135,1989880456,1562024474,487220559,0
"all;g4run;libG4geometry;0x00000000001925fe",0,1122615,1378336,999217,188294,0
"all;g4run;libG4geometry;G4PolyhedraSide::CopyStuff@plt",4189035,8591155,2704706,5376815,1783809,0
"all;g4run;libG4geometry;G4MagInt_Driver::SetSmallestFraction",0,1075863,0,0,0,0
"all;g4run;libG4geometry;G4RegularNavigation::ComputeStepSkippingEqualMaterials",1718816904,2557154693,1619327653,1226927083,462534495,0
"all;g4run;libG4geometry;G4ClassicalRK4::DumbStepper",0,1133167,0,504829,207184,0
"all;g4run;libG4geometry;0x000000000027089d",1395799,3589306,1428889,3297507,645731,0
"all;g4run;libG4geometry;G4MagneticField::G4MagneticField",333433390,546229886,375453341,256444856,109427789,0
"all;g4run;libG4geometry;G4VIntersectionLocator::ReportProgress",6968826,20582505,11007019,9847109,2746480,0
"all;g4run;libG4geometry;G4NormalNavigation::G4NormalNavigation",394833906,718255508,432059086,317217347,132524009,0
"all;g4run;libG4geometry;G4LogicalSkinSurface::~G4LogicalSkinSurface",254612676,359045430,223415691,171806574,77880413,0
"all;g4run;libCLHEP-2",,,,,,
"all;g4run;libCLHEP-2;__tls_get_addr@plt",34882760,56914195,30309903,19413181,9374262,0
"all;g4run;libCLHEP-2;CLHEP::HepLorentzRotation::rotateZ",161145035,364873170,228767957,157655679,65960496,0
"all;g4run;libCLHEP-2;CLHEP::RandGaussQ::transformQuick",951656898,1522577221,919597098,660737643,245838116,0
"all;g4run;libCLHEP-2;CLHEP::RandGaussQ::transformSmall",0,0,0,523469,439012,0
"all;g4run;libCLHEP-2;CLHEP::HepLorentzVector::operator()",0,1181703,0,0,0,0
"all;g4run;libCLHEP-2;HepGeom::operator*",26487592,50463706,30007811,19467756,8803044,0
"all;g4run;libCLHEP-2;CLHEP::Hep3Vector::rotateUz",1215962343,2007891427,1337311179,893896278,425691782,0
"all;g4run;libCLHEP-2;CLHEP::HepLorentzVector::operator/=",0,0,715863,0,0,0
"all;g4run;libCLHEP-2;CLHEP::RandGamma::genGamma@plt",0,0,2705731,0,0,0
"all;g4run;libCLHEP-2;CLHEP::HepLorentzRotation::set",1395679,1082106,1352868,960859,175049,0
"all;g4run;libCLHEP-2;CLHEP::MixMaxRng::MULWU",666972358,1000971777,604242083,423633871,199306481,0
"all;g4run;libCLHEP-2;CLHEP::HepLorentzVector::findBoostToCM",0,0,0,0,216739,0
"all;g4run;libCLHEP-2;CLHEP::HepRotation::set",698413,0,0,464169,0,0
"all;g4run;libCLHEP-2;CLHEP::operator/",53731683,52211878,40420304,25670707,11091600,0
"all;g4run;libCLHEP-2;CLHEP::(anonymous namespace)::theDefaults",1789780599,2945451321,1888588505,1243392879,611269961,0
"all;g4run;libCLHEP-2;CLHEP::MixMaxRng::iterate@plt",76748318,99792627,60705745,49475083,24714073,0
"all;g4run;libCLHEP-2;CLHEP::MixMaxRng::MULWU@plt",110239016,136435770,87721501,67170437,25447791,0
"all;g4run;libCLHEP-2;CLHEP::MixMaxRng::iterate",5570309510,8583136655,5388944323,3753626402,1696910009,0
"all;g4run;libCLHEP-2;CLHEP::HepLorentzVector::transform",698476,0,666581,0,0,0
"all;g4run;libCLHEP-2;CLHEP::HepRandom::getTheEngine",1042723889,1758145158,1090937703,765829331,358330523,0
"all;g4run;libCLHEP-2;CLHEP::MixMaxRng::generate",1790208455,2738599511,1748742988,1218119375,553998340,0
"all;g4run;libCLHEP-2;sincos@plt",0,0,0,0,434742,0
"all;g4run;libCLHEP-2;CLHEP::RandFlat::shootArray",0,0,0,454790,0,0
"all;g4run;libCLHEP-2;CLHEP::HepLorentzVector::boost",2568217905,4172852859,2585117055,1653725352,939337987,0
"all;g4run;libCLHEP-2;CLHEP::HepLorentzVector::beta",0,0,432846,0,0,0
"all;g4run;libCLHEP-2;CLHEP::HepLorentzVector::operator*=",0,3390064,2074310,511974,411667,0
"all;g4run;libCLHEP-2;CLHEP::MixMaxRng::modadd@plt",55821028,78127061,56972047,33822718,17637816,0
"all;g4run;libCLHEP-2;CLHEP::MixMaxRng::modadd",572809126,891221925,537547644,389498694,166996599,0
"all;g4run;libCLHEP-2;CLHEP::Hep3Vector::cosTheta",0,993802,0,0,0,0
"all;g4run;libCLHEP-2;CLHEP::RandGamma::shoot",698298,0,610057,1263411,634656,0
"all;g4run;libCLHEP-2;CLHEP::MixMaxRng::generate@plt",17446416,23275390,13934971,14267402,3934348,0
"all;g4run;libCLHEP-2;CLHEP::Hep3Vector::setSpherical",106747532,147831672,63669538,61041199,28050073,0
"all;g4run;libCLHEP-2;CLHEP::Hep3Vector::operator*=",129710542,174984325,107078442,72574944,32682867,0
"all;g4run;libCLHEP-2;CLHEP::MixMaxRng::flatArray",632763362,944942695,586362325,436115992,169375997,0
"all;g4run;libCLHEP-2;CLHEP::RandGamma::genGamma",7675007,11645600,3322189,4565390,1246203,0
"all;g4run;libCLHEP-2;CLHEP::HepLorentzRotation::rotateY",169548042,417092699,254623277,155269117,77646909,0
"all;g4run;libCLHEP-2;CLHEP::HepLorentzVector::boostVector",955771259,1638102890,1046840660,652567472,351338848,0
"all;g4run;libG4error_propagation",,,,,,
"all;g4run;libG4error_propagation;std::vector<int, std::allocator<int> >::_M_default_append",0,2899753,1335710,0,202522,0
"all;g4run;libG4error_propagation;G4ErrorTrackLengthTarget::GetMeanFreePath",0,0,0,477576,0,0
"all;g4run;libpythia8",,,,,,
"all;g4run;libpythia8;std::vector<int, std::allocator<int> >::reserve",2094638,2459139,666648,479501,1245909,0
"all;g4run;libm",,,,,,
"all;g4run;libm;with_errno",2788700,1119655,0,505736,199424,0
"all;g4run;libm;__fmod",698290,0,0,0,0,0
"all;g4run;libm;hypot@@GLIBC_2.35",6978101,11262328,4548667,4632841,1845274,0
"all;g4run;libm;__sin_fma",212791928,387028924,238676047,157612514,84842400,0
"all;g4run;libm;__ieee754_acos_fma",433299398,636233981,299457413,195811737,101216574,0
"all;g4run;libm;__tan_fma",696840,0,0,0,658224,0
"all;g4run;libm;__strtod_nan@plt",67680642,103041285,78396798,55278360,18920826,0
"all;g4run;libm;pow@@GLIBC_2.29",103264430,168514147,98880697,73738515,33695944,0
"all;g4run;libm;__atan2",2320740546,3874904638,2364522025,1782820968,658517633,0
"all;g4run;libm;__acos",90685805,113088289,66493720,31992512,20435508,0
"all;g4run;libm;__ieee754_exp_fma",537177702,847251402,487157873,363563775,156332870,0
"all;g4run;libm;__ieee754_pow_fma",824478086,1448587750,785186113,561408460,246218922,0
"all;g4run;libm;__sinh",0,0,0,0,222060,0
"all;g4run;libm;__ieee754_log_fma",720041701,1346761343,822782111,524460645,265738791,0
"all;g4run;libm;__cos_fma",0,0,0,0,223580,0
"all;g4run;libm;@plt",0,1107213,0,484667,224805,0
"all;g4run;libm;exp@@GLIBC_2.29",316034046,592426404,348115867,255333824,102769460,0
"all;g4run;libm;__ieee754_atan2_fma",19694144403,33838103734,20549069211,15720819656,5737586620,0
"all;g4run;libm;__math_check_uflow",698463,1105008,0,461219,194098,0
"all;g4run;libm;xflow",1394779,1050155,641387,444668,635859,0
"all;g4run;libm;__math_uflow",698446,0,678361,438017,203109,0
"all;g4run;libm;log@@GLIBC_2.29",39766061,66706454,34778610,24208197,13030721,0
"all;g4run;libm;__atan_fma",0,0,641980,0,0,0
"all;g4run;libm;__expm1",0,0,1375603,513330,0,0
"all;g4run;libm;__sincos",7210213904,11756549011,7583075009,5154545554,2495107992,0
"all;g4run;libQt5Qml",,,,,,
"all;g4run;libQt5Qml;std::vector<double, std::allocator<double> >::reserve",58288488,70663556,30429485,22247946,8850754,0
"all;g4run;ld-linux-x86-64",,,,,,
"all;g4run;ld-linux-x86-64;__tls_get_addr",7172601413,11351003037,7147787349,5027606690,2292162297,0
"all;g4run;libG4processes",,,,,,
"all;g4run;libG4processes;0x00000000008388a5",0,837962,0,0,0,0
"all;g4run;libG4processes;0x0000000000833f69",698325,0,707525,940376,227477,0
"all;g4run;libG4processes;0x00000000008af3e5",698416,0,694416,0,0,0
"all;g4run;libG4processes;G4DiffuseElasticV2::~G4DiffuseElasticV2@plt",18138439,36970500,22498232,20967929,6782223,0
"all;g4run;libG4processes;G4EMDissociationSpectrum::GetGeneralE1Spectrum",1396328,942933,0,0,221191,0
"all;g4run;libG4processes;std::vector<std::function<void ()>, std::allocator<std::function<void ()> > >::_M_realloc_insert<G4ThreadLocalSingleton<G4LossTableManager>::G4ThreadLocalSingleton()::{lambda()#1}>",16745931,12136416,5442900,9526008,4743159,0
"all;g4run;libG4processes;G4ChipsKaonPlusElasticXS::GetTabValues",770299030,1541524714,912256425,635515292,290815770,0
"all;g4run;libG4processes;G4HadronicAbsorptionBertini::~G4HadronicAbsorptionBertini",1396473,2461171,0,511081,224938,0
"all;g4run;libG4processes;0x0000000000b3f93a",696369,0,0,0,176720,0
"all;g4run;libG4processes;G4EmExtraParameters::ActivateSecondaryBiasing",38386382,58387685,45407792,32858385,17275737,0
"all;g4run;libG4processes;0x00000000008b6cd4",0,1038987,0,0,0,0
"all;g4run;libG4processes;0x0000000000b3f93e",4182761,4464001,3844904,3930593,532218,0
"all;g4run;libG4processes;G4ElNeutrinoNucleusTotXsc::GetIsoCrossSection",2791006,1124504,711333,1372560,841990,0
"all;g4run;libG4processes;G4PairProductionRelModel::ComputeParametrizedXSectionPerAtom@plt",6284840,5554352,4155337,1460419,857386,0
"all;g4run;libG4processes;0x0000000000a1abde",694419,0,0,0,0,0
"all;g4run;libG4processes;0x0000000000a45da4",3481526,3015296,1929162,0,206854,0
"all;g4run;libG4processes;G4NuclNuclDiffuseElastic::AmplitudeSim",10466823,5543688,2617641,4123871,1524021,0
"all;g4run;libG4processes;G4KineticTrack::Decay",693460,0,667070,0,226648,0
"all;g4run;libG4processes;G4QGSParticipants::CreateStrings@plt",695014,0,0,0,0,0
"all;g4run;libG4processes;G4fissionEvent::G4fissionEvent",3491028,6132891,4163315,1457634,1010840,0
"all;g4run;libG4processes;G4CascadeCheckBalance::ekinOkay",49521607,59268019,37457481,27299979,12941206,0
"all;g4run;libG4processes;G4CascadeFunctions<G4CascadeLambdaNChannelData, G4KaonHypSampler>::getOutgoingParticleTypes",0,1121595,0,0,0,0
"all;g4run;libG4processes;G4PairProductionRelModel::Initialise",163239511,225586810,175378262,113939096,53580927,0
"all;g4run;libG4processes;G4CacheReference<G4MultiBodyMomentumDist*>::Destroy",435302706,661004353,397792952,250211155,163486163,0
"all;g4run;libG4processes;G4TritonGEMProbability::G4TritonGEMProbability@plt",698419,0,899046,1588586,244565,0
"all;g4run;libG4processes;G4ExcitationHandler::G4ExcitationHandler@plt",698419,3401048,703923,484877,0,0
"all;g4run;libG4processes;0x000000000037d810",698477,1057614,0,0,227269,0
"all;g4run;libG4processes;G4WilsonAbrasionModel::~G4WilsonAbrasionModel",0,1092575,0,600833,0,0
"all;g4run;libG4processes;G4PEEffectFluoModel::ComputeCrossSectionPerAtom",15354208,20763394,14432590,15525773,6398646,0
"all;g4run;libG4processes;G4ElNeutrinoNucleusTotXsc::GetANuElTotCsArray",0,1117490,0,424042,0,0
"all;g4run;libG4processes;G4ChipsProtonElasticXS::GetTabValues",67670712,88553497,56441857,41959743,16081383,0
"all;g4run;libG4processes;G4GammaTransition::SampleDirection",48829109,68565147,39680356,34736192,8227642,0
"all;g4run;libG4processes;G4NumIntTwoBodyAngDst<11, 19>::GetCosTheta",32080746,38472044,14144828,13445550,7605355,0
"all;g4run;libG4processes;0x0000000000a1ce57",0,930965,2029215,0,437004,0
"all;g4run;libG4processes;G4CascadeFunctions<G4CascadePiMinusPChannelData, G4PionNucSampler>::getMultiplicity",22319522,34813292,20369869,13526319,7848459,0
"all;g4run;libG4processes;0x0000000000838c16",0,1081416,0,0,0,0
"all;g4run;libG4processes;0x00000000009f3d56",0,0,0,600164,0,0
"all;g4run;libG4processes;G4MultiBodyMomentumDist::~G4MultiBodyMomentumDist",758356544,1248181835,697435685,439239524,251688447,0
"all;g4run;libG4processes;G4IntraNucleiCascader::particleCanInteract",0,1069402,700994,0,270056,0
"all;g4run;libG4processes;0x00000000009e3cb1",0,1062160,0,0,0,0
"all;g4run;libG4processes;G4ExcitationHandler::SetFermiModel@plt",695344,3196735,0,960764,0,0
"all;g4run;libG4processes;G4HadPhaseSpaceKopylov::GenerateMultiBody",5580066,3473635,3985807,5867421,1433742,0
"all;g4run;libG4processes;G4StatMFChannel::CreateFragment",23722742,25451695,16446196,8719474,5067022,0
"all;g4run;libG4processes;0x000000000083e107",698413,0,0,0,0,0
"all;g4run;libG4processes;0x00000000008363e3",31405139,41869661,23089226,16561066,11580261,0
"all;g4run;libG4processes;G4OpticalParameters::SetWLS2TimeProfile@plt",0,1082823,0,0,0,0
"all;g4run;libG4processes;G4BinaryLightIonReaction::Interact",698436,0,0,0,0,0
"all;g4run;libG4processes;G4Reggeons::GetProbabilities",0,4897438,0,972656,0,0
"all;g4run;libG4processes;G4CascadeFunctions<G4CascadeNPChannelData, G4PionNucSampler>::printTable",64886686,72263146,60536905,38145692,24816432,0
"all;g4run;libG4processes;G4NuclNuclDiffuseElastic::TestAngleTable",1394574,3173243,0,933101,0,0
"all;g4run;libG4processes;G4eIonisationParameters::~G4eIonisationParameters@plt",13938947,14283529,15133374,8362036,3010871,0
"all;g4run;libG4processes;0x00000000008363e9",27913230,35659050,19426208,12086412,8408520,0
"all;g4run;libG4processes;G4CascadeFunctions<G4CascadePPChannelData, G4PionNucSampler>::getOutgoingParticleTypes",166100793,192061870,121509376,83388019,43716089,0
"all;g4run;libG4processes;G4ResonanceNames::~G4ResonanceNames",0,0,0,1095851,219946,0
"all;g4run;libG4processes;G4VXTRenergyLoss::AngleSpectralXTRdEdx",2555160,0,691775,487340,222139,0
"all;g4run;libG4processes;G4CascadParticle::propagateAlongThePath",2094216,1095449,699324,498233,0,0
"all;g4run;libG4processes;G4TransitionRadiation::EnergyIntegralDistribution",8374025,8896949,3364390,3759101,670313,0
"all;g4run;libG4processes;G4eBremsstrahlungRelModel::ComputeLPMGsPhis",15333532,23001787,11114401,12433318,8128517,0
"all;g4run;libG4processes;0x0000000000a1a595",0,0,0,0,220471,0
"all;g4run;libG4processes;G4VXTRenergyLoss::XTRNSpectralDensity",0,0,0,493254,201048,0
"all;g4run;libG4processes;std::vector<G4InteractionContent*, std::allocator<G4InteractionContent*> >::_M_realloc_insert<G4InteractionContent* const&>",0,2387913,0,0,0,0
"all;g4run;libG4processes;0x0000000000b39256",698043,0,0,0,0,0
"all;g4run;libG4processes;G4InuclCollider::collide",2456179728,4027680994,2447378817,1582724959,931650591,0
"all;g4run;libG4processes;G4MuonMinusAtomicCapture::BuildPhysicsTable",0,0,723439,0,0,0
"all;g4run;libG4processes;G4GamP2NPipAngDst::~G4GamP2NPipAngDst",4887672,3517471,680355,994575,224672,0
"all;g4run;libG4processes;G4CascadeFunctions<G4CascadePiPlusPChannelData, G4PionNucSampler>::getMultiplicity",4888037,7594043,4248742,4360947,1228110,0
"all;g4run;libG4processes;G4EvaporationInuclCollider::deExcite",5573644,7549850,3990590,1970658,641496,0
"all;g4run;libG4processes;0x0000000000b6606d",0,0,0,0,234282,0
"all;g4run;libG4processes;0x00000000009f2d9e",0,1268807,724323,0,205144,0
"all;g4run;libG4processes;G4GoudsmitSaundersonTable::ComputeScatteringPowerCorrection",77414115,139710844,77745501,52120429,25110606,0
"all;g4run;libG4processes;G4StatMFMacroMultiplicity::CalcMeanA",698454,0,0,487561,461162,0
"all;g4run;libG4processes;G4CascadeData<30, 2, 7, 15, 24, 33, 41, 47, 55>::print",25107498,40547030,19346703,17440748,6568583,0
"all;g4run;libG4processes;G4LivermoreBremsstrahlungModel::SampleSecondaries",129069300,161331472,132109998,98930283,35512059,0
"all;g4run;libG4processes;G4ComponentSAIDTotalXS::GetChargeExchangeCrossSection",463905701,631764994,372210282,273975579,132228165,0
"all;g4run;libG4processes;0x0000000000836084",1395887,2234472,0,0,0,0
"all;g4run;libG4processes;0x00000000008b6fae",0,1073158,0,0,0,0
"all;g4run;libG4processes;G4ElectronIonPair::Initialise",698474,0,574755,419503,0,0
"all;g4run;libG4processes;0x00000000008b6cdb",0,0,706281,984476,233909,0
"all;g4run;libG4processes;G4PenelopeRayleighModelMI::ReadDataFile",395563445,619108300,404728807,295776826,114741663,0
"all;g4run;libG4processes;G4DiffuseElasticV2::InitialiseOnFly",0,0,687492,456565,0,0
"all;g4run;libG4processes;G4PairProductionRelModel::InitialiseElementData@plt",694646,0,0,0,0,0
"all;g4run;libG4processes;G4VTransitionRadiation::Clear",4184203,8257620,5364000,1898702,1497935,0
"all;g4run;libG4processes;0x00000000009319da",4879814,4434298,4684140,3224009,1233174,0
"all;g4run;libG4processes;0x0000000000836088",0,0,0,0,221256,0
"all;g4run;libG4processes;0x00000000009319dc",4187180,3191857,2026840,405980,631001,0
"all;g4run;libG4processes;G4LossTableBuilder::GetBaseMaterialFlag",203676172,325196409,227115083,166436176,73638759,0
"all;g4run;libG4processes;G4PhotoElectricEffect::InitialiseProcess",257448033,519115874,272365422,227296796,101614881,0
"all;g4run;libG4processes;std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<G4Nucleon*, std::vector<G4Nucleon, std::allocator<G4Nucleon> > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(G4Nucleon const&, G4Nucleon const&)> >@plt",0,667187,692700,419783,0,0
"all;g4run;libG4processes;0x0000000000b362a3",1395958,0,0,970386,0,0
"all;g4run;libG4processes;G4NuclNuclDiffuseElastic::Initialise",112338180,169991427,83002373,77378201,21681262,0
"all;g4run;libG4processes;G4CascadeDeexciteBase::validateOutput",17456038,17392969,21596305,10153952,6436962,0
"all;g4run;libG4processes;G4BetheBlochModel::SetupParameters",0,0,0,0,204973,0
"all;g4run;libG4processes;std::vector<G4CascadeParameters*, std::allocator<G4CascadeParameters*> >::_M_fill_insert",698286,1007887,0,462825,424584,0
"all;g4run;libG4processes;G4VEmModel::GetCurrentIsotope@plt",2790281,1257578,1392713,0,732141,0
"all;g4run;libG4processes;G4NucleiModel::generateNucleonMomentum",21620765,25645349,19861482,11949626,5140420,0
"all;g4run;libG4processes;G4StatMFFragment::CalcExcitationEnergy",0,1095023,0,0,0,0
"all;g4run;libG4processes;G4RKFieldIntegrator::GetAntiprotonPotential",698442,1228677,0,0,0,0
"all;g4run;libG4processes;G4Reggeons::ncPomerons",4190213,7973540,2054587,2343686,1262118,0
"all;g4run;libG4processes;G4LossTableManager::BuildTables",1587122518,2253007542,1544119317,1023147274,505822189,0
"all;g4run;libG4processes;G4INCL::Config::getVersionHash[abi:cxx11]@plt",0,0,0,497212,0,0
"all;g4run;libG4processes;0x00000000008b09fc",12559028,15157097,13647916,7252038,3797034,0
"all;g4run;libG4processes;G4LossTableBuilder::BuildRangeTable",13526589,8550700,10969321,7836321,2404745,0
"all;g4run;libG4processes;G4LightTargetCollider::AbsorptionOnDeuteron",925503570,1543165518,922676356,604555077,361587281,0
"all;g4run;libG4processes;G4ProductionCutsTable::DumpCouples@plt",0,0,0,979861,0,0
