id,value,prev,curr
"all;python;libpython3;PyObject_IsSubclass",1644470,1644470,0
"all;python;libpython3;lookdict_unicode_nodummy",18934674,10388520,8546154
"all;python;libpython3;_PyPegen_update_memo",2074704,0,2074704
"all;python;libpython3;super_getattro",1425417,0,1425417
"all;python;libpython3;visit_reachable",1798638,1798638,0
"all;python;libpython3;cfunction_vectorcall_FASTCALL_KEYWORDS",1330378,0,1330378
"all;python;libpython3;_io__Buffered_read",1881363,0,1881363
"all;python;libpython3;dictresize",2003167,0,2003167
"all;python;libpython3;_PyEval_EvalCode",7281978,4935121,2346857
"all;python;libpython3;small_stmt_rule",2059315,2059315,0
"all;python;libpython3;_PyObject_Malloc",10368321,3371286,6997035
"all;python;libpython3;conjunction_rule",1979511,0,1979511
"all;python;libpython3;sre_category",2009660,0,2009660
"all;python;libpython3;structseq_dealloc",1970032,1970032,0
"all;python;libpython3;_PyEval_EvalFrameDefault",61877947,29640168,32237779
"all;python;libpython3;tupledealloc",3037313,3037313,0
"all;python;libpython3;unicode_length",1984996,0,1984996
"all;python;libpython3;list_dealloc",1700468,0,1700468
"all;python;libpython3;PyTuple_New",1468802,1468802,0
"all;python;libpython3;PyType_IsSubtype",1833275,1833275,0
"all;python;libpython3;type_mro_modified",2091233,2091233,0
"all;python;libpython3;PyUnicode_InternInPlace",4883236,3101798,1781438
"all;python;libpython3;method_vectorcall_VARARGS_KEYWORDS",1622789,1622789,0
"all;python;libpython3;primary_rule",1907586,0,1907586
"all;python;libpython3;cfunction_vectorcall_NOARGS",1675414,1675414,0
"all;python;libpython3;PyLong_FromLongLong",2040577,0,2040577
"all;python;libpython3;resize_compact",1600800,1600800,0
"all;python;libpython3;_Py_NewReference@plt",1631057,1631057,0
"all;python;libpython3;map_next",1654233,0,1654233
"all;python;libpython3;binary_op1",1824141,0,1824141
"all;python;libpython3;dict_ass_sub",1855460,1855460,0
"all;python;libpython3;PyIndex_Check@plt",1877509,1877509,0
"all;python;libpython3;allocate_from_new_pool",3518955,1665804,1853151
"all;python;libpython3;_PyPegen_expect_token",1979124,0,1979124
"all;python;libpython3;method_vectorcall_O",2065303,2065303,0
"all;python;libpython3;set_lookkey",1682041,1682041,0
"all;python;libpython3;PyDict_GetItemWithError",1499878,1499878,0
"all;python;libpython3;r_object",1579089,1579089,0
"all;python;libpython3;PyObject_IS_GC",1883684,0,1883684
"all;python;libpython3;PyNumber_Add",1469811,1469811,0
"all;python;libpython3;_PyType_Lookup",8325456,2954577,5370879
"all;python;libpython3;lookdict",2136866,2136866,0
"all;python;libpython3;_Py_CheckFunctionResult",1468423,0,1468423
"all;python;libpython3;PyType_Ready",5449303,3214600,2234703
"all;python;libpython3;PySequence_List",1426993,0,1426993
"all;python;libpython3;insertdict",1215506,1215506,0
"all;python;libpython3;lookdict_split",3621548,1928249,1693299
"all;python;libpython3;_PyDict_Pop@plt",1621091,1621091,0
"all;python;libpython3;PyIter_Next",2004610,2004610,0
"all;python;libpython3;sre_ucs1_count",3957158,1972646,1984512
"all;python;libpython3;tupletraverse",1938570,0,1938570
"all;python;libpython3;PyModule_AddObject",2066223,2066223,0
"all;python;libpython3;_PyObject_Free",5934223,4369465,1564758
"all;python;libpython3;take_gil",1956376,0,1956376
"all;python;libpython3;PyObject_GetAttr",1679131,1679131,0
"all;python;libpython3;_PyObject_GenericGetAttrWithDict",7737255,7737255,0
"all;athena.py",,,
"all;athena.py;libG4AtlasToolsLib",,,
"all;athena.py;libG4AtlasToolsLib;DetectorFieldManagerTool::~DetectorFieldManagerTool",1778937,0,1778937
"all;athena.py;libG4AtlasToolsLib;SensitiveDetectorMasterTool::EndOfAthenaEvent",2062489,2062489,0
"all;athena.py;libG4AtlasToolsLib;__tls_get_addr@plt",4159241006,2072254713,2086986293
"all;athena.py;libG4AtlasToolsLib;G4MuonMinus::Definition@plt",151584753,89279413,62305340
"all;athena.py;libG4AtlasToolsLib;G4FieldTrack::G4FieldTrack@plt",525419274,168285301,357133973
"all;athena.py;libG4AtlasToolsLib;G4EquationOfMotion::RightHandSide@plt",1102762338,1102762338,0
"all;athena.py;libG4AtlasToolsLib;field_utils::absoluteError@plt",1169401778,1142398563,27003215
"all;athena.py;libG4AtlasToolsLib;G4RKIntegrationDriver<G4AtlasRK4>::ComputeNewStepSize",3730592781,2191252365,1539340416
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::AdvanceChordLimited",72429010448,40868325852,31560684596
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::DoesReIntegrate",2997246175,2297185405,700060770
"all;athena.py;libG4AtlasToolsLib;G4FieldTrack::operator=",17123805921,17123805921,0
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::AccurateAdvance",112557824996,63731805472,48826019524
"all;athena.py;libG4AtlasToolsLib;G4RKIntegrationDriver<G4AtlasRK4>::ComputeNewStepSize@plt",525463140,332204041,193259099
"all;athena.py;libG4AtlasToolsLib;G4FieldTrack::operator=@plt",1013602870,0,1013602870
"all;athena.py;libG4AtlasToolsLib;field_utils::relativeError2@plt",382478930,139277227,243201703
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::OneGoodStep@plt",3359080971,1660747548,1698333423
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::OneGoodStep",92942837928,46938561784,46004276144
"all;athena.py;libG4AtlasToolsLib;GaudiHandle<IFieldManagerTool>::assertObject",2074305,0,2074305
"all;athena.py;libG4AtlasToolsLib;G4ChordFinderDelegate<G4IntegrationDriver<G4AtlasRK4> >::FindNextChord@plt",7260702587,4801684474,2459018113
"all;athena.py;libG4AtlasToolsLib;SensitiveDetectorBase::assignSD",81148648,6210735,74937913
"all;athena.py;libG4AtlasToolsLib;field_utils::copy@plt",255420672,99704675,155715997
"all;athena.py;libG4AtlasToolsLib;virtual thunk to VoxelDensityTool::postGeometryConfigure() const",1877668,0,1877668
"all;athena.py;libG4AtlasToolsLib;G4FieldTrack::LoadFromArray@plt",554613116,317811024,236802092
"all;athena.py;libG4AtlasToolsLib;TightMuonSteppingFieldManager::ConfigureForTrack",72099647814,37406081451,34693566363
"all;athena.py;libG4AtlasToolsLib;G4RKIntegrationDriver<G4AtlasRK4>::GetDerivatives",47338176817,0,47338176817
"all;athena.py;libG4AtlasToolsLib;RegionCreator::Dump",1992032,1992032,0
"all;athena.py;libG4AtlasToolsLib;RegionCreator::Construct",89988333,47656627,42331706
"all;athena.py;libG4AtlasToolsLib;virtual thunk to SensitiveDetectorBase::Gather()",4144313,0,4144313
"all;athena.py;libG4AtlasToolsLib;VoxelDensityTool::postGeometryConfigure",3771671,1973715,1797956
"all;athena.py;libG4AtlasToolsLib;pow@plt",3251149125,1615084315,1636064810
"all;athena.py;libG4AtlasToolsLib;G4MuonPlus::Definition@plt",1619921982,832835258,787086724
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::OnStartTracking",35958833395,21525846890,14432986505
"all;athena.py;libG4AtlasToolsLib;G4RKIntegrationDriver<G4AtlasRK4>::GetEquationOfMotion",47847148917,25622503758,22224645159
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::QuickAdvance",63823747869,39161183225,24662564644
"all;athena.py;libG4AtlasToolsLib;G4EquationOfMotion::RightHandSide",40693276170,40693276170,0
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4HelixImplicitEuler>::CheckStep",14403971655,0,14403971655
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::OnComputeStep",4654335308,2193193674,2461141634
"all;athena.py;libG4AtlasToolsLib;G4ChordFinderDelegate<G4IntegrationDriver<G4AtlasRK4> >::FindNextChord",166666105227,95399739381,71266365846
"all;athena.py;libCaloUtilsLib",,,
"all;athena.py;libCaloUtilsLib;__static_initialization_and_destruction_0",1963794,0,1963794
"all;athena.py;libMinBiasScintillator",,,
"all;athena.py;libMinBiasScintillator;operator delete@plt",6237530,0,6237530
