cycles,instructions,ic_fetch_stall_ic_stall_any,ic_fetch_stall_ic_stall_dq_empty,ic_fetch_stall_ic_stall_back_pressure,ic_cache_fill_sys,comm,dso,symbol
2711650992,4174810871,1438555190,67788584,686194602,10614685,"g4run","libG4geometry.so","std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > > >::_M_emplace_unique<std::pair<G4String, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >"
2706083066,3758943299,1383187684,64822509,463692512,16448752,"g4run","libG4tracking.so","G4SteppingManager::Stepping"
2667232216,4280248722,1404282674,62900539,769890773,10538130,"g4run","libG4geometry.so","G4LogicalSkinSurface::DumpInfo"
2659820669,3644234676,1347243004,65429476,267789430,13729609,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeRelDXSectionPerAtom"
2642317640,3829015649,1328545280,50455308,569266185,20052416,"g4run","libG4geometry.so","G4ReflectedSolid::CreatePolyhedron"
2516947930,4071482843,1298554828,131922831,325508263,13641559,"g4run","libG4particles.so","G4OmegacZero::Definition"
2512479985,4256423011,1330586718,48364943,744559783,8374252,"g4run","libG4geometry.so","G4DisplacedSolid::CreatePolyhedron"
2457297959,3195139952,1300065827,34903756,381647945,17227874,"g4run","libG4track.so","std::vector<G4Track const*, std::allocator<G4Track const*> >::_M_realloc_insert<G4Track const* const&>"
2436069220,4081579159,1287446522,151339084,288184414,14754190,"g4run","libG4processes.so","G4LightTargetCollider::collide"
2435948864,3553164342,1261447628,40883359,392650024,8583356,"g4run","libG4geometry.so","G4MagneticField::~G4MagneticField"
2434821266,3724094982,1274620895,42205388,364024686,25625634,"g4run","libG4processes.so","std::vector<std::function<void ()>, std::allocator<std::function<void ()> > >::_M_realloc_insert<G4ThreadLocalSingleton<G4NuclearPolarizationStore>::G4ThreadLocalSingleton()::{lambda()#1}>"
2414267009,3483338923,1241506561,59191705,413186359,14597281,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::generate"
2350764390,3509711983,1178977770,62122556,354646110,14941405,"g4run","libCLHEP-2.4.5.3.so","CLHEP::(anonymous namespace)::theDefaults"
2344634527,3428068193,1217381876,52843879,572974915,17239304,"g4run","libG4geometry.so","G4PolyconeSide::CalculateExtent"
2322242105,3249420748,1219561873,60673211,360588578,13689316,"g4run","libG4processes.so","G4LossTableManager::BuildTables"
2299072957,2993414237,1198388640,30747687,349732942,17069269,"g4run","libG4geometry.so","G4RegularNavigation::ComputeStepSkippingEqualMaterials"
2225732746,3408201121,1128848880,128737628,274108497,12170264,"g4run","libG4particles.so","G4LambdacPlus::Definition"
2090365009,3248776019,1035509266,122684562,244303840,14241747,"g4run","libCLHEP-2.4.5.3.so","CLHEP::operator/"
2077080360,3415807455,1162730197,43302228,284494900,13991304,"g4run","libG4processes.so","G4ProcessManager::AddProcess"
2057038851,3327960719,1123812740,40033890,616280341,8927990,"g4run","libG4geometry.so","G4PolyconeSide::G4PolyconeSide"
1987236569,2845627456,1058196992,92105125,374608481,16360584,"g4run","libG4processes.so","G4RKPropagation::Init"
1836978941,2775520085,944261537,46491406,464935889,5821501,"g4run","libG4processes.so","G4GoudsmitSaundersonTable::LoadMSCData"
1818947306,2598451224,965924373,44746093,266261233,9822079,"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord"
1812076499,2510687241,1015510911,43875189,327384157,13036525,"g4run","libG4processes.so","G4CrossSectionDataSetRegistry::Clean"
1800911525,2644325428,891772034,24307969,339374209,8024099,"g4run","libG4geometry.so","G4MagErrorStepper::Stepper"
1771948854,2578517517,900915494,84228930,217978979,15438250,"g4run","libG4particles.so","G4DynamicParticle::operator="
1699790756,2657886824,816709255,33152321,239896814,21481837,"g4run","libG4tracking.so","G4SteppingManager::InvokeAtRestDoItProcs"
