cycles,ex_ret_brn,ex_ret_brn_misp,ex_ret_brn_tkn,ex_ret_brn_tkn_misp,ex_ret_brn_far,comm,dso,symbol
2466828111,538734994,6469109,340881588,3795399,38332,"g4run","libG4processes.so","G4VEmAdjointModel::ComputeAdjointCrossSectionVectorPerAtomForSecond"
2318920698,527845767,5717239,361726719,3437558,33151,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeRelDXSectionPerAtom"
2283114955,545033070,4707036,349550337,3142170,32786,"g4run","libG4processes.so","G4CacheReference<G4NuclearPolarizationStore*>::Destroy"
2247865036,606433002,6622248,398608122,4231627,32503,"g4run","libG4geometry.so","G4Box::SetXHalfLength"
2247334759,576081913,8376456,366646100,4487805,39470,"g4run","libG4geometry.so","G4Paraboloid::G4Paraboloid"
2233446997,536099359,6822454,348526472,4148305,35357,"g4run","libG4geometry.so","G4ReflectedSolid::CreatePolyhedron"
2233149604,516707172,7941668,339274517,4908226,35290,"g4run","libG4geometry.so","G4LogicalSkinSurface::DumpInfo"
2232060563,680408888,7870665,430816600,4828618,36443,"g4run","libm.so.6","__atan2"
2114462144,580958803,3303858,378649720,2406274,25841,"g4run","libG4processes.so","G4ProcessManager::AddProcess"
2104238270,485919137,4597228,311345224,2736910,27925,"g4run","libG4track.so","std::vector<G4Track const*, std::allocator<G4Track const*> >::_M_realloc_insert<G4Track const* const&>"
2064280376,464487584,3686373,310550835,2475267,26746,"g4run","libG4processes.so","std::vector<std::function<void ()>, std::allocator<std::function<void ()> > >::_M_realloc_insert<G4ThreadLocalSingleton<G4NuclearPolarizationStore>::G4ThreadLocalSingleton()::{lambda()#1}>"
2060138193,475589625,6937552,299653367,4214986,32480,"g4run","libG4processes.so","G4LossTableManager::Register"
2048889980,501319980,5246200,303839338,3341276,29772,"g4run","libG4geometry.so","G4RegularNavigation::ComputeStepSkippingEqualMaterials"
2028525263,593276347,9241870,393553586,5658333,35123,"g4run","libG4geometry.so","G4PolyhedraSide::Distance"
2006017873,556432559,5236609,371997911,3493974,32049,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::boost"
1931803637,483941652,6132974,327175934,3576914,29632,"g4run","libG4geometry.so","G4DisplacedSolid::CreatePolyhedron"
1883466567,528480051,5459575,336485775,3641461,28900,"g4run","libG4processes.so","G4InuclCollider::collide"
1865716339,525087724,1405902,304971516,865171,21353,"g4run","libG4processes.so","G4F18GEMProbability::G4F18GEMProbability"
1839813224,418935731,4594084,291617252,2764096,29366,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeLPMfunctions"
1805491504,389143827,5998458,248646445,3816894,28151,"g4run","libG4processes.so","G4LossTableManager::BuildTables"
1765082155,402226823,4873546,262424324,2812018,27280,"g4run","libG4geometry.so","G4Tubs::SurfaceNormal"
1763680810,407428003,3739503,266480121,2501054,28456,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ComputeDXSectionPerAtom"
1741562656,435919493,4409309,275470069,2823861,27834,"g4run","libCLHEP-2.4.5.3.so","CLHEP::(anonymous namespace)::theDefaults"
1711985427,421780383,4758335,265725861,3034284,23882,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::generate"
1629291488,480557554,5443828,310492808,3385832,24562,"g4run","libG4geometry.so","G4PolyPhiFace::Triangulate"
1597761602,398870112,6278980,246557382,3391362,28172,"g4run","libG4geometry.so","G4Paraboloid::StreamInfo"
1589310215,341838013,6079358,235565277,3736657,28136,"g4run","libG4processes.so","G4ComponentBarNucleonNucleusXsc::LoadData"
1565046339,371180971,4669668,221240464,3052187,22748,"g4run","libG4geometry.so","G4MagErrorStepper::Stepper"
1543174563,378202641,3998402,221942970,2536212,23501,"g4run","libG4particles.so","0x000000000006f80c"
1519610193,418879103,4024109,280063178,2650548,24888,"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord"
1505054736,375264076,4211271,230476793,2605552,25530,"g4run","libG4processes.so","G4ParallelWorldProcessStore::SetParallelWorld"
1503102231,364879959,4111788,233389517,2404777,23181,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::~G4ParallelWorldScoringProcess"
1463817517,357769644,3179492,227593221,1996196,20295,"g4run","libG4geometry.so","G4MagneticField::~G4MagneticField"
1439898945,437244599,5989000,288220698,3775701,24859,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway"
1366128212,326604364,3644744,213429190,2466430,19689,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_insert_aux"
1359264493,298251512,2650293,191813554,1630280,18812,"g4run","libG4particles.so","G4ParticleDefinition::DumpTable"
1343630244,308627173,3091119,208434722,1982738,19872,"g4run","libG4tracking.so","G4SteppingManager::InvokeAtRestDoItProcs"
1335350955,344477373,3665285,207921614,2444453,19036,"g4run","libG4processes.so","G4CrossSectionDataStore::G4CrossSectionDataStore"
1307392279,304337442,3230940,199391575,2162313,20556,"g4run","libG4processes.so","G4VEmProcess::PostStepGetPhysicalInteractionLength"
1288053438,303046332,3248315,187926502,2153731,18411,"g4run","libCLHEP-2.4.5.3.so","CLHEP::Hep3Vector::rotateUz"
1275983583,317460908,3802556,204936410,2292899,19117,"g4run","libG4geometry.so","G4Navigator::ComputeSafety"
1265635244,277345500,3641163,174008771,2064776,18138,"g4run","libCLHEP-2.4.5.3.so","CLHEP::RandGaussQ::transformQuick"
1253769337,318339904,3820534,215987711,2298027,19774,"g4run","libG4particles.so","G4OmegacZero::Definition"
1251751803,314011269,3572409,214668422,2407635,21958,"g4run","libG4processes.so","G4LightTargetCollider::collide"
1235267343,351831773,3299103,219326924,2036335,17951,"g4run","libG4geometry.so","G4MagneticField::G4MagneticField"
1229204110,305055891,4501949,180109688,2877221,19298,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetIndex"
