cycles,ex_div_busy,ex_div_count,comm,dso,symbol
387370449,8466,1840,"g4run","libG4processes.so","std::_Rb_tree<G4MoleculeDefinition const*, std::pair<G4MoleculeDefinition const* const, double>, std::_Select1st<std::pair<G4MoleculeDefinition const* const, double> >, std::less<G4MoleculeDefinition const*>, std::allocator<std::pair<G4MoleculeDefinition const* const, double> > >::_M_erase"
387360138,13807,954,"g4run","libG4tracking.so","G4Step::InitializeStep"
383175629,16948,1123,"g4run","libG4geometry.so","G4IntegrationDriver<G4MagIntegratorStepper>::OneGoodStep"
381999591,14074,2146,"g4run","libG4processes.so","G4SBBremTable::SampleEnergyTransfer"
381664289,10104,1655,"g4run","libG4global.so","G4Physics2DVector::BicubicInterpolation"
379715227,9219,1185,"g4run","libG4geometry.so","aNavigHistoryAllocator"
376492151,12961,1325,"g4run","libG4particles.so","G4AntiNeutrinoTau::Definition"
376233766,20789,1129,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetChargeExchangeCrossSection"
374158373,12390,1088,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
366438170,11075,1453,"g4run","libG4geometry.so","G4PolyhedraSide::Normal"
365705747,8141,820,"g4run","libG4geometry.so","G4NormalNavigation::G4NormalNavigation"
364333229,7426,1505,"g4run","libG4geometry.so","G4Trap::MakePlane"
363809592,14568,1752,"g4run","libG4processes.so","G4ElasticHadrNucleusHE::GetLightFq2"
361000200,11913,1672,"g4run","libG4processes.so","G4RKPropagation::GetSphereIntersectionTimes"
356928910,17185,1795,"g4run","libG4processes.so","G4IntraNucleiCascader::initialize"
356010631,14698,1721,"g4run","libG4processes.so","G4InuclElementaryParticle::makeDefinition"
355263120,9758,1639,"g4run","libG4processes.so","G4VEmProcess::PostStepDoIt"
355135857,12056,1503,"g4run","libG4processes.so","G4InitXscPAI::~G4InitXscPAI"
349686716,9278,2066,"g4run","libG4processes.so","G4IntraNucleiCascader::createTarget"
349281918,10393,2217,"g4run","libG4event.so","std::unique_lock<std::mutex>::unlock"
344783296,8887,1438,"g4run","libG4geometry.so","G4MultiLevelLocator::EstimateIntersectionPoint"
343438370,20083,964,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeGamPChannelData, G4PionNucSampler>::getMultiplicity"
340581341,18924,2405,"g4run","libm.so.6","exp@@GLIBC_2.29"
340573777,9413,1883,"g4run","libG4processes.so","G4CascadeData<30, 1, 6, 16, 29, 42, 54, 41, 47>::print"
340142122,8830,1478,"g4run","libG4processes.so","G4ElectroNuclearCrossSection::GetElementCrossSection"
340108750,13239,1569,"g4run","libG4processes.so","G4PairProductionRelModel::G4PairProductionRelModel"
339917060,10983,1906,"g4run","libG4geometry.so","G4LogicalVolume::~G4LogicalVolume"
338541241,11774,1954,"g4run","libG4event.so","G4GeneralParticleSourceData::~G4GeneralParticleSourceData"
337126988,19950,1219,"g4run","libG4processes.so","G4ChipsKaonMinusElasticXS::GetPTables"
336440852,6441,1088,"g4run","libG4processes.so","G4CascadeDeexciteBase::makeFragment"
334811981,6354,873,"g4run","libG4processes.so","G4ElementaryParticleCollider::collide"
334536408,13942,802,"g4run","libG4processes.so","std::vector<G4InuclNuclei, std::allocator<G4InuclNuclei> >::_M_realloc_insert<G4InuclNuclei const&>"
333656985,12445,1013,"g4run","libG4event.so","0x000000000006a4a7"
333624631,29876,1206,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetNuclearMass"
332222838,10573,1254,"g4run","libG4geometry.so","G4Box::SetYHalfLength"
329468554,14050,1334,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
328741065,12197,1637,"g4run","libG4geometry.so","G4ReflectionFactory::ReflectPVDivision"
323934830,8993,1181,"g4run","libG4processes.so","0x00000000008b0739"
323166307,26509,1585,"g4run","libG4particles.so","G4IonTable::GetIon"
320373244,11380,1135,"g4run","libG4processes.so","G4PAIySection::G4PAIySection"
311464912,11254,1358,"g4run","libG4geometry.so","field_utils::absoluteError"
