cycles_ukP,comm,dso,symbol
1310722609,"g4run","libG4processes.so","std::vector<std::function<void ()>, std::allocator<std::function<void ()> > >::_M_realloc_insert<G4ThreadLocalSingleton<G4NuclearPolarizationStore>::G4ThreadLocalSingleton()::{lambda()#1}>"
1289762028,"g4run","libG4track.so","std::vector<G4Track const*, std::allocator<G4Track const*> >::_M_realloc_insert<G4Track const* const&>"
1287933196,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeRelDXSectionPerAtom"
1277878705,"g4run","libG4processes.so","G4PEEffectFluoModel::SampleSecondaries"
1268752816,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscPDG"
1257086948,"g4run","libG4processes.so","G4LossTableManager::Register"
1215676094,"g4run","libG4processes.so","G4VEmAdjointModel::ComputeAdjointCrossSectionVectorPerAtomForSecond"
1211962392,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::~G4ParallelWorldScoringProcess"
1202429741,"g4run","libG4processes.so","G4ParallelWorldProcessStore::SetParallelWorld"
1198241464,"g4run","libG4geometry.so","G4PolyPhiFace::Diagonalie"
1193770967,"g4run","libG4processes.so","G4LorentzConvertor::rotate"
1192675962,"g4run","libstdc++.so.6.0.30","__dynamic_cast"
1178098402,"g4run","libG4processes.so","G4LightTargetCollider::AbsorptionOnDeuteron"
1124942797,"g4run","libG4geometry.so","G4RegularNavigation::ComputeStepSkippingEqualMaterials"
1085874519,"g4run","libG4processes.so","G4LossTableManager::BuildTables"
1072000841,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::boostVector"
1059282687,"g4run","libG4geometry.so","G4Navigator::ComputeSafety"
1037888885,"g4run","libG4processes.so","G4ScoreSplittingProcess::AlongStepDoIt"
1036639443,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeLPMfunctions"
988743918,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ComputeDXSectionPerAtom"
985994381,"g4run","libG4processes.so","G4LorentzConvertor::rotate"
972511407,"g4run","libG4processes.so","std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::_M_realloc_insert<G4InuclElementaryParticle>"
972147468,"g4run","libG4processes.so","G4ElasticHadrNucleusHE::GetQ2_2"
952544427,"g4run","libG4processes.so","G4Radioactivation::DecayIt"
951071320,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
937476613,"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord"
930573339,"g4run","libG4geometry.so","G4MagneticField::G4MagneticField"
929417951,"g4run","libG4tracking.so","G4SteppingManager::InvokeAtRestDoItProcs"
921733322,"g4run","libG4processes.so","G4MultiBodyMomentumDist::~G4MultiBodyMomentumDist"
921244525,"g4run","libG4processes.so","G4ParallelWorldProcess::~G4ParallelWorldProcess"
906676907,"g4run","libG4processes.so","G4RKPropagation::FieldTransport"
900082327,"g4run","libG4processes.so","G4CrossSectionDataStore::G4CrossSectionDataStore"
875239197,"g4run","libCLHEP-2.4.5.3.so","CLHEP::Hep3Vector::rotateUz"
863893163,"g4run","libG4particles.so","G4ParticleDefinition::DumpTable"
861377339,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepRandom::getTheEngine"
859648011,"g4run","libG4processes.so","G4CascadeData<30, 1, 9, 22, 38, 53, 69, 78, 86>::print"
