instructions,L1_dcache_loads,L1_dcache_load_misses,L1_icache_load_misses,comm,dso,symbol
44065345635,28934670203,2002913905,261384422,"g4run","libG4geometry.so","G4Region::GetRegionalSteppingAction"
43178683742,29067760940,3493427033,333642125,"g4run","libG4processes.so","G4ElectroNuclearCrossSection::GetElementCrossSection"
42049542389,27596763245,3789610024,129243419,"g4run","libG4processes.so","G4LivermorePhotoElectricModel::ComputeCrossSectionPerAtom"
42040400490,27399434011,2992320284,172283481,"g4run","libG4geometry.so","G4PolyconeSide::Inside"
41309375363,19893810254,1772080870,45280119,"g4run","libG4geometry.so","G4PolyPhiFace::Inside"
41302365261,24392132745,1731414152,74669454,"g4run","libG4geometry.so","G4EnclosingCylinder::MustBeOutside"
40775409708,25481247078,3420388154,190592044,"g4run","libG4processes.so","G4UrbanMscModel::ComputeGeomPathLength"
39657558156,25710211684,2673454369,117773999,"g4run","libG4geometry.so","G4LogicalVolume::GetSolid"
38673673280,26837833505,2215744907,258755701,"g4run","libG4processes.so","G4VProcess::EndTracking"
37883521080,22175828012,1509290645,54754033,"g4run","libG4geometry.so","G4Box::Inside"
37314440248,24291552706,2535405706,121080242,"g4run","libG4geometry.so","G4LogicalVolume::GetSolid"
36132256508,15500278568,64880394,1595249,"g4run","libG4processes.so","G4GEMProbability::CalcProbability"
35476474250,21426784519,1494001412,60789609,"g4run","libG4geometry.so","G4VPhysicalVolume::GetTranslation"
34979207181,16562932852,692298981,222534612,"g4run","libG4clhep.so","CLHEP::HepLorentzVector::boost"
34463111146,21990627757,2044988522,206864077,"g4run","libG4processes.so","G4VDiscreteProcess::PostStepGetPhysicalInteractionLength"
33991487176,22368409939,2000582440,191784269,"g4run","libG4processes.so","G4VEmProcess::PostStepDoIt"
33732626502,22925903727,3175092321,179431407,"g4run","libG4processes.so","G4PhysicsVector::Value"
33717299805,16348597644,1607867788,242910169,"g4run","libG4particles.so","G4IonTable::FindIon"
31215931465,19485310457,1315755583,175003474,"g4run","libG4clhep.so","CLHEP::(anonymous namespace)::theDefaults"
30763952712,18329215819,1131749950,105373021,"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs"
30285053287,19234816884,1669180937,86885094,"g4run","libG4geometry.so","G4NavigationLevel::G4NavigationLevel"
30038012811,16658814383,1183941046,40736565,"g4run","libG4geometry.so","G4DisplacedSolid::Inside"
29987760570,17222070798,1358210835,78331084,"g4run","libm.so.6","__atan2"
29727920149,17867158985,1267050346,91413950,"g4run","libG4processes.so","G4VMscModel::GetEnergy"
29717743565,17236158036,1280716815,80647809,"g4run","libG4geometry.so","G4LogicalVolume::GetMaterial"
29679418339,18783330949,1043566183,42364573,"g4run","libG4geometry.so","G4VoxelNavigation::LocateNextVoxel"
29530285266,22756457654,2224679435,114700777,"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord"
29375598658,17261534572,1237310264,34254993,"g4run","libG4geometry.so","G4VCSGfaceted::DistanceTo"
28110456180,17194667554,1773531263,117504509,"g4run","libG4processes.so","G4HadronicProcess::GetMeanFreePath"
27398357033,13941100153,1513178,557994,"g4run","libG4processes.so","G4MuPairProductionModel::ComputeDMicroscopicCrossSection"
