comm,dso,symbol,cycles,instructions,branches,branch_misses
"g4run","libG4particles.so","G4IonTable::IsAntiIon",650117,0,0,5907
"g4run","libc.so.6","__GI___fileno",646190,2186451,0,1124
"g4run","libc.so.6","__libc_alloca_cutoff",633205,0,0,4307
"g4run","libstdc++.so.6.0.30","0x00000000000a16a0",624612,9459296,241981,3869
"g4run","libstdc++.so.6.0.30","0x00000000000c23ae",618664,2446367,0,0
"g4run","libstdc++.so.6.0.30","std::basic_filebuf<char, std::char_traits<char> >::basic_filebuf",618130,0,0,1342
"g4run","libxerces-c-3.2.so","xercesc_3_2::RangeToken::compactRanges",617556,0,0,0
"g4run","libc.so.6","_IO_link_in",617072,1283145,928160,2236
"g4run","libG4run.so","G4PhysicsListHelper::RegisterProcess",617032,1885230,991702,0
"g4run","libG4particles.so","0x0000000000034d10",605350,0,0,3878
"g4run","libpythia8.so","Pythia8::SusyLesHouches::set<double>",604466,2431478,495694,5569
"g4run","g4run","std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pythia8::Word>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pythia8::Word> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pythia8::Word> > >::_M_erase",599912,0,0,0
"g4run","libxerces-c-3.2.so","0x0000000000128836",586826,0,0,0
"g4run","libxerces-c-3.2.so","xercesc_3_2::UnicodeRangeFactory::getUniCategory",571326,1494301,998670,4390
"g4run","libG4track.so","G4Step::~G4Step",556341,0,0,0
"g4run","libG4processes.so","G4ElectroNuclearCrossSection::G4ElectroNuclearCrossSection",545875,0,0,0
"g4run","libG4processes.so","G4EquilibriumEvaporator::G4EquilibriumEvaporator",533181,0,0,0
"g4run","libG4intercoms.so","0x0000000000012050",530468,0,0,0
"g4run","libG4particles.so","G4ParticleDefinition::SetProcessManager",529755,0,172513,0
"g4run","libG4intercoms.so","G4UImessenger::G4UImessenger",520586,0,0,0
"g4run","libc.so.6","__malloc_arena_thread_freeres",518779,0,123883,2520
"g4run","g4run","Pythia8::Pythia::~Pythia",518487,0,496405,2751
"g4run","libG4run.so","G4PhysicsListHelper::AddTransportation",494515,0,0,0
"g4run","libG4particles.so","G4IonTable::PrepareNuclideTable",493674,0,0,0
"g4run","libG4processes.so","G4ProcessTable::RegisterProcess",488941,0,0,0
"g4run","libG4run.so","G4VUserPhysicsList::InitializeProcessManager",488686,1052423,349714,4063
"g4run","libG4run.so","G4PhysicsListWorkspace::GetPool",474174,0,0,0
"g4run","libG4digits_hits.so","G4ScoringManager::GetScoringManagerIfExist",463480,0,0,0
"g4run","libG4run.so","std::vector<G4UItokenNum::yystype, std::allocator<G4UItokenNum::yystype> >::_M_default_append",461192,0,0,0
"g4run","libG4processes.so","0x00000000003b2b34",446638,0,0,0
"g4run","libG4processes.so","G4ProcessManager::SetProcessOrdering",446241,0,229619,2925
"g4run","libG4processes.so","G4Fragment::G4Fragment",445165,1132425,0,3685
"g4run","libG4processes.so","G4VHighEnergyGenerator::G4VHighEnergyGenerator",443923,0,0,0
"g4run","libpythia8.so","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string",423359,0,0,1699
"g4run","ld-linux-x86-64.so.2","_dl_debug_update",416656,0,0,0
"g4run","libpythia8.so","0x00000000001b2f60",412275,0,0,0
"g4run","libG4geometry.so","0x000000000009f990",409616,0,0,1498
